"","Lat","Long","Cidade","Data","Precipitacao"
"1",-23.5,-46.61,"sao_paulo_santana-sp",2018-01-01,244.3
"2",-23.5,-46.61,"sao_paulo_santana-sp",2019-01-01,305.9
"3",-23.5,-46.61,"sao_paulo_santana-sp",2018-02-01,102.2
"4",-23.5,-46.61,"sao_paulo_santana-sp",2019-02-01,323.2
"5",-23.5,-46.61,"sao_paulo_santana-sp",2018-03-01,220.5
"6",-23.5,-46.61,"sao_paulo_santana-sp",2019-03-01,239.6
"7",-23.5,-46.61,"sao_paulo_santana-sp",2018-04-01,28
"8",-23.5,-46.61,"sao_paulo_santana-sp",2018-05-01,10.8
"9",-23.5,-46.61,"sao_paulo_santana-sp",2018-06-01,12.7
"10",-23.5,-46.61,"sao_paulo_santana-sp",2018-07-01,24.2
"11",-23.5,-46.61,"sao_paulo_santana-sp",2018-08-01,48.8
"12",-23.5,-46.61,"sao_paulo_santana-sp",2018-09-01,72.8
"13",-23.5,-46.61,"sao_paulo_santana-sp",2018-10-01,121
"14",-23.5,-46.61,"sao_paulo_santana-sp",2018-11-01,101.7
"15",-23.5,-46.61,"sao_paulo_santana-sp",2018-12-01,191.1
"16",-23.48,-47.43,"sorocaba-sp",2018-01-01,170.5
"17",-23.48,-47.43,"sorocaba-sp",2019-01-01,0
"18",-23.48,-47.43,"sorocaba-sp",2018-02-01,9.3
"19",-23.48,-47.43,"sorocaba-sp",2019-02-01,206.2
"20",-23.48,-47.43,"sorocaba-sp",2018-03-01,203.1
"21",-23.48,-47.43,"sorocaba-sp",2019-03-01,60.1
"22",-23.48,-47.43,"sorocaba-sp",2018-04-01,43.5
"23",-23.48,-47.43,"sorocaba-sp",2018-05-01,14.5
"24",-23.48,-47.43,"sorocaba-sp",2018-06-01,20.6
"25",-23.48,-47.43,"sorocaba-sp",2018-07-01,10.1
"26",-23.48,-47.43,"sorocaba-sp",2018-08-01,58.5
"27",-23.48,-47.43,"sorocaba-sp",2018-09-01,77
"28",-23.48,-47.43,"sorocaba-sp",2018-10-01,135.4
"29",-23.48,-47.43,"sorocaba-sp",2018-11-01,98.3
"30",-23.48,-47.43,"sorocaba-sp",2018-12-01,106.6
"31",-22.75,-45.6,"campos_do_jordao-mg",2019-01-01,200.3
"32",-22.75,-45.6,"campos_do_jordao-mg",2019-02-01,281.7
"33",-22.75,-45.6,"campos_do_jordao-mg",2018-03-01,52.3
"34",-22.75,-45.6,"campos_do_jordao-mg",2019-03-01,222.5
"35",-22.75,-45.6,"campos_do_jordao-mg",2018-04-01,65.8
"36",-22.75,-45.6,"campos_do_jordao-mg",2018-05-01,21.3
"37",-22.75,-45.6,"campos_do_jordao-mg",2018-06-01,19.5
"38",-22.75,-45.6,"campos_do_jordao-mg",2018-07-01,14
"39",-22.75,-45.6,"campos_do_jordao-mg",2018-08-01,123
"40",-22.75,-45.6,"campos_do_jordao-mg",2018-09-01,94.9
"41",-22.75,-45.6,"campos_do_jordao-mg",2018-10-01,114.9
"42",-22.75,-45.6,"campos_do_jordao-mg",2018-11-01,223.1
"43",-22.75,-45.6,"campos_do_jordao-mg",2018-12-01,281.1
"44",-22.45,-44.44,"resende-rj",2018-01-01,250.1
"45",-22.45,-44.44,"resende-rj",2019-01-01,218.6
"46",-22.45,-44.44,"resende-rj",2018-02-01,235.3
"47",-22.45,-44.44,"resende-rj",2019-02-01,261.3
"48",-22.45,-44.44,"resende-rj",2018-03-01,232.7
"49",-22.45,-44.44,"resende-rj",2019-03-01,216.3
"50",-22.45,-44.44,"resende-rj",2018-04-01,120.1
"51",-22.45,-44.44,"resende-rj",2018-05-01,24.9
"52",-22.45,-44.44,"resende-rj",2018-06-01,49.5
"53",-22.45,-44.44,"resende-rj",2018-07-01,11.2
"54",-22.45,-44.44,"resende-rj",2018-08-01,67.6
"55",-22.45,-44.44,"resende-rj",2018-09-01,54
"56",-22.45,-44.44,"resende-rj",2018-10-01,105.4
"57",-22.45,-44.44,"resende-rj",2018-11-01,256
"58",-22.45,-44.44,"resende-rj",2018-12-01,199
"59",-22.35,-43.41,"avelar-rj",2018-01-01,238.1
"60",-22.35,-43.41,"avelar-rj",2019-01-01,139.5
"61",-22.35,-43.41,"avelar-rj",2018-02-01,164.7
"62",-22.35,-43.41,"avelar-rj",2019-02-01,210.1
"63",-22.35,-43.41,"avelar-rj",2018-03-01,94
"64",-22.35,-43.41,"avelar-rj",2019-03-01,121.6
"65",-22.35,-43.41,"avelar-rj",2018-04-01,36.3
"66",-22.35,-43.41,"avelar-rj",2018-05-01,70.8
"67",-22.35,-43.41,"avelar-rj",2018-06-01,1
"68",-22.35,-43.41,"avelar-rj",2018-07-01,6.8
"69",-22.35,-43.41,"avelar-rj",2018-08-01,58.4
"70",-22.35,-43.41,"avelar-rj",2018-09-01,70.1
"71",-22.35,-43.41,"avelar-rj",2018-10-01,27.8
"72",-22.35,-43.41,"avelar-rj",2018-11-01,171.1
"73",-22.35,-43.41,"avelar-rj",2018-12-01,54.6
"74",-22.1,-45.01,"sao_lourenco-mg",2018-01-01,315.2
"75",-22.1,-45.01,"sao_lourenco-mg",2019-01-01,91.5
"76",-22.1,-45.01,"sao_lourenco-mg",2018-02-01,130.9
"77",-22.1,-45.01,"sao_lourenco-mg",2019-02-01,199.4
"78",-22.1,-45.01,"sao_lourenco-mg",2018-03-01,153.5
"79",-22.1,-45.01,"sao_lourenco-mg",2019-03-01,198.6
"80",-22.1,-45.01,"sao_lourenco-mg",2018-04-01,11.8
"81",-22.1,-45.01,"sao_lourenco-mg",2018-05-01,29.5
