--------------------
BDMEP - INMET
--------------------
Estação           : ARACUAI - MG (OMM: 83442)
Latitude  (graus) : -16.83
Longitude (graus) : -42.05
Altitude  (metros): 289.00
Estação Operante
Inicio de operação: 06/09/1918
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83442;01/01/2018;0000;;36.4;;0.666667;
83442;01/01/2018;1200;2.6;;21.1;;
83442;02/01/2018;0000;;36;;0;
83442;02/01/2018;1200;0;;21.1;;
83442;03/01/2018;0000;;36.8;;0.666667;
83442;03/01/2018;1200;0.4;;22.7;;
83442;04/01/2018;0000;;29.6;;0;
83442;04/01/2018;1200;7.1;;21.3;;
83442;05/01/2018;0000;;36;;0.666667;
83442;05/01/2018;1200;0;;21.7;;
83442;06/01/2018;0000;;34.9;;0.666667;
83442;06/01/2018;1200;0;;20.9;;
83442;07/01/2018;0000;;35.6;;0.333333;
83442;07/01/2018;1200;0;;21.5;;
83442;08/01/2018;0000;;35.6;;0.666667;
83442;08/01/2018;1200;0;;21;;
83442;09/01/2018;0000;;35;;1;
83442;09/01/2018;1200;0;;20.9;;
83442;10/01/2018;0000;;33.8;;0.7;
83442;10/01/2018;1200;2.4;;21.5;;
83442;11/01/2018;0000;;34.8;;0;
83442;11/01/2018;1200;0;;18.9;;
83442;12/01/2018;0000;;35.8;;1;
83442;12/01/2018;1200;0;;21.8;;
83442;13/01/2018;0000;;36.6;;0.666667;
83442;13/01/2018;1200;0;;22.2;;
83442;14/01/2018;0000;;36.6;;0.666667;
83442;14/01/2018;1200;0;;22.1;;
83442;15/01/2018;0000;;35.8;;0.666667;
83442;15/01/2018;1200;0;;22.9;;
83442;16/01/2018;0000;;37.6;;0.666667;
83442;16/01/2018;1200;0;;20.6;;
83442;17/01/2018;0000;;36.8;;0.333333;
83442;17/01/2018;1200;0;;20.2;;
83442;18/01/2018;0000;;36.2;;1;
83442;18/01/2018;1200;0;;20.9;;
83442;19/01/2018;0000;;38.2;;0.666667;
83442;19/01/2018;1200;0;;21.1;;
83442;20/01/2018;0000;;39;;0.333333;
83442;20/01/2018;1200;0;;19.9;;
83442;21/01/2018;0000;;37.8;;0.333333;
83442;21/01/2018;1200;0;;20.3;;
83442;22/01/2018;0000;;37.8;;0.666667;
83442;22/01/2018;1200;0;;19.8;;
83442;23/01/2018;0000;;36.8;;0.666667;
83442;23/01/2018;1200;0;;22.2;;
83442;24/01/2018;0000;;37;;1;
83442;24/01/2018;1200;0;;20.6;;
83442;25/01/2018;0000;;35.6;;0.666667;
83442;25/01/2018;1200;0;;23.3;;
83442;26/01/2018;0000;;38.8;;0;
83442;26/01/2018;1200;0;;21.7;;
83442;27/01/2018;0000;;38;;0.666667;
83442;27/01/2018;1200;0;;22.1;;
83442;28/01/2018;0000;;37.6;;1;
83442;28/01/2018;1200;0;;23.9;;
83442;29/01/2018;0000;;37.6;;0.666667;
83442;29/01/2018;1200;0;;24.3;;
83442;30/01/2018;0000;;35.8;;1;
83442;30/01/2018;1200;0;;23.4;;
83442;31/01/2018;0000;;34.2;;0;
83442;31/01/2018;1200;11.3;;21.5;;
83442;01/02/2018;0000;;28.4;;0;
83442;01/02/2018;1200;16;;21.9;;
83442;02/02/2018;0000;;30.2;;0;
83442;02/02/2018;1200;10.1;;21.3;;
83442;03/02/2018;0000;;25.1;;0;
83442;03/02/2018;1200;84.6;;19.9;;
83442;04/02/2018;0000;;23.4;;0;
83442;04/02/2018;1200;44.6;;19;;
83442;05/02/2018;0000;;27.8;;0;
83442;05/02/2018;1200;48.9;;21.1;;
83442;06/02/2018;0000;;32.6;;0;
83442;06/02/2018;1200;31.6;;21.8;;
83442;07/02/2018;0000;;33.6;;0.333333;
83442;07/02/2018;1200;0;;22.2;;
83442;08/02/2018;0000;;35.6;;0.333333;
83442;08/02/2018;1200;30;;20.9;;
83442;09/02/2018;0000;;34.1;;0.333333;
83442;09/02/2018;1200;0.4;;22.6;;
83442;10/02/2018;0000;;34;;1;
83442;10/02/2018;1200;0.1;;22.5;;
83442;11/02/2018;0000;;33.4;;0.333333;
83442;11/02/2018;1200;0;;20.9;;
83442;12/02/2018;0000;;34.8;;0.333333;
83442;12/02/2018;1200;0;;19.1;;
83442;13/02/2018;0000;;34.8;;0.666667;
83442;13/02/2018;1200;0;;22;;
83442;14/02/2018;0000;;32.8;;1;
83442;14/02/2018;1200;0;;22.3;;
83442;15/02/2018;0000;;33;;0.333333;
83442;15/02/2018;1200;0;;20.9;;
83442;16/02/2018;0000;;32.6;;0.333333;
83442;16/02/2018;1200;0;;20.5;;
83442;17/02/2018;0000;;33;;0;
83442;17/02/2018;1200;0;;21.7;;
83442;18/02/2018;0000;;33.8;;0.333333;
83442;18/02/2018;1200;0.8;;20.9;;
83442;19/02/2018;0000;;32.6;;0.333333;
83442;19/02/2018;1200;0;;22.5;;
83442;20/02/2018;0000;;34.2;;0.333333;
83442;20/02/2018;1200;0;;21.5;;
