--------------------
BDMEP - INMET
--------------------
Estação           : ARAXA - MG (OMM: 83579)
Latitude  (graus) : -19.6
Longitude (graus) : -46.94
Altitude  (metros): 1023.61
Estação Operante
Inicio de operação: 07/09/1916
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83579;01/01/2018;0000;;;;2.2;
83579;01/01/2018;1200;1.4;;18;;
83579;02/01/2018;0000;;;;1.9;
83579;02/01/2018;1200;10.8;;19.6;;
83579;03/01/2018;0000;;;;1.333333;
83579;03/01/2018;1200;19.8;;18.2;;
83579;04/01/2018;0000;;;;1.333333;
83579;04/01/2018;1200;2.8;;19.4;;
83579;05/01/2018;0000;;;;1.9;
83579;05/01/2018;1200;17.8;;19.2;;
83579;06/01/2018;0000;;;;1.633333;
83579;06/01/2018;1200;19.6;;18.8;;
83579;07/01/2018;0000;;;;1.066667;
83579;07/01/2018;1200;3.4;;19;;
83579;08/01/2018;0000;;;;1.366667;
83579;08/01/2018;1200;7.8;;18;;
83579;09/01/2018;0000;;;;1.6;
83579;09/01/2018;1200;2.2;;18.2;;
83579;10/01/2018;0000;;;;1.9;
83579;10/01/2018;1200;0;;19;;
83579;11/01/2018;0000;;;;1.333333;
83579;11/01/2018;1200;0;;19.6;;
83579;12/01/2018;0000;;;;1.066667;
83579;12/01/2018;1200;0;;18.6;;
83579;13/01/2018;0000;;;;1.066667;
83579;13/01/2018;1200;0;;18.2;;
83579;14/01/2018;0000;;;;3;
83579;14/01/2018;1200;0.4;;19.4;;
83579;15/01/2018;0000;;;;1.333333;
83579;15/01/2018;1200;1;;18.2;;
83579;16/01/2018;0000;;;;1.066667;
83579;16/01/2018;1200;4.4;;18.6;;
83579;17/01/2018;0000;;;;1.6;
