--------------------
BDMEP - INMET
--------------------
Estação           : ARINOS - MG (OMM: 83384)
Latitude  (graus) : -15.91
Longitude (graus) : -46.1
Altitude  (metros): 519.00
Estação Operante
Inicio de operação: 05/04/1976
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83384;01/01/2018;0000;;34.1;;1;
83384;01/01/2018;1200;0.1;;22.6;;
83384;02/01/2018;0000;;33.7;;1;
83384;02/01/2018;1200;1.7;;21.8;;
83384;03/01/2018;0000;;35.1;;1;
83384;03/01/2018;1200;2.5;;22;;
83384;04/01/2018;0000;;31.3;;0.7;
83384;04/01/2018;1200;8;;22.4;;
83384;05/01/2018;0000;;24.9;;0.333333;
83384;05/01/2018;1200;3.8;;22.2;;
83384;06/01/2018;0000;;26.3;;0.833333;
83384;06/01/2018;1200;5.6;;20.8;;
83384;07/01/2018;0000;;32.5;;0.333333;
83384;07/01/2018;1200;27.7;;20.8;;
83384;08/01/2018;0000;;34.1;;0.5;
83384;08/01/2018;1200;0;;21.6;;
83384;09/01/2018;0000;;34.5;;0.333333;
83384;09/01/2018;1200;0;;21.4;;
83384;10/01/2018;0000;;33.5;;1.4;
83384;10/01/2018;1200;0;;22.6;;
83384;11/01/2018;0000;;32.7;;0.5;
83384;11/01/2018;1200;0;;21;;
83384;12/01/2018;0000;;33.3;;0.833333;
83384;12/01/2018;1200;0;;20;;
83384;13/01/2018;0000;;35.7;;0.333333;
83384;13/01/2018;1200;0;;21.2;;
83384;14/01/2018;0000;;31.1;;0;
83384;14/01/2018;1200;1;;21.2;;
83384;15/01/2018;0000;;34.3;;0.666667;
83384;15/01/2018;1200;0.1;;22;;
83384;16/01/2018;0000;;33.3;;0.833333;
83384;16/01/2018;1200;10.8;;21.8;;
83384;17/01/2018;0000;;33.7;;0.833333;
83384;17/01/2018;1200;0;;20.8;;
83384;18/01/2018;0000;;34.3;;1.166667;
83384;18/01/2018;1200;0;;21;;
83384;19/01/2018;0000;;34.9;;0.333333;
83384;19/01/2018;1200;0;;20.2;;
83384;20/01/2018;0000;;36.5;;0.333333;
83384;20/01/2018;1200;0;;20.6;;
83384;21/01/2018;0000;;36.3;;1.2;
83384;21/01/2018;1200;0;;20.4;;
83384;22/01/2018;0000;;36.7;;0;
83384;22/01/2018;1200;0;;20.8;;
83384;23/01/2018;0000;;36.3;;0.866667;
83384;23/01/2018;1200;0;;21;;
83384;24/01/2018;0000;;35.3;;0.5;
83384;24/01/2018;1200;0.2;;22;;
83384;25/01/2018;0000;;34.3;;0.833333;
