--------------------
BDMEP - INMET
--------------------
Estação           : AVELAR  P DO ALFERES  - RJ (OMM: 83049)
Latitude  (graus) : -22.35
Longitude (graus) : -43.41
Altitude  (metros): 507.00
Estação Operante
Inicio de operação: 01/04/1971
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83049;01/01/2018;0000;;31.6;;1;
83049;01/01/2018;1200;1.5;;21;;
83049;02/01/2018;0000;;32.5;;1;
83049;02/01/2018;1200;5.7;;19.5;;
83049;03/01/2018;0000;;31.6;;1;
83049;03/01/2018;1200;15.3;;20.5;;
83049;04/01/2018;0000;;24.5;;1;
83049;04/01/2018;1200;22;;19.6;;
83049;05/01/2018;0000;;26.6;;1;
83049;05/01/2018;1200;5.4;;19.4;;
83049;06/01/2018;0000;;29.1;;1;
83049;06/01/2018;1200;24.3;;20;;
83049;07/01/2018;0000;;29.3;;1;
83049;07/01/2018;1200;13.5;;19.5;;
83049;08/01/2018;0000;;29.1;;1;
83049;08/01/2018;1200;54;;19.5;;
83049;09/01/2018;0000;;30.6;;1;
83049;09/01/2018;1200;9;;17.8;;
83049;10/01/2018;0000;;30.6;;1;
83049;10/01/2018;1200;0;;18.8;;
83049;11/01/2018;0000;;29.6;;1.333333;
83049;11/01/2018;1200;0;;19.5;;
83049;12/01/2018;0000;;28.4;;1.333333;
83049;12/01/2018;1200;0;;19.5;;
83049;13/01/2018;0000;;31.1;;1;
83049;13/01/2018;1200;0;;19.5;;
83049;14/01/2018;0000;;29.6;;1;
83049;14/01/2018;1200;6.5;;18.4;;
83049;15/01/2018;0000;;31.3;;1;
83049;15/01/2018;1200;2;;19;;
83049;16/01/2018;0000;;32.6;;1;
83049;16/01/2018;1200;11.3;;19.1;;
83049;17/01/2018;0000;;32.6;;1;
83049;17/01/2018;1200;0;;18.8;;
83049;18/01/2018;0000;;31.1;;1;
83049;18/01/2018;1200;0;;19;;
83049;19/01/2018;0000;;34.6;;1;
83049;19/01/2018;1200;0;;19.5;;
83049;20/01/2018;0000;;29.6;;1;
83049;20/01/2018;1200;0;;18.2;;
83049;21/01/2018;0000;;31.3;;1;
83049;21/01/2018;1200;0;;19;;
83049;22/01/2018;0000;;32.6;;1;
83049;22/01/2018;1200;0;;20.8;;
83049;23/01/2018;0000;;31.6;;1.333333;
83049;23/01/2018;1200;6.5;;19;;
83049;24/01/2018;0000;;32.5;;1;
83049;24/01/2018;1200;0;;18.6;;
83049;25/01/2018;0000;;30.6;;1;
83049;25/01/2018;1200;0;;19.5;;
83049;26/01/2018;0000;;28.4;;1;
83049;26/01/2018;1200;0;;19.6;;
83049;27/01/2018;0000;;32.1;;1;
83049;27/01/2018;1200;26.8;;20.5;;
83049;28/01/2018;0000;;29.1;;1;
83049;28/01/2018;1200;0;;18.2;;
83049;29/01/2018;0000;;31.1;;1;
83049;29/01/2018;1200;0;;20.5;;
83049;30/01/2018;0000;;24.1;;1;
83049;30/01/2018;1200;24.7;;19;;
83049;31/01/2018;0000;;26.6;;1;
83049;31/01/2018;1200;9.6;;18.5;;
83049;01/02/2018;0000;;29.1;;1;
83049;01/02/2018;1200;0;;14.2;;
83049;02/02/2018;0000;;29.6;;1;
83049;02/02/2018;1200;0;;17;;
83049;03/02/2018;0000;;29.6;;1;
83049;03/02/2018;1200;0;;16.3;;
83049;04/02/2018;0000;;25.6;;1;
83049;04/02/2018;1200;0;;16.4;;
83049;05/02/2018;0000;;20.5;;1;
83049;05/02/2018;1200;3;;18.4;;
83049;06/02/2018;0000;;28.1;;1;
83049;06/02/2018;1200;24.8;;18.2;;
83049;07/02/2018;0000;;28.6;;1;
83049;07/02/2018;1200;8.6;;19.2;;
83049;08/02/2018;0000;;30.7;;1;
83049;08/02/2018;1200;0;;17.8;;
83049;09/02/2018;0000;;32.3;;1;
83049;09/02/2018;1200;0;;18.2;;
83049;10/02/2018;0000;;32.1;;1;
83049;10/02/2018;1200;0;;19;;
83049;11/02/2018;0000;;33.1;;1;
83049;11/02/2018;1200;28.1;;19.5;;
83049;12/02/2018;0000;;32.2;;1;
83049;12/02/2018;1200;0;;21;;
83049;13/02/2018;0000;;30.3;;1;
83049;13/02/2018;1200;0;;20.4;;
83049;14/02/2018;0000;;30;;1;
