--------------------
BDMEP - INMET
--------------------
Estação           : BAMBUI - MG (OMM: 83582)
Latitude  (graus) : -20.03
Longitude (graus) : -45
Altitude  (metros): 661.27
Estação Operante
Inicio de operação: 26/08/1926
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83582;01/01/2018;0000;;31.3;;2.6;
83582;01/01/2018;1200;4.9;;19.8;;
83582;02/01/2018;0000;;31.3;;2.05;
83582;02/01/2018;1200;41.5;;19.4;;
83582;03/01/2018;0000;;32.5;;1.8;
83582;03/01/2018;1200;0.6;;20.8;;
83582;04/01/2018;0000;;28.6;;1.55;
83582;04/01/2018;1200;7;;20.6;;
83582;05/01/2018;0000;;28.2;;2.6;
83582;05/01/2018;1200;36.9;;19.8;;
83582;06/01/2018;0000;;27.2;;2.35;
83582;06/01/2018;1200;44.9;;19.2;;
83582;07/01/2018;1200;6.5;;;;
83582;08/01/2018;0000;;28.6;;2.1;
83582;08/01/2018;1200;32.1;;17.6;;
83582;09/01/2018;0000;;30.7;;1.5;
83582;09/01/2018;1200;4.5;;17.2;;
83582;10/01/2018;0000;;31.5;;2.35;
83582;10/01/2018;1200;0;;17;;
83582;11/01/2018;0000;;29.6;;2.05;
83582;11/01/2018;1200;0;;18.2;;
83582;12/01/2018;0000;;30;;1.8;
83582;12/01/2018;1200;0;;18;;
83582;13/01/2018;0000;;31.1;;1.8;
83582;13/01/2018;1200;0;;12;;
83582;15/01/2018;0000;;30.5;;1.8;
83582;15/01/2018;1200;1.8;;18;;
83582;16/01/2018;0000;;31.7;;1.5;
83582;16/01/2018;1200;3.9;;18.2;;
83582;17/01/2018;0000;;32.1;;1.8;
83582;17/01/2018;1200;0;;19.4;;
83582;18/01/2018;0000;;32.5;;2.1;
83582;18/01/2018;1200;0;;17;;
83582;19/01/2018;0000;;33.1;;1.8;
83582;19/01/2018;1200;0;;16;;
83582;20/01/2018;0000;;33.7;;1.8;
83582;20/01/2018;1200;0;;16;;
83582;22/01/2018;0000;;35.3;;1.8;
83582;22/01/2018;1200;0;;15.2;;
83582;23/01/2018;0000;;34.3;;1.8;
83582;23/01/2018;1200;0;;19;;
83582;24/01/2018;0000;;33.1;;1.8;
83582;24/01/2018;1200;0;;19.2;;
83582;25/01/2018;0000;;31.5;;1.8;
83582;25/01/2018;1200;9.7;;19.8;;
83582;26/01/2018;0000;;31.9;;1.5;
83582;26/01/2018;1200;11.1;;19.8;;
83582;27/01/2018;0000;;32.3;;1.8;
83582;27/01/2018;1200;0;;21;;
83582;29/01/2018;0000;;31.1;;1.8;
83582;29/01/2018;1200;0;;19.2;;
83582;30/01/2018;0000;;30;;2.05;
83582;30/01/2018;1200;24.6;;20.4;;
83582;31/01/2018;0000;;30.9;;2.07888;
83582;31/01/2018;1200;14.3;;20.8;;
83582;01/02/2018;0000;;30.7;;2.1;
83582;01/02/2018;1200;20.8;;20.2;;
83582;02/02/2018;0000;;26.6;;1.8;
83582;02/02/2018;1200;0;;21.2;;
83582;03/02/2018;0000;;30.2;;2.3;
83582;03/02/2018;1200;10.5;;20.8;;
83582;05/02/2018;0000;;25.8;;2.1;
83582;05/02/2018;1200;4.4;;18.6;;
83582;06/02/2018;0000;;27.8;;1.5;
83582;06/02/2018;1200;3.4;;19;;
83582;07/02/2018;0000;;32.3;;1.5;
83582;07/02/2018;1200;10.4;;17;;
83582;08/02/2018;0000;;32.9;;1.25;
83582;08/02/2018;1200;0;;16.6;;
83582;09/02/2018;0000;;31.9;;1.27166;
83582;09/02/2018;1200;0;;18.6;;
83582;10/02/2018;0000;;29.8;;1;
83582;10/02/2018;1200;3.7;;20.2;;
83582;12/02/2018;0000;;32.5;;1.25;
83582;12/02/2018;1200;0;;17.8;;
83582;13/02/2018;0000;;32.7;;1.25;
83582;13/02/2018;1200;0;;19.8;;
83582;14/02/2018;0000;;31.9;;1.55;
83582;14/02/2018;1200;0;;19.4;;
83582;15/02/2018;0000;;31.3;;1.5;
83582;15/02/2018;1200;0;;18.2;;
83582;16/02/2018;0000;;31.5;;1.25;
83582;16/02/2018;1200;0;;18.6;;
83582;17/02/2018;0000;;31.6;;1;
83582;17/02/2018;1200;0;;17.4;;
83582;19/02/2018;0000;;29;;1.5;
83582;19/02/2018;1200;16.8;;17;;
83582;20/02/2018;0000;;30.7;;1.5;
83582;20/02/2018;1200;6;;20.4;;
83582;21/02/2018;0000;;29.8;;1.25;
83582;21/02/2018;1200;0;;20;;
83582;22/02/2018;0000;;31.3;;1.55;
83582;22/02/2018;1200;13.2;;19.6;;
83582;23/02/2018;0000;;27.8;;1.25;
83582;23/02/2018;1200;0;;18;;
83582;24/02/2018;0000;;27.4;;1.5;
83582;24/02/2018;1200;5.5;;20;;
83582;26/02/2018;0000;;25;;1.5;
83582;26/02/2018;1200;13;;18.8;;
83582;27/02/2018;0000;;30;;1.55;
83582;27/02/2018;1200;4;;18.8;;
83582;28/02/2018;0000;;30.9;;1.55;
83582;28/02/2018;1200;31.6;;19.4;;
83582;01/03/2018;0000;;33.5;;2.05;
83582;01/03/2018;1200;0;;19.6;;
83582;02/03/2018;0000;;32.7;;1.25;
83582;02/03/2018;1200;0;;19.6;;
83582;03/03/2018;0000;;34.1;;1;
83582;03/03/2018;1200;0.7;;20.4;;
83582;04/03/2018;1200;0.8;;;;
83582;05/03/2018;0000;;35.3;;1.25;
83582;05/03/2018;1200;0;;19;;
83582;06/03/2018;0000;;34.5;;1.25;
83582;06/03/2018;1200;10.4;;19.4;;
83582;07/03/2018;0000;;;;1.5;
83582;07/03/2018;1200;23;;20.2;;
83582;08/03/2018;0000;;32.5;;1.5;
83582;08/03/2018;1200;0;;20.6;;
83582;09/03/2018;0000;;31.9;;1.5;
83582;09/03/2018;1200;8;;21.2;;
83582;10/03/2018;0000;;30;;1.25;
83582;10/03/2018;1200;0;;20.4;;
83582;11/03/2018;1200;8.7;;;;
83582;12/03/2018;0000;;34.5;;1;
83582;12/03/2018;1200;1.6;;19;;
83582;13/03/2018;0000;;35.1;;1.166667;
83582;13/03/2018;1200;0;;22;;
83582;14/03/2018;0000;;33.3;;1.5;
83582;14/03/2018;1200;0;;19.4;;
83582;15/03/2018;0000;;31.1;;1.333333;
83582;15/03/2018;1200;0;;20.2;;
83582;16/03/2018;0000;;33.5;;1.166667;
83582;16/03/2018;1200;0;;19.8;;
83582;17/03/2018;0000;;32.7;;1.166667;
83582;17/03/2018;1200;0;;20.2;;
83582;18/03/2018;0000;;31.9;;1.333333;
83582;18/03/2018;1200;3;;19;;
83582;19/03/2018;0000;;34.1;;1.166667;
83582;19/03/2018;1200;0;;17.8;;
83582;20/03/2018;0000;;32.3;;1.333333;
83582;20/03/2018;1200;0;;19.4;;
83582;21/03/2018;0000;;29.4;;1.5;
83582;21/03/2018;1200;0;;19.8;;
83582;22/03/2018;0000;;;;1.8;
83582;22/03/2018;1200;20.6;;18.6;;
83582;23/03/2018;0000;;31.5;;1.5;
83582;23/03/2018;1200;0;;19.2;;
83582;24/03/2018;0000;;27.6;;2.6;
83582;24/03/2018;1200;2;;19;;
83582;25/03/2018;0000;;30;;1.7;
83582;25/03/2018;1200;0;;16.4;;
83582;26/03/2018;0000;;30;;1.5;
83582;26/03/2018;1200;0;;17.4;;
83582;27/03/2018;0000;;30.5;;1.5;
83582;27/03/2018;1200;0;;16.8;;
83582;28/03/2018;0000;;30.3;;1.5;
83582;28/03/2018;1200;0;;14.8;;
83582;29/03/2018;0000;;29.6;;1.8;
83582;29/03/2018;1200;0;;15;;
83582;30/03/2018;0000;;29.4;;1.5;
83582;30/03/2018;1200;0;;15;;
83582;31/03/2018;0000;;28.4;;1.5;
83582;31/03/2018;1200;0;;15.2;;
83582;02/04/2018;0000;;26.4;;2.35;
83582;02/04/2018;1200;10.6;;15.2;;
83582;03/04/2018;0000;;30.9;;1.8;
83582;03/04/2018;1200;1.8;;20;;
83582;04/04/2018;0000;;27.8;;1.5;
83582;04/04/2018;1200;11;;20.4;;

		
	
[Fechar] <#>
	
		

