--------------------
BDMEP - INMET
--------------------
Estação           : BARBACENA - MG (OMM: 83689)
Latitude  (graus) : -21.25
Longitude (graus) : -43.76
Altitude  (metros): 1126.00
Estação Operante
Inicio de operação: 09/06/1914
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83689;01/01/2018;0000;;;;2.566667;
83689;01/01/2018;1200;5.2;;17.8;;
83689;02/01/2018;0000;;;;2.433333;
83689;02/01/2018;1200;0;;18.6;;
83689;03/01/2018;0000;;;;2.033333;
83689;03/01/2018;1200;0.4;;18.9;;
83689;04/01/2018;0000;;;;0.5;
83689;04/01/2018;1200;28.2;;16.8;;
83689;05/01/2018;0000;;;;1.7;
83689;05/01/2018;1200;47.2;;16.9;;
83689;06/01/2018;0000;;;;0.666667;
83689;06/01/2018;1200;14.4;;17.4;;
83689;08/01/2018;0000;;;;1;
83689;08/01/2018;1200;0;;17.7;;
83689;09/01/2018;0000;;;;0.833333;
83689;09/01/2018;1200;11;;17.1;;
83689;10/01/2018;0000;;;;1;
83689;10/01/2018;1200;0;;17.1;;
83689;11/01/2018;0000;;;;0.833333;
83689;11/01/2018;1200;0;;16.1;;
83689;12/01/2018;0000;;;;0.633333;
83689;12/01/2018;1200;0;;16.9;;
83689;13/01/2018;0000;;;;0.666667;
83689;13/01/2018;1200;2.4;;16.5;;
83689;15/01/2018;0000;;;;0.166667;
83689;15/01/2018;1200;0;;16.6;;
83689;16/01/2018;0000;;;;0.333333;
83689;16/01/2018;1200;9.6;;15.5;;
83689;17/01/2018;0000;;;;0.333333;
83689;17/01/2018;1200;0;;17.3;;
83689;18/01/2018;0000;;;;1.333333;
83689;18/01/2018;1200;0;;16.9;;
83689;19/01/2018;0000;;;;1;
83689;19/01/2018;1200;0;;16.3;;
83689;20/01/2018;0000;;;;0.666667;
83689;20/01/2018;1200;0;;16.3;;
83689;22/01/2018;0000;;;;1;
83689;22/01/2018;1200;0;;16.5;;
83689;23/01/2018;0000;;28.7;;0.5;
83689;23/01/2018;1200;22;;16.9;;
83689;24/01/2018;0000;;;;0.333333;
83689;24/01/2018;1200;2;;17.8;;
83689;25/01/2018;0000;;;;0.666667;
83689;25/01/2018;1200;0;;17.5;;
83689;26/01/2018;0000;;;;0.166667;
83689;26/01/2018;1200;0.2;;17.5;;
83689;27/01/2018;0000;;;;0.666667;
83689;27/01/2018;1200;16.4;;17.7;;
83689;29/01/2018;0000;;;;1.466667;
83689;29/01/2018;1200;0;;17.5;;
83689;30/01/2018;0000;;;;0.666667;
83689;30/01/2018;1200;17;;17.5;;
83689;31/01/2018;0000;;;;0.17148;
83689;31/01/2018;1200;42.6;;15.5;;
83689;01/02/2018;0000;;;;0;
83689;01/02/2018;1200;0;;13.4;;
83689;02/02/2018;0000;;;;0.5;
83689;02/02/2018;1200;0;;16.5;;
83689;03/02/2018;0000;;;;1;
83689;03/02/2018;1200;0;;16.8;;
83689;05/02/2018;0000;;;;0;
83689;05/02/2018;1200;17.2;;13.5;;
83689;06/02/2018;0000;;;;0;
83689;06/02/2018;1200;20.8;;14.1;;
83689;07/02/2018;0000;;;;0.75;
83689;07/02/2018;1200;2.2;;15.7;;
83689;08/02/2018;0000;;;;0;
83689;08/02/2018;1200;0;;16.5;;
83689;09/02/2018;0000;;;;0.50722;
83689;09/02/2018;1200;0;;17.5;;
83689;10/02/2018;0000;;;;0.25;
83689;10/02/2018;1200;0;;17.9;;
83689;12/02/2018;0000;;;;0.5;
83689;12/02/2018;1200;0;;17.5;;
83689;13/02/2018;0000;;;;0.75;
83689;13/02/2018;1200;0;;16.7;;
83689;14/02/2018;0000;;;;1;
83689;14/02/2018;1200;0;;17.7;;
83689;15/02/2018;0000;;;;0.5;
83689;15/02/2018;1200;0;;17.7;;
83689;16/02/2018;0000;;;;0.25;
83689;16/02/2018;1200;0;;16.9;;
83689;17/02/2018;0000;;;;0.25;
83689;17/02/2018;1200;0;;16.8;;
83689;19/02/2018;0000;;;;0.75;
83689;19/02/2018;1200;15.6;;16.5;;
83689;20/02/2018;0000;;;;0.75;
83689;20/02/2018;1200;9.2;;17.7;;
83689;21/02/2018;0000;;;;1.25;
83689;21/02/2018;1200;2.6;;18.4;;
83689;22/02/2018;0000;;;;0.75;
83689;22/02/2018;1200;2.7;;17.8;;
83689;23/02/2018;0000;;;;1.3;
83689;23/02/2018;1200;1;;18.2;;
83689;24/02/2018;0000;;;;0;
83689;24/02/2018;1200;22;;17.5;;
83689;26/02/2018;0000;;;;0.25;
83689;26/02/2018;1200;3;;16.2;;
83689;27/02/2018;0000;;;;1.3;
83689;27/02/2018;1200;22;;16.2;;
83689;28/02/2018;0000;;;;1.3;
83689;28/02/2018;1200;9;;17.2;;
83689;01/03/2018;0000;;;;0.5;
83689;01/03/2018;1200;1;;18.2;;
83689;02/03/2018;0000;;;;0.5;
83689;02/03/2018;1200;3.4;;18.5;;
83689;03/03/2018;0000;;;;0.75;
83689;03/03/2018;1200;38.6;;18.4;;
83689;05/03/2018;0000;;;;0.25;
83689;05/03/2018;1200;18;;17.8;;
83689;06/03/2018;0000;;;;0.5;
83689;06/03/2018;1200;0;;18.2;;
83689;07/03/2018;0000;;;;0.25;
83689;07/03/2018;1200;2.4;;19.8;;
83689;08/03/2018;0000;;;;0.25;
83689;08/03/2018;1200;1;;19.3;;
83689;09/03/2018;0000;;;;0.25;
