--------------------
BDMEP - INMET
--------------------
Estação           : BELO HORIZONTE - MG (OMM: 83587)
Latitude  (graus) : -19.93
Longitude (graus) : -43.93
Altitude  (metros): 915.00
Estação Operante
Inicio de operação: 03/03/1910
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83587;01/01/2018;0000;;30;;1.166667;
83587;01/01/2018;1200;1.4;;20.8;;
83587;02/01/2018;0000;;29.8;;1.2;
83587;02/01/2018;1200;0.2;;20.8;;
83587;03/01/2018;0000;;30.2;;1.7;
83587;03/01/2018;1200;5.1;;19.9;;
83587;04/01/2018;0000;;22.9;;1.3;
83587;04/01/2018;1200;18.4;;19.3;;
83587;05/01/2018;0000;;27.8;;0.4;
83587;05/01/2018;1200;23.9;;19.2;;
83587;06/01/2018;0000;;26.7;;1.3;
83587;06/01/2018;1200;8;;19;;
83587;07/01/2018;0000;;29.4;;;
83587;07/01/2018;1200;7.4;;20.6;;
83587;08/01/2018;0000;;29.2;;;
83587;08/01/2018;1200;0;;19.8;;
83587;09/01/2018;0000;;29.3;;;
83587;09/01/2018;1200;0;;20.3;;
83587;10/01/2018;0000;;29.2;;;
83587;10/01/2018;1200;0;;20.4;;
83587;11/01/2018;0000;;27.4;;;
83587;11/01/2018;1200;0;;20.2;;
83587;12/01/2018;0000;;29.9;;;
83587;12/01/2018;1200;0;;20.7;;
83587;13/01/2018;0000;;30.6;;;
83587;13/01/2018;1200;0;;20.4;;
83587;14/01/2018;0000;;28.2;;;
83587;14/01/2018;1200;4;;18.3;;
83587;15/01/2018;0000;;28.9;;;
83587;15/01/2018;1200;24.2;;18.1;;
83587;16/01/2018;0000;;30.8;;;
83587;16/01/2018;1200;4.2;;20.2;;
83587;17/01/2018;0000;;30.9;;;
83587;17/01/2018;1200;0;;21.9;;
83587;18/01/2018;0000;;31.9;;0.966667;
83587;18/01/2018;1200;0;;21.1;;
83587;19/01/2018;0000;;32.2;;0.8;
