--------------------
BDMEP - INMET
--------------------
Estação           : BOM DESPACHO - MG (OMM: 83533)
Latitude  (graus) : -19.68
Longitude (graus) : -45.36
Altitude  (metros): 695.00
Estação Operante
Inicio de operação: 01/01/1981
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83533;01/01/2018;0000;;30.3;;0.066667;
83533;01/01/2018;1200;13.4;;20.4;;
83533;02/01/2018;0000;;31.7;;0.133333;
83533;02/01/2018;1200;8.7;;19.2;;
83533;03/01/2018;0000;;33.3;;0.133333;
83533;03/01/2018;1200;0;;19.5;;
83533;04/01/2018;0000;;35.1;;0.133333;
83533;04/01/2018;1200;0;;17.2;;
83533;05/01/2018;0000;;32.9;;0.1;
83533;05/01/2018;1200;0.8;;19.8;;
83533;06/01/2018;0000;;33.1;;0.1;
83533;06/01/2018;1200;0;;18.2;;
83533;07/01/2018;0000;;32.9;;0.066667;
83533;07/01/2018;1200;0;;18.6;;
83533;08/01/2018;0000;;34.5;;0.166667;
83533;08/01/2018;1200;0;;18.4;;
83533;09/01/2018;0000;;33.3;;0.1;
83533;09/01/2018;1200;0.5;;18.8;;
83533;10/01/2018;0000;;32.5;;0.1;
83533;10/01/2018;1200;0;;16.4;;
83533;11/01/2018;0000;;31.9;;0.1;
83533;11/01/2018;1200;0;;17.4;;
83533;12/01/2018;0000;;32.9;;0.133333;
83533;12/01/2018;1200;0;;20;;
83533;13/01/2018;0000;;34.1;;0.033333;
83533;13/01/2018;1200;0;;19;;
83533;14/01/2018;0000;;34.3;;0.133333;
83533;14/01/2018;1200;0;;18.6;;
83533;01/02/2018;0000;;30.7;;0.066667;
83533;01/02/2018;1200;8.8;;19.6;;
83533;02/02/2018;0000;;26;;0.066667;
83533;02/02/2018;1200;6.1;;20.8;;
83533;03/02/2018;0000;;29.7;;0.1;
83533;03/02/2018;1200;19.4;;20;;
83533;04/02/2018;0000;;25.6;;0.1;
83533;04/02/2018;1200;0;;20;;
83533;05/02/2018;0000;;24.4;;0.066667;
83533;05/02/2018;1200;3.9;;19;;
83533;06/02/2018;0000;;26;;0.066667;
83533;06/02/2018;1200;24.7;;19.6;;
83533;07/02/2018;0000;;30.9;;0.066667;
83533;07/02/2018;1200;16.4;;19.4;;
83533;08/02/2018;0000;;33.1;;0.033333;
83533;08/02/2018;1200;0;;17.8;;
83533;09/02/2018;0000;;31.1;;0.033333;
83533;09/02/2018;1200;0;;19.4;;
83533;10/02/2018;0000;;29.7;;0.066667;
83533;10/02/2018;1200;24.2;;20;;
83533;11/02/2018;0000;;32.5;;0.133333;
83533;11/02/2018;1200;0;;19.8;;
83533;12/02/2018;0000;;32.7;;0.066667;
83533;12/02/2018;1200;0;;18.6;;
83533;13/02/2018;0000;;33.3;;0.133333;
83533;13/02/2018;1200;0;;17.6;;
83533;14/02/2018;0000;;31.9;;0.166667;
83533;14/02/2018;1200;0;;18.6;;
83533;15/02/2018;0000;;31.3;;0.066667;
83533;15/02/2018;1200;0;;17;;
83533;16/02/2018;0000;;31.1;;0.066667;
83533;16/02/2018;1200;0;;16.8;;
83533;17/02/2018;0000;;33.5;;0.133333;
83533;17/02/2018;1200;0;;16.6;;
83533;18/02/2018;0000;;31.5;;0.133333;
83533;18/02/2018;1200;0;;16.4;;
83533;19/02/2018;0000;;31.1;;0.133333;
83533;19/02/2018;1200;1;;16;;
83533;20/02/2018;0000;;29.9;;0.033333;
83533;20/02/2018;1200;50.2;;17;;
83533;21/02/2018;0000;;30.1;;0.033333;
83533;21/02/2018;1200;0;;20;;
83533;22/02/2018;0000;;30.3;;0.133333;
83533;22/02/2018;1200;12.4;;20.6;;
83533;23/02/2018;0000;;27.9;;0.033333;
83533;23/02/2018;1200;12.5;;20;;
83533;24/02/2018;0000;;28.1;;0.033333;
83533;24/02/2018;1200;8.6;;19.6;;
83533;25/02/2018;0000;;28.9;;0.066667;
83533;25/02/2018;1200;30;;16.8;;
83533;26/02/2018;0000;;27.9;;0.066667;
83533;26/02/2018;1200;0;;20;;
83533;27/02/2018;0000;;30.9;;0.066667;
83533;27/02/2018;1200;17.8;;19;;
83533;28/02/2018;0000;;32.7;;0.033333;
83533;28/02/2018;1200;34.1;;19.8;;
83533;01/03/2018;0000;;32.7;;0.066667;
83533;01/03/2018;1200;0.6;;18.4;;
83533;02/03/2018;0000;;31.5;;0.133333;
83533;02/03/2018;1200;0;;17.6;;
83533;03/03/2018;0000;;33.1;;0.033333;
83533;03/03/2018;1200;1.3;;20;;
83533;04/03/2018;0000;;32.9;;0;
83533;04/03/2018;1200;20;;19.8;;
83533;05/03/2018;0000;;33.7;;0.066667;
83533;05/03/2018;1200;0;;20;;
83533;06/03/2018;0000;;34.7;;0.066667;
83533;06/03/2018;1200;0;;19.2;;
83533;07/03/2018;0000;;32.1;;0.1;
83533;07/03/2018;1200;1;;18.8;;
83533;08/03/2018;0000;;31.7;;0.066667;
83533;08/03/2018;1200;2.4;;18.4;;
83533;09/03/2018;0000;;28.5;;0.066667;
83533;09/03/2018;1200;0;;20;;
83533;10/03/2018;0000;;30.1;;0.133333;
83533;10/03/2018;1200;13.5;;18.6;;
83533;11/03/2018;0000;;30.1;;0.033333;
83533;11/03/2018;1200;16;;20.8;;
83533;12/03/2018;0000;;33.3;;0.033333;
83533;12/03/2018;1200;3.7;;19.6;;
83533;13/03/2018;0000;;34.7;;0.066667;
83533;13/03/2018;1200;0;;17.6;;
83533;14/03/2018;0000;;32.9;;0.033333;
83533;14/03/2018;1200;0;;17.4;;
83533;15/03/2018;0000;;31;;0.066667;
83533;15/03/2018;1200;0;;20.1;;
83533;16/03/2018;0000;;33.6;;0.066667;
83533;16/03/2018;1200;0;;17;;
83533;17/03/2018;0000;;33.5;;0.066667;
83533;17/03/2018;1200;0;;21;;
83533;18/03/2018;0000;;33.1;;0.033333;
83533;18/03/2018;1200;0;;19.4;;
83533;19/03/2018;0000;;33.5;;0.033333;
83533;19/03/2018;1200;0;;17.5;;
83533;20/03/2018;0000;;31.1;;0.066667;
83533;20/03/2018;1200;1.3;;17.4;;
83533;21/03/2018;0000;;28.7;;0.066667;
83533;21/03/2018;1200;0;;17.4;;
83533;22/03/2018;0000;;29.9;;0.066667;
83533;22/03/2018;1200;13.3;;17.6;;
83533;23/03/2018;0000;;32.1;;0.066667;
83533;23/03/2018;1200;0;;19;;
83533;24/03/2018;0000;;28.7;;0.066667;
83533;24/03/2018;1200;1;;17.4;;
83533;25/03/2018;0000;;30.9;;0.066667;
83533;25/03/2018;1200;0;;17.6;;
83533;26/03/2018;0000;;30.7;;0.066667;
83533;26/03/2018;1200;0;;13.6;;
83533;27/03/2018;0000;;31.7;;0.133333;
83533;27/03/2018;1200;0;;11.8;;
83533;28/03/2018;0000;;30.9;;0.066667;
83533;28/03/2018;1200;0;;13.7;;
83533;29/03/2018;0000;;30.1;;0;
83533;29/03/2018;1200;0;;15.2;;
83533;30/03/2018;0000;;31.1;;0.066667;
83533;30/03/2018;1200;0;;15;;
83533;31/03/2018;0000;;31.7;;0.066667;
83533;31/03/2018;1200;0;;14.6;;
83533;01/04/2018;0000;;31.2;;0.133333;
83533;01/04/2018;1200;0;;19.2;;
83533;02/04/2018;0000;;29.5;;0.066667;
83533;02/04/2018;1200;0;;18.4;;
83533;03/04/2018;0000;;29.9;;0.066667;
83533;03/04/2018;1200;0.5;;15;;
83533;04/04/2018;0000;;30.1;;0.666667;
83533;04/04/2018;1200;4.6;;18.4;;
83533;05/04/2018;0000;;32.1;;0.066667;
83533;05/04/2018;1200;1;;18.8;;
83533;06/04/2018;0000;;28.9;;0.133333;
83533;06/04/2018;1200;0.5;;16.6;;
83533;07/04/2018;0000;;31.9;;0.2;
83533;07/04/2018;1200;0;;15.4;;
83533;08/04/2018;0000;;31.3;;0.066667;
83533;08/04/2018;1200;0;;14.6;;
83533;09/04/2018;0000;;29.9;;0.1;
83533;09/04/2018;1200;0;;15.7;;
83533;10/04/2018;0000;;30.1;;0.066667;
83533;10/04/2018;1200;0;;15.5;;
83533;11/04/2018;0000;;30.9;;0.066667;
83533;11/04/2018;1200;0;;13.6;;
83533;12/04/2018;0000;;28.5;;0.066667;
83533;12/04/2018;1200;0;;12.4;;
83533;13/04/2018;0000;;29.9;;0.066667;
83533;13/04/2018;1200;0;;13;;
83533;14/04/2018;0000;;31.3;;0.066667;
83533;14/04/2018;1200;0;;13.4;;
83533;15/04/2018;0000;;29.1;;0.066667;
83533;15/04/2018;1200;0;;16.4;;
83533;16/04/2018;0000;;26.8;;0.066667;
83533;16/04/2018;1200;0.1;;13.6;;
83533;17/04/2018;0000;;25.4;;0.066667;
83533;17/04/2018;1200;0;;13;;
83533;18/04/2018;0000;;27.5;;0.133333;
83533;18/04/2018;1200;0.7;;12;;
83533;19/04/2018;0000;;27.9;;0.066667;
83533;19/04/2018;1200;0;;13;;
83533;20/04/2018;0000;;28.9;;0.066667;
83533;20/04/2018;1200;0;;12.4;;
83533;21/04/2018;0000;;28.7;;0.133333;
83533;21/04/2018;1200;0;;12;;
83533;22/04/2018;0000;;27.7;;0.066667;
83533;22/04/2018;1200;0;;13;;
83533;23/04/2018;0000;;29.3;;0.1;
83533;23/04/2018;1200;0;;11.8;;
83533;24/04/2018;0000;;29.5;;0.033333;
