--------------------
BDMEP - INMET
--------------------
Estação           : C  DO MATO DENTRO - MG (OMM: 83589)
Latitude  (graus) : -19.02
Longitude (graus) : -43.43
Altitude  (metros): 652.00
Estação Operante
Inicio de operação: 30/06/1925
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83589;01/01/2018;0000;;31.4;;1.4;
83589;01/01/2018;1200;0;;20.2;;
83589;02/01/2018;0000;;32.8;;1.866667;
83589;02/01/2018;1200;0;;20.4;;
83589;03/01/2018;0000;;32.8;;3.9;
83589;03/01/2018;1200;0.4;;21.3;;
83589;04/01/2018;0000;;25.7;;1.3;
83589;04/01/2018;1200;60.3;;20.2;;
83589;05/01/2018;0000;;30.6;;3.966667;
83589;05/01/2018;1200;4.7;;19.2;;
83589;06/01/2018;0000;;30.4;;0.933333;
83589;06/01/2018;1200;45.2;;18.9;;
83589;07/01/2018;0000;;30.2;;1.9;
83589;07/01/2018;1200;3.4;;19.8;;
83589;08/01/2018;0000;;30.7;;3.7;
83589;08/01/2018;1200;0;;18.8;;
83589;09/01/2018;0000;;31;;3.333333;
83589;09/01/2018;1200;0;;17.7;;
83589;10/01/2018;0000;;31.3;;2.6;
83589;10/01/2018;1200;0;;20.3;;
83589;11/01/2018;0000;;30;;2.033333;
83589;11/01/2018;1200;0;;16.7;;
83589;12/01/2018;0000;;30.6;;1.666667;
83589;12/01/2018;1200;0;;16.9;;
83589;13/01/2018;0000;;31.8;;1.8;
83589;13/01/2018;1200;0;;19.1;;
83589;14/01/2018;0000;;30.5;;1.133333;
83589;14/01/2018;1200;9.9;;18.2;;
83589;15/01/2018;0000;;31.4;;2.1;
83589;15/01/2018;1200;0;;19.6;;
83589;16/01/2018;0000;;31.9;;2.066667;
83589;16/01/2018;1200;2.8;;18.5;;
83589;17/01/2018;0000;;32;;2.4;
83589;17/01/2018;1200;0;;17.1;;
83589;18/01/2018;0000;;32.4;;1.166667;
83589;18/01/2018;1200;0;;16.6;;
83589;19/01/2018;0000;;33.6;;2.033333;
83589;19/01/2018;1200;0;;15.5;;
83589;20/01/2018;0000;;34.6;;2;
83589;20/01/2018;1200;0;;14.1;;
83589;21/01/2018;0000;;33.9;;1.2;
83589;21/01/2018;1200;0;;14.6;;
83589;22/01/2018;0000;;33.2;;1.6;
83589;22/01/2018;1200;0;;15.8;;
83589;23/01/2018;0000;;31.8;;1.466667;
83589;23/01/2018;1200;0;;19.9;;
83589;24/01/2018;0000;;32.6;;1.833333;
83589;24/01/2018;1200;0;;19.5;;
83589;25/01/2018;0000;;30.6;;1.866667;
83589;25/01/2018;1200;0;;19;;
83589;26/01/2018;0000;;32.7;;2.066667;
83589;26/01/2018;1200;0;;16.1;;
83589;27/01/2018;0000;;33;;2.533333;
83589;27/01/2018;1200;0;;16.8;;
83589;28/01/2018;0000;;33.6;;2.833333;
83589;28/01/2018;1200;0;;19.7;;
83589;29/01/2018;0000;;31.1;;0.666667;
83589;29/01/2018;1200;0.3;;21;;
83589;30/01/2018;0000;;32.8;;2.233333;
83589;30/01/2018;1200;0;;20.6;;
83589;31/01/2018;0000;;31.8;;1.54296;
83589;31/01/2018;1200;30;;20.3;;
83589;01/02/2018;0000;;32.1;;3;
83589;01/02/2018;1200;87.1;;19.6;;
83589;02/02/2018;0000;;23;;1.1;
83589;02/02/2018;1200;49.2;;20;;
