--------------------
BDMEP - INMET
--------------------
Estação           : CAMPOS - RJ (OMM: 83698)
Latitude  (graus) : -21.74
Longitude (graus) : -41.33
Altitude  (metros): 11.20
Estação Operante
Inicio de operação: 17/06/1911
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83698;31/01/2018;0000;;28.7;;0.77166;
83698;31/01/2018;1200;70.4;;22.5;;
83698;01/02/2018;0000;;31.4;;0;
83698;01/02/2018;1200;1.2;;22;;
83698;02/02/2018;0000;;31.7;;0;
83698;02/02/2018;1200;4;;23;;
83698;03/02/2018;0000;;30.4;;0;
83698;03/02/2018;1200;0;;23.2;;
83698;04/02/2018;0000;;25.2;;0;
83698;04/02/2018;1200;0.6;;22.5;;
83698;05/02/2018;0000;;24.2;;0;
83698;05/02/2018;1200;6.9;;19.9;;
83698;06/02/2018;0000;;30.1;;0;
83698;06/02/2018;1200;45;;20.5;;
83698;07/02/2018;0000;;30.2;;0;
83698;07/02/2018;1200;2.8;;22.5;;
83698;08/02/2018;0000;;33.6;;0;
83698;08/02/2018;1200;0;;22.4;;
83698;09/02/2018;0000;;33;;0;
83698;09/02/2018;1200;0;;23.2;;
83698;10/02/2018;0000;;32.4;;1.6;
83698;10/02/2018;1200;0;;24;;
83698;11/02/2018;0000;;34.4;;1.6;
83698;11/02/2018;1200;0;;24;;
83698;12/02/2018;0000;;32.1;;1.6;
83698;12/02/2018;1200;0;;23;;
83698;13/02/2018;0000;;36;;1.6;
83698;13/02/2018;1200;0;;24;;
83698;14/02/2018;0000;;34;;0;
83698;14/02/2018;1200;0;;24.5;;
83698;15/02/2018;0000;;32;;0;
83698;15/02/2018;1200;0;;24.6;;
83698;16/02/2018;0000;;34;;0;
83698;16/02/2018;1200;0.8;;23.8;;
83698;17/02/2018;0000;;31.4;;0;
83698;17/02/2018;1200;0;;23.5;;
83698;18/02/2018;0000;;34;;0.8;
83698;18/02/2018;1200;0;;23;;
83698;19/02/2018;0000;;33.7;;1.6;
83698;19/02/2018;1200;5.9;;24;;
83698;20/02/2018;0000;;33.8;;1.6;
83698;20/02/2018;1200;0;;24.6;;
83698;21/02/2018;0000;;34;;1.6;
83698;21/02/2018;1200;5.8;;24.6;;
83698;22/02/2018;0000;;33;;0.8;
83698;22/02/2018;1200;0;;24.8;;
83698;23/02/2018;0000;;32.8;;0.8;
