--------------------
BDMEP - INMET
--------------------
Estação           : CAPARAO - MG (OMM: 83639)
Latitude  (graus) : -20.51
Longitude (graus) : -41.9
Altitude  (metros): 843.18
Estação Operante
Inicio de operação: 17/11/1972
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83639;01/01/2018;0000;;28.8;;0.333333;
83639;01/01/2018;1200;11.2;;20;;
83639;02/01/2018;0000;;29;;0.166667;
83639;02/01/2018;1200;11.4;;19.6;;
83639;03/01/2018;0000;;29.4;;0.166667;
83639;03/01/2018;1200;0;;20;;
83639;04/01/2018;0000;;24.4;;0;
83639;04/01/2018;1200;37;;19.8;;
83639;05/01/2018;0000;;26.6;;0.666667;
83639;05/01/2018;1200;0.4;;20.2;;
83639;06/01/2018;0000;;27.2;;0.666667;
83639;06/01/2018;1200;2.6;;18;;
83639;07/01/2018;0000;;27.8;;0.5;
83639;07/01/2018;1200;0;;19.6;;
83639;08/01/2018;0000;;28;;0.166667;
83639;08/01/2018;1200;0;;18.2;;
83639;09/01/2018;0000;;28.6;;0.5;
83639;09/01/2018;1200;0;;14.2;;
83639;10/01/2018;0000;;28;;0.166667;
83639;10/01/2018;1200;0;;18.8;;
83639;11/01/2018;0000;;28.2;;0.333333;
83639;11/01/2018;1200;0;;17.4;;
83639;12/01/2018;0000;;28.2;;0.5;
83639;12/01/2018;1200;0;;18.2;;
83639;13/01/2018;0000;;27.8;;0.5;
83639;13/01/2018;1200;0;;20.4;;
83639;14/01/2018;0000;;30.6;;0.833333;
83639;14/01/2018;1200;0;;19.2;;
83639;15/01/2018;0000;;29.8;;0.333333;
83639;15/01/2018;1200;1;;19.6;;
83639;16/01/2018;0000;;29.5;;0.166667;
83639;16/01/2018;1200;0;;19.2;;
83639;17/01/2018;0000;;28.5;;0.333333;
83639;17/01/2018;1200;6.6;;19.6;;
83639;18/01/2018;0000;;29.7;;0.666667;
83639;18/01/2018;1200;0;;17.4;;
83639;19/01/2018;0000;;32.2;;0.166667;
83639;19/01/2018;1200;0;;18;;
83639;20/01/2018;0000;;32.7;;0;
83639;20/01/2018;1200;0;;14.8;;
83639;21/01/2018;0000;;32;;0.166667;
83639;21/01/2018;1200;0;;15.2;;
83639;22/01/2018;0000;;28.4;;0.333333;
83639;22/01/2018;1200;3;;18.6;;
83639;23/01/2018;0000;;27.8;;0.333333;
83639;23/01/2018;1200;0;;20;;
83639;24/01/2018;0000;;28;;0.333333;
83639;24/01/2018;1200;0;;18.4;;
83639;25/01/2018;0000;;28.6;;0.333333;
83639;25/01/2018;1200;0;;18.2;;
83639;26/01/2018;0000;;29;;0;
83639;26/01/2018;1200;0;;16.6;;
83639;27/01/2018;0000;;29.5;;1.533333;
83639;27/01/2018;1200;0;;17.8;;
83639;28/01/2018;0000;;29.2;;0.333333;
83639;28/01/2018;1200;0;;19.8;;
83639;29/01/2018;0000;;31.2;;0.666667;
83639;29/01/2018;1200;5;;19.6;;
83639;30/01/2018;0000;;26;;0.866667;
83639;30/01/2018;1200;11.6;;20;;
83639;31/01/2018;0000;;29.2;;0;
83639;31/01/2018;1200;57.4;;19;;
83639;01/02/2018;0000;;24.1;;0.333333;
83639;01/02/2018;1200;30;;17.8;;
83639;02/02/2018;0000;;24.5;;0;
83639;02/02/2018;1200;11;;18.4;;
83639;03/02/2018;0000;;24;;0.166667;
83639;03/02/2018;1200;2.8;;17.4;;
83639;04/02/2018;0000;;20.8;;0.333333;
83639;04/02/2018;1200;0.7;;17.6;;
83639;05/02/2018;0000;;22;;0.166667;
83639;05/02/2018;1200;49.4;;15.4;;
83639;06/02/2018;0000;;25;;0.666667;
83639;06/02/2018;1200;38.8;;18.4;;
83639;07/02/2018;0000;;28.4;;0.5;
83639;07/02/2018;1200;13.2;;18.8;;
83639;08/02/2018;0000;;27;;0.166667;
83639;08/02/2018;1200;0;;20.2;;
83639;09/02/2018;0000;;29.3;;0;
83639;09/02/2018;1200;0;;18.6;;
83639;10/02/2018;0000;;27;;0.666667;
83639;10/02/2018;1200;0;;20;;
83639;11/02/2018;0000;;27.6;;0.666667;
83639;11/02/2018;1200;0;;19.6;;
83639;12/02/2018;0000;;31.6;;0.5;
83639;12/02/2018;1200;0;;15.2;;
83639;13/02/2018;0000;;31;;0.666667;
83639;13/02/2018;1200;0;;17.6;;
83639;14/02/2018;0000;;29.6;;0;
83639;14/02/2018;1200;0;;21.8;;
83639;15/02/2018;0000;;26.5;;0;
83639;15/02/2018;1200;0;;19.6;;
83639;16/02/2018;0000;;28;;0;
83639;16/02/2018;1200;0;;18.4;;
83639;17/02/2018;0000;;27.8;;0.5;
83639;17/02/2018;1200;0;;18;;
83639;18/02/2018;0000;;27.8;;0.333333;
83639;18/02/2018;1200;4.4;;19;;
83639;19/02/2018;0000;;28.4;;0.333333;
83639;19/02/2018;1200;0;;19.6;;
83639;20/02/2018;0000;;28;;1.166667;
83639;20/02/2018;1200;17.8;;19.8;;
83639;21/02/2018;0000;;27;;0.166667;
83639;21/02/2018;1200;3.4;;21.2;;
83639;22/02/2018;0000;;25.6;;0.333333;
83639;22/02/2018;1200;16;;20.6;;
83639;23/02/2018;0000;;28.2;;0.5;
83639;23/02/2018;1200;18.4;;19.6;;
83639;24/02/2018;0000;;26.8;;1;
83639;24/02/2018;1200;4.2;;19.2;;
83639;25/02/2018;0000;;27.8;;0.333333;
83639;25/02/2018;1200;0;;17.6;;
83639;26/02/2018;0000;;27.6;;0.166667;
83639;26/02/2018;1200;0;;17.4;;
83639;27/02/2018;0000;;27.4;;0.333333;
83639;27/02/2018;1200;0;;20;;
83639;28/02/2018;0000;;29.2;;0.666667;
83639;28/02/2018;1200;0;;19.4;;
83639;01/03/2018;0000;;28;;0.5;
83639;01/03/2018;1200;45.4;;19.4;;
83639;02/03/2018;0000;;31;;0;
