--------------------
BDMEP - INMET
--------------------
Estação           : CAPINOPOLIS - MG (OMM: 83514)
Latitude  (graus) : -18.71
Longitude (graus) : -49.55
Altitude  (metros): 620.60
Estação Operante
Inicio de operação: 13/08/1969
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83514;01/01/2018;0000;;31.4;;0.666667;
83514;01/01/2018;1200;30;;19.6;;
83514;02/01/2018;0000;;30;;1.7;
83514;02/01/2018;1200;41.6;;19.6;;
83514;03/01/2018;0000;;29.4;;0.666667;
83514;03/01/2018;1200;8.1;;20;;
83514;04/01/2018;0000;;30.7;;1.333333;
83514;04/01/2018;1200;6;;20.8;;
83514;05/01/2018;0000;;29.5;;1.366667;
83514;05/01/2018;1200;33;;20;;
83514;06/01/2018;0000;;25.8;;0.666667;
83514;06/01/2018;1200;24.6;;20.2;;
83514;07/01/2018;0000;;29.4;;1.333333;
83514;07/01/2018;1200;32.2;;20.8;;
83514;08/01/2018;0000;;26.3;;0.666667;
83514;08/01/2018;1200;85;;19.6;;
83514;09/01/2018;0000;;29;;0.833333;
83514;09/01/2018;1200;20.6;;19.4;;
83514;10/01/2018;0000;;31.8;;0.5;
83514;10/01/2018;1200;0;;21.4;;
83514;11/01/2018;0000;;30.7;;0.833333;
83514;11/01/2018;1200;0;;21.6;;
83514;12/01/2018;0000;;29;;1.533333;
83514;12/01/2018;1200;0;;19.8;;
83514;13/01/2018;0000;;31.2;;0.833333;
83514;13/01/2018;1200;0;;20;;
83514;14/01/2018;0000;;32.5;;1.333333;
83514;14/01/2018;1200;0;;20.2;;
83514;15/01/2018;0000;;31;;1.5;
83514;15/01/2018;1200;0;;20.2;;
83514;16/01/2018;0000;;33;;1;
83514;16/01/2018;1200;0;;20.1;;
83514;17/01/2018;0000;;33.8;;0.666667;
83514;17/01/2018;1200;0;;21.2;;
83514;18/01/2018;0000;;34.2;;0.666667;
83514;18/01/2018;1200;0;;21;;
83514;19/01/2018;0000;;34;;0.5;
83514;19/01/2018;1200;0;;20.5;;
83514;20/01/2018;0000;;35.1;;1;
83514;20/01/2018;1200;0;;19.2;;
83514;21/01/2018;0000;;35.2;;0.833333;
83514;21/01/2018;1200;0;;20.8;;
83514;22/01/2018;0000;;35;;0.666667;
83514;22/01/2018;1200;0;;21.8;;
83514;23/01/2018;0000;;35;;0.333333;
83514;23/01/2018;1200;0;;20.7;;
83514;24/01/2018;0000;;34.5;;1;
83514;24/01/2018;1200;0;;23;;
83514;25/01/2018;0000;;29.2;;1.166667;
83514;25/01/2018;1200;2;;21.4;;
83514;26/01/2018;0000;;29;;1;
83514;26/01/2018;1200;0;;21.2;;
83514;27/01/2018;0000;;31.4;;1.733333;
83514;27/01/2018;1200;12;;21.2;;
83514;28/01/2018;0000;;30.4;;0.833333;
83514;28/01/2018;1200;0;;21.3;;
83514;29/01/2018;0000;;31.5;;1;
83514;29/01/2018;1200;6.1;;20.8;;
83514;30/01/2018;0000;;29.5;;1.166667;
83514;30/01/2018;1200;60.8;;21.6;;
83514;31/01/2018;0000;;32.2;;1.376293;
83514;31/01/2018;1200;23.4;;20.4;;
83514;01/02/2018;0000;;31.3;;0.666667;
83514;01/02/2018;1200;24;;21.7;;
83514;02/02/2018;0000;;31.2;;0.833333;
83514;02/02/2018;1200;8;;21.7;;
83514;03/02/2018;0000;;31.2;;0.666667;
83514;03/02/2018;1200;10;;19.3;;
83514;04/02/2018;0000;;28.8;;0.666667;
83514;04/02/2018;1200;21.8;;18.3;;
83514;05/02/2018;0000;;26.2;;0.833333;
83514;05/02/2018;1200;3.6;;19.8;;
83514;06/02/2018;0000;;30;;1;
83514;06/02/2018;1200;0;;19.6;;
83514;07/02/2018;0000;;30.5;;1.166667;
83514;07/02/2018;1200;0;;19.4;;
83514;08/02/2018;0000;;31;;1.333333;
83514;08/02/2018;1200;0;;19.8;;
83514;09/02/2018;0000;;31.8;;1.166667;
83514;09/02/2018;1200;0;;21.2;;
83514;10/02/2018;0000;;30.1;;1.5;
83514;10/02/2018;1200;6.8;;20.6;;
83514;11/02/2018;0000;;32.5;;1;
83514;11/02/2018;1200;0.1;;21.2;;
83514;12/02/2018;0000;;32;;1;
83514;12/02/2018;1200;0;;22.4;;
83514;13/02/2018;0000;;32;;1.5;
83514;13/02/2018;1200;0;;22;;
83514;14/02/2018;0000;;33;;2.2;
83514;14/02/2018;1200;0.1;;21.6;;
83514;15/02/2018;0000;;32.2;;1;
83514;15/02/2018;1200;0;;21.8;;
83514;16/02/2018;0000;;32.6;;1.333333;
83514;16/02/2018;1200;0;;21.2;;
83514;17/02/2018;0000;;33;;0.833333;
83514;17/02/2018;1200;0;;20.6;;
83514;18/02/2018;0000;;29.7;;0.666667;
83514;18/02/2018;1200;0;;20.6;;
83514;19/02/2018;0000;;29.4;;0.666667;
83514;19/02/2018;1200;8.4;;20.4;;
83514;20/02/2018;0000;;29.4;;1;
83514;20/02/2018;1200;12.4;;20.2;;
83514;21/02/2018;0000;;30.8;;0.833333;
83514;21/02/2018;1200;2;;20.8;;
83514;22/02/2018;0000;;31.3;;0.833333;
83514;22/02/2018;1200;0;;20;;
83514;23/02/2018;0000;;31.7;;1;
83514;23/02/2018;1200;0;;20;;
83514;24/02/2018;0000;;30.8;;1.166667;
83514;24/02/2018;1200;11;;20.4;;
83514;25/02/2018;0000;;29.4;;0.833333;
83514;25/02/2018;1200;0;;21.7;;
83514;26/02/2018;0000;;26;;0.833333;
83514;26/02/2018;1200;47;;19.6;;
83514;27/02/2018;0000;;31;;1.866667;
83514;27/02/2018;1200;0;;20.8;;
83514;28/02/2018;0000;;32.2;;1.166667;
83514;28/02/2018;1200;0;;21.2;;
83514;01/03/2018;0000;;33;;1.5;
