--------------------
BDMEP - INMET
--------------------
Estação           : CARATINGA - MG (OMM: 83592)
Latitude  (graus) : -19.73
Longitude (graus) : -42.13
Altitude  (metros): 609.65
Estação Operante
Inicio de operação: 15/03/1924
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83592;01/01/2018;0000;;31.2;;0.333333;
83592;01/01/2018;1200;1.1;;19.7;;
83592;02/01/2018;0000;;33.5;;1.333333;
83592;02/01/2018;1200;0;;19.6;;
83592;03/01/2018;0000;;31.7;;1;
83592;03/01/2018;1200;30.6;;20.5;;
83592;04/01/2018;0000;;25;;1.333333;
83592;04/01/2018;1200;39.2;;20.4;;
83592;05/01/2018;0000;;30.6;;1.666667;
83592;05/01/2018;1200;10.7;;20.7;;
83592;06/01/2018;0000;;29.5;;1;
83592;06/01/2018;1200;14.6;;19.1;;
83592;07/01/2018;0000;;29.9;;1.666667;
83592;07/01/2018;1200;0;;20.2;;
83592;08/01/2018;0000;;30.5;;2;
83592;08/01/2018;1200;0;;20.3;;
83592;09/01/2018;0000;;31.2;;1.666667;
83592;09/01/2018;1200;0;;21.2;;
83592;10/01/2018;0000;;30.1;;1.666667;
83592;10/01/2018;1200;0;;20;;
83592;11/01/2018;0000;;30;;1;
83592;11/01/2018;1200;0;;18.5;;
83592;12/01/2018;0000;;31;;1.333333;
83592;12/01/2018;1200;0;;20.7;;
83592;13/01/2018;0000;;29.6;;1.666667;
83592;13/01/2018;1200;0;;18.5;;
83592;14/01/2018;0000;;32.2;;0.666667;
83592;14/01/2018;1200;0;;18.4;;
83592;15/01/2018;0000;;31.8;;1.333333;
83592;15/01/2018;1200;0;;21.3;;
83592;16/01/2018;0000;;31;;1.333333;
83592;16/01/2018;1200;0;;20.8;;
83592;17/01/2018;0000;;32.2;;1;
83592;17/01/2018;1200;0;;21.8;;
83592;18/01/2018;0000;;31.5;;1.333333;
83592;18/01/2018;1200;0;;18.9;;
83592;19/01/2018;0000;;33.7;;0.666667;
83592;19/01/2018;1200;0;;16.5;;
83592;20/01/2018;0000;;34.5;;1;
83592;20/01/2018;1200;0;;16.3;;
83592;21/01/2018;0000;;32.5;;1;
83592;21/01/2018;1200;0;;20.2;;
83592;22/01/2018;0000;;31.8;;1.333333;
83592;22/01/2018;1200;0;;19.3;;
83592;23/01/2018;0000;;31.2;;1.333333;
83592;23/01/2018;1200;0;;21.5;;
83592;24/01/2018;0000;;31.4;;1.333333;
83592;24/01/2018;1200;0;;19.6;;
83592;25/01/2018;0000;;31.6;;1;
83592;25/01/2018;1200;0;;19.3;;
83592;26/01/2018;0000;;32.3;;1.333333;
83592;26/01/2018;1200;0;;20.8;;
83592;27/01/2018;0000;;31.1;;1.333333;
83592;27/01/2018;1200;0;;19.7;;
83592;28/01/2018;0000;;33.2;;1.666667;
83592;28/01/2018;1200;0.1;;20.3;;
83592;29/01/2018;0000;;32;;1.333333;
83592;29/01/2018;1200;0;;21.9;;
83592;30/01/2018;0000;;30.6;;1.666667;
83592;30/01/2018;1200;0.4;;19.2;;
83592;31/01/2018;0000;;31.2;;1.333333;
83592;31/01/2018;1200;46.2;;19.1;;
83592;01/02/2018;0000;;27.6;;1.333333;
83592;01/02/2018;1200;41.5;;19.4;;
83592;02/02/2018;0000;;24.9;;1;
83592;02/02/2018;1200;17.9;;19.1;;
83592;03/02/2018;0000;;23.4;;0.666667;
83592;03/02/2018;1200;11;;20;;
83592;04/02/2018;0000;;22.6;;1.333333;
83592;04/02/2018;1200;5.6;;19.6;;
83592;05/02/2018;0000;;23.5;;2;
83592;05/02/2018;1200;39.4;;18.4;;
83592;06/02/2018;0000;;28.7;;0.666667;
83592;06/02/2018;1200;34.4;;19.9;;
83592;07/02/2018;0000;;30.7;;1;
83592;07/02/2018;1200;28;;19.5;;
83592;08/02/2018;0000;;31.4;;1.666667;
83592;08/02/2018;1200;0;;20.1;;
83592;09/02/2018;0000;;32;;1.666667;
83592;09/02/2018;1200;0;;20.2;;
83592;10/02/2018;0000;;29.1;;1;
83592;10/02/2018;1200;0;;21.6;;
83592;11/02/2018;0000;;30.4;;1.333333;
83592;11/02/2018;1200;0;;20.4;;
83592;12/02/2018;0000;;31.7;;1.333333;
83592;12/02/2018;1200;0;;15.2;;
83592;13/02/2018;0000;;31.8;;1;
83592;13/02/2018;1200;0;;19.1;;
83592;14/02/2018;0000;;31.2;;1.666667;
83592;14/02/2018;1200;0;;21.2;;
83592;15/02/2018;0000;;31.3;;2;
83592;15/02/2018;1200;0;;20.6;;
83592;16/02/2018;0000;;30.6;;0.333333;
83592;16/02/2018;1200;2.7;;19.7;;
83592;17/02/2018;0000;;30.2;;1.666667;
83592;17/02/2018;1200;6.8;;19.2;;
83592;18/02/2018;0000;;30.7;;0.666667;
83592;18/02/2018;1200;3.7;;19.7;;
83592;19/02/2018;0000;;29.6;;1;
83592;19/02/2018;1200;0;;18.7;;
83592;20/02/2018;0000;;29.5;;1.333333;
83592;20/02/2018;1200;1.2;;20.8;;
83592;21/02/2018;0000;;30.3;;1;
83592;21/02/2018;1200;3.1;;20.6;;
83592;22/02/2018;0000;;28.6;;1.333333;
83592;22/02/2018;1200;6.1;;20.8;;
83592;23/02/2018;0000;;29.2;;0.333333;
83592;23/02/2018;1200;6.6;;20.1;;
83592;24/02/2018;0000;;30;;1;
83592;24/02/2018;1200;0;;20.7;;
83592;25/02/2018;0000;;30.3;;0.333333;
83592;25/02/2018;1200;31.3;;19.2;;
83592;26/02/2018;0000;;28.2;;1;
83592;26/02/2018;1200;0;;21.3;;
83592;27/02/2018;0000;;30.3;;0.666667;
83592;27/02/2018;1200;0.5;;21.2;;
83592;28/02/2018;0000;;31.2;;0.666667;
83592;28/02/2018;1200;0;;19.5;;
83592;01/03/2018;0000;;28.9;;0.666667;
83592;01/03/2018;1200;0;;20.8;;
83592;02/03/2018;0000;;31.8;;0.666667;
83592;02/03/2018;1200;0;;20.8;;
83592;03/03/2018;0000;;32;;1.333333;
83592;03/03/2018;1200;0;;21.3;;
83592;04/03/2018;0000;;30.4;;1;
83592;04/03/2018;1200;6.3;;20.6;;
83592;05/03/2018;0000;;31.4;;1.333333;
83592;05/03/2018;1200;0;;21.7;;
83592;06/03/2018;0000;;33.6;;0.666667;
83592;06/03/2018;1200;0;;21.6;;
83592;07/03/2018;0000;;30.7;;1.333333;
83592;07/03/2018;1200;6;;22.2;;
83592;08/03/2018;0000;;30.8;;1.666667;
83592;08/03/2018;1200;12.5;;21.3;;
83592;09/03/2018;0000;;29.1;;0.666667;
83592;09/03/2018;1200;7.3;;20.6;;
83592;10/03/2018;0000;;30.2;;1;
83592;10/03/2018;1200;102.2;;20.8;;
83592;11/03/2018;0000;;29;;1.333333;
83592;11/03/2018;1200;24.7;;20.7;;
83592;12/03/2018;0000;;32.2;;0.333333;
83592;12/03/2018;1200;0;;21.4;;
83592;13/03/2018;0000;;34.2;;1;
83592;13/03/2018;1200;0;;20;;
83592;14/03/2018;0000;;32;;0.666667;
83592;14/03/2018;1200;0.8;;21.4;;
83592;15/03/2018;0000;;31.1;;1.333333;
83592;15/03/2018;1200;0;;19.5;;
83592;16/03/2018;0000;;32.8;;1.333333;
83592;16/03/2018;1200;0;;20.1;;
83592;17/03/2018;0000;;31.2;;1.333333;
83592;17/03/2018;1200;0.3;;20;;
83592;18/03/2018;0000;;30;;1;
83592;18/03/2018;1200;24.3;;19.9;;
83592;19/03/2018;0000;;30;;1;
83592;19/03/2018;1200;0;;18.6;;
83592;20/03/2018;0000;;31.1;;0.666667;
83592;20/03/2018;1200;0;;17.7;;
83592;21/03/2018;0000;;31.6;;0.333333;
83592;21/03/2018;1200;0;;20.6;;
83592;22/03/2018;0000;;29.3;;1.333333;
83592;22/03/2018;1200;25.3;;21.2;;
83592;23/03/2018;0000;;29.4;;1.666667;
83592;23/03/2018;1200;11.6;;20.4;;
83592;24/03/2018;0000;;28.4;;1.666667;
83592;24/03/2018;1200;2.1;;18.7;;
83592;25/03/2018;0000;;29.8;;1.666667;
83592;25/03/2018;1200;0;;19;;
83592;26/03/2018;0000;;30;;1;
83592;26/03/2018;1200;0;;17.2;;
83592;27/03/2018;0000;;30.4;;1.333333;
83592;27/03/2018;1200;0;;17.2;;
83592;28/03/2018;0000;;29.6;;1.333333;
83592;28/03/2018;1200;0;;18.9;;
83592;29/03/2018;0000;;29.8;;1.333333;
83592;29/03/2018;1200;0;;17.1;;
83592;30/03/2018;0000;;29.7;;0.333333;
83592;30/03/2018;1200;0;;17.6;;
83592;31/03/2018;0000;;29.2;;1;
83592;31/03/2018;1200;0;;17.8;;
83592;01/04/2018;0000;;29.5;;1.333333;
83592;01/04/2018;1200;0;;18.1;;
83592;02/04/2018;0000;;29.8;;1.333333;
83592;02/04/2018;1200;0;;16.7;;
83592;03/04/2018;0000;;30.6;;1.333333;
83592;03/04/2018;1200;0;;17.6;;
83592;04/04/2018;0000;;29.6;;0.666667;
83592;04/04/2018;1200;30.3;;17.6;;
83592;05/04/2018;0000;;29.2;;1.333333;
83592;05/04/2018;1200;1.2;;21.3;;
83592;06/04/2018;0000;;24.7;;1;
83592;06/04/2018;1200;0;;20.8;;
83592;07/04/2018;0000;;28;;1.333333;
83592;07/04/2018;1200;14.6;;19.7;;
83592;08/04/2018;0000;;28;;1;
83592;08/04/2018;1200;16.5;;18.6;;
83592;09/04/2018;0000;;28;;1.666667;
83592;09/04/2018;1200;4.3;;18.2;;
83592;10/04/2018;0000;;29;;1.333333;
83592;10/04/2018;1200;0;;16.9;;
83592;11/04/2018;0000;;28.6;;0.666667;
83592;11/04/2018;1200;0;;16.6;;
83592;12/04/2018;0000;;26.2;;1;
83592;12/04/2018;1200;0.8;;17.6;;
83592;13/04/2018;0000;;29.2;;0.333333;
83592;13/04/2018;1200;8.7;;17.7;;
83592;14/04/2018;0000;;29.2;;1;
83592;14/04/2018;1200;5.3;;19.2;;
83592;15/04/2018;0000;;28.1;;1.333333;
83592;15/04/2018;1200;52.1;;19.1;;
83592;16/04/2018;0000;;25.5;;1.333333;
83592;16/04/2018;1200;0.8;;18.8;;
83592;17/04/2018;0000;;25.3;;1.666667;
83592;17/04/2018;1200;0.2;;17.5;;
83592;18/04/2018;0000;;26.2;;1.333333;
83592;18/04/2018;1200;0;;13.2;;
83592;19/04/2018;0000;;25.8;;1;
83592;19/04/2018;1200;0;;15.3;;
83592;20/04/2018;0000;;26.4;;0.666667;
83592;20/04/2018;1200;0;;14.1;;
83592;21/04/2018;0000;;24.4;;1.666667;
83592;21/04/2018;1200;0;;15;;
83592;22/04/2018;0000;;27.4;;1.333333;
83592;22/04/2018;1200;0;;16.7;;
83592;23/04/2018;0000;;25.8;;0.666667;
83592;23/04/2018;1200;0;;17.7;;
83592;24/04/2018;0000;;27;;1.333333;
83592;24/04/2018;1200;0;;17.1;;
83592;25/04/2018;0000;;27.4;;1.333333;
83592;25/04/2018;1200;0.3;;16.9;;
83592;26/04/2018;0000;;28.9;;1;
83592;26/04/2018;1200;0;;18.2;;
83592;27/04/2018;0000;;29.1;;1.666667;
83592;27/04/2018;1200;0;;17;;
83592;28/04/2018;0000;;28.8;;1.333333;
83592;28/04/2018;1200;0;;16.9;;
83592;29/04/2018;0000;;28.2;;1.333333;
83592;29/04/2018;1200;0;;17.2;;
83592;30/04/2018;0000;;27.3;;0.666667;
83592;30/04/2018;1200;0;;15.7;;
83592;01/05/2018;0000;;27.3;;1.333333;
83592;01/05/2018;1200;0;;12;;
83592;02/05/2018;0000;;29.4;;1.333333;
83592;02/05/2018;1200;0;;13.7;;
83592;03/05/2018;0000;;28.2;;0.666667;
83592;03/05/2018;1200;0;;13;;
83592;04/05/2018;0000;;28.6;;1;
83592;04/05/2018;1200;0;;15;;
83592;05/05/2018;0000;;28.4;;1;
83592;05/05/2018;1200;0;;16.2;;
83592;06/05/2018;0000;;27.8;;1.333333;
83592;06/05/2018;1200;0;;16.7;;
83592;07/05/2018;0000;;27.4;;0.333333;
83592;07/05/2018;1200;1.4;;15.2;;
83592;08/05/2018;0000;;25.8;;0.666667;
83592;08/05/2018;1200;0;;17.2;;
83592;09/05/2018;0000;;27.4;;2;
83592;09/05/2018;1200;5.9;;16.4;;
83592;10/05/2018;0000;;26.3;;1.333333;
83592;10/05/2018;1200;0;;15.5;;
83592;11/05/2018;0000;;26.2;;1;
83592;11/05/2018;1200;0;;13.9;;
83592;12/05/2018;0000;;28.2;;1;
83592;12/05/2018;1200;0;;13.1;;
83592;13/05/2018;0000;;27;;1;
83592;13/05/2018;1200;0;;14.6;;
83592;14/05/2018;0000;;26.6;;1.333333;
83592;14/05/2018;1200;0;;17.9;;
83592;15/05/2018;0000;;26.5;;1.333333;
83592;15/05/2018;1200;0;;16.3;;
83592;16/05/2018;0000;;26.9;;1;
83592;16/05/2018;1200;0;;17.3;;
83592;17/05/2018;0000;;28.2;;1;
83592;17/05/2018;1200;0;;14.5;;
83592;18/05/2018;0000;;26.8;;1.333333;
83592;18/05/2018;1200;0.2;;18.3;;
83592;19/05/2018;0000;;26.2;;1.666667;
83592;19/05/2018;1200;0;;16.5;;
83592;20/05/2018;0000;;22.9;;0.666667;
83592;20/05/2018;1200;12.3;;14.2;;
83592;21/05/2018;0000;;25.6;;1.333333;
83592;21/05/2018;1200;0.1;;10.4;;
83592;22/05/2018;0000;;25.4;;1.333333;
83592;22/05/2018;1200;0;;11.9;;
83592;23/05/2018;0000;;27.3;;1;
83592;23/05/2018;1200;0;;13.6;;
83592;24/05/2018;0000;;23.9;;1.666667;
83592;24/05/2018;1200;0;;16.2;;
83592;25/05/2018;0000;;22.5;;1;
83592;25/05/2018;1200;0.2;;16.5;;
83592;26/05/2018;0000;;21.8;;1;
83592;26/05/2018;1200;12.8;;16.1;;
83592;27/05/2018;0000;;24.2;;1.666667;
83592;27/05/2018;1200;2.3;;12.3;;
83592;28/05/2018;0000;;25.7;;1.666667;
