--------------------
BDMEP - INMET
--------------------
Estação           : CARBONITA - MG (OMM: 83485)
Latitude  (graus) : -17.53
Longitude (graus) : -43
Altitude  (metros): 736.38
Estação Operante
Inicio de operação: 01/01/1981
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83485;01/01/2018;0000;;30.8;;;
83485;01/01/2018;1200;10;;20.1;;
83485;02/01/2018;0000;;33.8;;;
83485;02/01/2018;1200;0;;19.7;;
83485;03/01/2018;0000;;33;;;
83485;03/01/2018;1200;3;;20.3;;
83485;04/01/2018;0000;;26.2;;;
83485;04/01/2018;1200;74.6;;19.7;;
83485;05/01/2018;0000;;30;;;
83485;05/01/2018;1200;0;;20.3;;
83485;06/01/2018;0000;;29;;;
83485;06/01/2018;1200;1;;19.3;;
83485;07/01/2018;0000;;31.8;;;
83485;07/01/2018;1200;0;;17.7;;
83485;08/01/2018;0000;;30.8;;;
83485;08/01/2018;1200;0;;18.7;;
83485;09/01/2018;0000;;31.4;;;
83485;09/01/2018;1200;0;;17.7;;
83485;10/01/2018;0000;;29.8;;;
83485;10/01/2018;1200;3;;19.7;;
83485;11/01/2018;0000;;31;;;
83485;11/01/2018;1200;0;;16.1;;
83485;12/01/2018;0000;;31.4;;;
83485;12/01/2018;1200;0;;17.1;;
83485;13/01/2018;0000;;31;;;
83485;13/01/2018;1200;0;;19.1;;
83485;14/01/2018;0000;;31;;;
83485;14/01/2018;1200;0;;18.7;;
83485;15/01/2018;0000;;31.4;;;
83485;15/01/2018;1200;0;;19.7;;
83485;16/01/2018;0000;;31.8;;;
83485;16/01/2018;1200;0;;17.9;;
83485;17/01/2018;0000;;31.4;;;
83485;17/01/2018;1200;0;;16.5;;
83485;18/01/2018;0000;;30.8;;;
83485;18/01/2018;1200;0;;15.7;;
83485;19/01/2018;0000;;32.8;;;
83485;19/01/2018;1200;0;;15.9;;
83485;20/01/2018;0000;;34;;;
83485;20/01/2018;1200;0;;15.5;;
83485;21/01/2018;0000;;34;;;
83485;21/01/2018;1200;0;;15.9;;
83485;22/01/2018;0000;;33.6;;;
83485;22/01/2018;1200;0;;14.7;;
83485;23/01/2018;0000;;32;;;
83485;23/01/2018;1200;0;;17.7;;
83485;24/01/2018;0000;;33;;;
83485;24/01/2018;1200;0;;17.9;;
83485;25/01/2018;0000;;30.6;;;
83485;25/01/2018;1200;0;;18.9;;
83485;26/01/2018;0000;;32.6;;;
83485;26/01/2018;1200;0;;16.5;;
83485;27/01/2018;0000;;34;;;
83485;27/01/2018;1200;0;;17.3;;
83485;28/01/2018;0000;;31.4;;;
83485;28/01/2018;1200;0;;20.5;;
83485;29/01/2018;0000;;31.6;;;
83485;29/01/2018;1200;0;;19.1;;
83485;30/01/2018;0000;;32.4;;;
83485;30/01/2018;1200;0;;20.7;;
83485;31/01/2018;0000;;23.4;;;
83485;31/01/2018;1200;30.1;;19.7;;
83485;01/02/2018;0000;;27;;;
83485;01/02/2018;1200;10.5;;19.9;;
83485;02/02/2018;0000;;27.4;;;
83485;02/02/2018;1200;2.4;;20.1;;
83485;03/02/2018;0000;;24;;;
