--------------------
BDMEP - INMET
--------------------
Estação           : CATANDUVA - SP (OMM: 83676)
Latitude  (graus) : -21.11
Longitude (graus) : -48.93
Altitude  (metros): 570.00
Estação Operante
Inicio de operação: 01/08/1936
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83676;01/01/2018;0000;;30.5;;1.5;
83676;01/01/2018;1200;0.4;;20.4;;
83676;02/01/2018;0000;;28.7;;2;
83676;02/01/2018;1200;14;;20.8;;
83676;03/01/2018;0000;;27.5;;2;
83676;03/01/2018;1200;25.4;;20.7;;
83676;04/01/2018;0000;;30.8;;1.5;
83676;04/01/2018;1200;3;;21;;
83676;05/01/2018;0000;;31;;2;
83676;05/01/2018;1200;0;;21.5;;
83676;07/01/2018;0000;;27.5;;1.5;
83676;07/01/2018;1200;13.2;;21.3;;
83676;08/01/2018;0000;;24.4;;2;
83676;08/01/2018;1200;9.4;;20.7;;
83676;09/01/2018;0000;;26.8;;1;
83676;09/01/2018;1200;11.3;;19.8;;
83676;10/01/2018;0000;;31.7;;1.5;
83676;10/01/2018;1200;0;;19.5;;
83676;11/01/2018;0000;;31;;1.5;
83676;11/01/2018;1200;0;;21.3;;
83676;12/01/2018;0000;;28;;1.5;
83676;12/01/2018;1200;6.4;;20;;
83676;13/01/2018;1200;12;;;;
83676;14/01/2018;0000;;30.5;;2.5;
83676;14/01/2018;1200;24.5;;23;;
83676;15/01/2018;0000;;30.4;;1.5;
83676;15/01/2018;1200;14.2;;20.4;;
83676;16/01/2018;0000;;31.2;;1.5;
83676;16/01/2018;1200;4.1;;21;;
83676;17/01/2018;0000;;30.8;;1.5;
83676;17/01/2018;1200;8.3;;21.5;;
83676;18/01/2018;0000;;32.4;;2;
83676;18/01/2018;1200;0;;22.1;;
83676;19/01/2018;0000;;33;;2.5;
83676;19/01/2018;1200;0;;21;;
83676;21/01/2018;0000;;33.4;;1.5;
