--------------------
BDMEP - INMET
--------------------
Estação           : CORDEIRO - RJ (OMM: 83718)
Latitude  (graus) : -22.02
Longitude (graus) : -42.36
Altitude  (metros): 505.92
Estação Operante
Inicio de operação: 16/07/1971
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83718;31/01/2018;0000;;26.2;;0;
83718;31/01/2018;1200;0;;19.5;;
83718;01/02/2018;0000;;29.2;;0;
83718;01/02/2018;1200;7.6;;18.4;;
83718;02/02/2018;0000;;29.4;;0;
83718;02/02/2018;1200;0;;18.7;;
83718;03/02/2018;0000;;28.8;;0;
83718;03/02/2018;1200;7.1;;18.8;;
83718;04/02/2018;0000;;25.2;;0;
83718;04/02/2018;1200;0.5;;18.7;;
83718;05/02/2018;0000;;20.1;;0;
83718;05/02/2018;1200;4.5;;17.4;;
83718;06/02/2018;0000;;26.4;;0;
83718;06/02/2018;1200;59.8;;18.4;;
83718;07/02/2018;0000;;28.2;;0;
83718;07/02/2018;1200;23.4;;20.1;;
83718;08/02/2018;0000;;30;;0;
83718;08/02/2018;1200;0.9;;18.6;;
83718;09/02/2018;0000;;30.7;;0;
83718;09/02/2018;1200;0;;21;;
83718;10/02/2018;0000;;30.8;;0;
83718;10/02/2018;1200;0;;20.5;;
83718;11/02/2018;0000;;31.1;;0;
83718;11/02/2018;1200;0;;21.6;;
83718;12/02/2018;0000;;32.4;;0;
83718;12/02/2018;1200;0;;20.1;;
83718;13/02/2018;0000;;32.2;;0;
83718;13/02/2018;1200;0;;18.9;;
83718;14/02/2018;0000;;32.2;;0;
83718;14/02/2018;1200;0;;22;;
83718;15/02/2018;0000;;28.9;;0;
83718;15/02/2018;1200;0;;18.9;;
83718;16/02/2018;0000;;30.7;;0;
83718;16/02/2018;1200;0;;17.7;;
83718;17/02/2018;0000;;30.4;;0;
83718;17/02/2018;1200;0;;18.7;;
83718;18/02/2018;0000;;29.9;;0;
83718;18/02/2018;1200;0;;18.5;;
83718;19/02/2018;0000;;28.6;;0;
83718;19/02/2018;1200;5.9;;18.9;;
83718;20/02/2018;0000;;29.7;;0;
83718;20/02/2018;1200;0;;20.7;;
83718;21/02/2018;0000;;30.2;;0;
83718;21/02/2018;1200;2.7;;21.7;;
83718;22/02/2018;0000;;29.9;;0;
83718;22/02/2018;1200;11.4;;22;;
83718;23/02/2018;0000;;28;;0;
83718;23/02/2018;1200;58.9;;19.7;;
83718;24/02/2018;0000;;26.6;;0;
83718;24/02/2018;1200;3.3;;18.5;;
83718;25/02/2018;0000;;27;;0;
83718;25/02/2018;1200;0;;19.3;;
83718;26/02/2018;0000;;27.7;;0;
83718;26/02/2018;1200;0;;19.8;;
83718;27/02/2018;0000;;29.8;;0;
83718;27/02/2018;1200;19.6;;20.7;;
83718;28/02/2018;0000;;30.8;;0;
83718;28/02/2018;1200;7.2;;21.7;;
