--------------------
BDMEP - INMET
--------------------
Estação           : CURVELO - MG (OMM: 83536)
Latitude  (graus) : -18.75
Longitude (graus) : -44.45
Altitude  (metros): 672.00
Estação Operante
Inicio de operação: 03/09/1912
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83536;01/01/2018;0000;;;;1.333333;
83536;01/01/2018;1200;10.2;;22.4;;
83536;02/01/2018;0000;;;;3;
83536;02/01/2018;1200;5.2;;20.2;;
83536;03/01/2018;0000;;;;0.666667;
83536;03/01/2018;1200;26.2;;20.8;;
83536;04/01/2018;0000;;;;3;
83536;04/01/2018;1200;4.2;;21.4;;
83536;05/01/2018;0000;;;;0.666667;
83536;05/01/2018;1200;3.8;;20;;
83536;06/01/2018;0000;;;;1;
83536;06/01/2018;1200;34;;20;;
83536;07/01/2018;0000;;;;0.666667;
83536;07/01/2018;1200;17.6;;21;;
83536;08/01/2018;0000;;;;1.666667;
83536;08/01/2018;1200;2;;20.4;;
83536;09/01/2018;0000;;;;1.666667;
83536;09/01/2018;1200;0;;18.2;;
83536;10/01/2018;0000;;;;3.666667;
83536;10/01/2018;1200;0;;21.6;;
83536;11/01/2018;0000;;;;2.333333;
83536;11/01/2018;1200;0;;19.4;;
83536;12/01/2018;0000;;;;0.666667;
83536;12/01/2018;1200;0;;19.6;;
83536;13/01/2018;0000;;;;0.666667;
83536;13/01/2018;1200;0;;19.2;;
83536;14/01/2018;0000;;;;2.333333;
83536;14/01/2018;1200;0;;22;;
83536;15/01/2018;0000;;;;2.333333;
83536;15/01/2018;1200;2;;20.2;;
83536;16/01/2018;0000;;;;1.666667;
83536;16/01/2018;1200;0;;20.6;;
83536;17/01/2018;0000;;;;2.333333;
83536;17/01/2018;1200;0;;19.2;;
83536;18/01/2018;0000;;;;1.333333;
83536;18/01/2018;1200;0;;18;;
83536;19/01/2018;0000;;;;1.333333;
83536;19/01/2018;1200;0;;19.2;;
83536;20/01/2018;0000;;;;1.666667;
83536;20/01/2018;1200;0;;19.2;;
83536;21/01/2018;0000;;;;1.666667;
83536;21/01/2018;1200;0;;18.1;;
83536;22/01/2018;0000;;;;2.666667;
83536;22/01/2018;1200;0;;18.4;;
83536;23/01/2018;0000;;;;1;
83536;23/01/2018;1200;0;;22.2;;
83536;24/01/2018;0000;;;;1.666667;
83536;24/01/2018;1200;0;;21.6;;
83536;25/01/2018;0000;;;;1.333333;
83536;25/01/2018;1200;1.4;;21.8;;
83536;26/01/2018;0000;;;;1.333333;
83536;26/01/2018;1200;0;;19.2;;
83536;27/01/2018;0000;;;;3.333333;
83536;27/01/2018;1200;0;;22;;
83536;28/01/2018;0000;;;;2;
83536;28/01/2018;1200;0;;20.4;;
83536;29/01/2018;0000;;;;0.666667;
83536;29/01/2018;1200;0;;22;;
83536;30/01/2018;0000;;;;0.666667;
83536;30/01/2018;1200;47.2;;22.3;;
83536;31/01/2018;0000;;;;1;
83536;31/01/2018;1200;15.2;;20.2;;
83536;01/02/2018;0000;;;;2.333333;
83536;01/02/2018;1200;55.6;;20.2;;
83536;02/02/2018;0000;;;;0.666667;
83536;02/02/2018;1200;29;;21.2;;
83536;03/02/2018;0000;;;;1;
83536;03/02/2018;1200;63.6;;20;;
83536;04/02/2018;0000;;;;1.333333;
83536;04/02/2018;1200;9.4;;19;;
83536;05/02/2018;0000;;;;1;
83536;05/02/2018;1200;12.8;;20;;
83536;06/02/2018;0000;;;;0.666667;
83536;06/02/2018;1200;2;;20;;
83536;07/02/2018;0000;;;;0.666667;
83536;07/02/2018;1200;0;;20;;
83536;08/02/2018;0000;;;;0.666667;
83536;08/02/2018;1200;0;;18.4;;
83536;09/02/2018;0000;;;;1.666667;
83536;09/02/2018;1200;0;;20;;
83536;10/02/2018;0000;;;;1.333333;
83536;10/02/2018;1200;0.4;;22.4;;
83536;11/02/2018;0000;;;;2.333333;
83536;11/02/2018;1200;5.4;;20.4;;
83536;12/02/2018;0000;;;;2;
83536;12/02/2018;1200;0;;18.2;;
83536;13/02/2018;0000;;;;2.666667;
83536;13/02/2018;1200;0;;17.2;;
83536;14/02/2018;0000;;;;1.666667;
83536;14/02/2018;1200;0;;19.4;;
83536;15/02/2018;0000;;;;2.333333;
83536;15/02/2018;1200;0;;18.4;;
83536;16/02/2018;0000;;;;2.333333;
83536;16/02/2018;1200;0;;18.4;;
83536;17/02/2018;0000;;;;3;
83536;17/02/2018;1200;0;;18.2;;
83536;18/02/2018;0000;;;;1.666667;
83536;18/02/2018;1200;0;;19;;
83536;19/02/2018;0000;;;;2;
83536;19/02/2018;1200;0;;21.6;;
83536;20/02/2018;0000;;;;1.333333;
83536;20/02/2018;1200;3.6;;21.8;;
83536;21/02/2018;0000;;;;2;
83536;21/02/2018;1200;0;;22;;
83536;22/02/2018;0000;;;;0.666667;
83536;22/02/2018;1200;10.6;;20.4;;
83536;23/02/2018;0000;;;;0.666667;
83536;23/02/2018;1200;59.6;;19.6;;
83536;24/02/2018;0000;;;;0.666667;
83536;24/02/2018;1200;1.6;;20.5;;
83536;25/02/2018;0000;;;;2.333333;
83536;25/02/2018;1200;20.6;;20;;
83536;26/02/2018;0000;;;;2.333333;
83536;26/02/2018;1200;0;;20.4;;
83536;27/02/2018;0000;;;;0.666667;
83536;27/02/2018;1200;0;;19.8;;
83536;28/02/2018;0000;;;;0.666667;
83536;28/02/2018;1200;0;;21.6;;
83536;01/03/2018;0000;;;;0.666667;
83536;01/03/2018;1200;70.4;;21.4;;
83536;02/03/2018;0000;;;;1.666667;
83536;02/03/2018;1200;0;;23.3;;
83536;03/03/2018;0000;;;;0.666667;
83536;03/03/2018;1200;0;;22;;
83536;04/03/2018;0000;;;;2.333333;
83536;04/03/2018;1200;0;;22.2;;
83536;05/03/2018;0000;;;;1;
83536;05/03/2018;1200;0;;22.4;;
83536;06/03/2018;0000;;;;1;
83536;06/03/2018;1200;0;;22.2;;
83536;07/03/2018;0000;;;;1;
83536;07/03/2018;1200;0;;21;;
83536;08/03/2018;0000;;;;1;
83536;08/03/2018;1200;27.8;;21.2;;
83536;09/03/2018;0000;;;;1.666667;
83536;09/03/2018;1200;0;;22.2;;
83536;10/03/2018;0000;;;;1;
83536;10/03/2018;1200;0.4;;22.2;;
83536;11/03/2018;0000;;;;1.666667;
83536;11/03/2018;1200;54.2;;20.4;;
83536;12/03/2018;0000;;;;1.666667;
83536;12/03/2018;1200;1.2;;21.4;;
83536;13/03/2018;0000;;;;0.666667;
83536;13/03/2018;1200;0;;18.4;;
83536;14/03/2018;0000;;;;1.666667;
83536;14/03/2018;1200;0;;20.8;;
83536;15/03/2018;0000;;;;0.666667;
83536;15/03/2018;1200;0;;21;;
83536;16/03/2018;0000;;;;1;
83536;16/03/2018;1200;0;;22.8;;
83536;17/03/2018;0000;;;;2.666667;
83536;17/03/2018;1200;0;;20.6;;
83536;18/03/2018;0000;;;;1;
83536;18/03/2018;1200;1.2;;19.2;;
83536;19/03/2018;0000;;;;2.333333;
83536;19/03/2018;1200;0;;19.6;;
83536;20/03/2018;0000;;;;0.666667;
83536;20/03/2018;1200;0;;20;;
83536;21/03/2018;0000;;;;2.333333;
83536;21/03/2018;1200;0;;19.4;;
83536;22/03/2018;0000;;;;1;
83536;22/03/2018;1200;21.2;;19.4;;
83536;23/03/2018;0000;;;;1.666667;
83536;23/03/2018;1200;0;;20;;
