--------------------
BDMEP - INMET
--------------------
Estação           : DIAMANTINA - MG (OMM: 83538)
Latitude  (graus) : -18.23
Longitude (graus) : -43.64
Altitude  (metros): 1296.12
Estação Operante
Inicio de operação: 13/04/1918
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83538;01/01/2018;1200;0;;18.3;;
83538;02/01/2018;1200;0;;18.6;;
83538;03/01/2018;1200;14;;17;;
83538;04/01/2018;1200;18.5;;17.4;;
83538;05/01/2018;1200;4.2;;17.2;;
83538;06/01/2018;1200;4.9;;17.2;;
83538;07/01/2018;1200;0;;16.9;;
83538;08/01/2018;1200;0;;16;;
83538;09/01/2018;1200;0;;15.2;;
83538;10/01/2018;1200;2.8;;16.3;;
83538;11/01/2018;0000;;;;0;
83538;11/01/2018;1200;0;;14.5;;
83538;12/01/2018;1200;0;;15.6;;
83538;13/01/2018;1200;0;;16.7;;
83538;14/01/2018;0000;;;;0;
83538;14/01/2018;1200;0;;18.5;;
83538;15/01/2018;1200;0;;18.4;;
83538;16/01/2018;0000;;;;0;
83538;16/01/2018;1200;0;;17.6;;
83538;17/01/2018;0000;;;;0;
83538;17/01/2018;1200;0;;16.6;;
83538;18/01/2018;0000;;;;0;
83538;18/01/2018;1200;0;;15.6;;
83538;19/01/2018;0000;;;;0;
83538;19/01/2018;1200;0;;16.6;;
83538;20/01/2018;0000;;;;0;
83538;20/01/2018;1200;0;;17;;
83538;21/01/2018;0000;;;;0;
83538;21/01/2018;1200;0;;17.9;;
83538;22/01/2018;0000;;;;0;
83538;22/01/2018;1200;0;;16.5;;
83538;23/01/2018;0000;;;;0;
83538;23/01/2018;1200;0;;16.5;;
83538;24/01/2018;0000;;;;0;
83538;24/01/2018;1200;0.5;;18;;
83538;25/01/2018;0000;;;;0;
83538;25/01/2018;1200;0;;16.6;;
83538;26/01/2018;0000;;;;0;
83538;26/01/2018;1200;0.1;;16.8;;
83538;27/01/2018;0000;;;;0;
83538;27/01/2018;1200;0;;17;;
83538;28/01/2018;1200;0;;18.4;;
83538;29/01/2018;1200;0.6;;18.6;;
83538;30/01/2018;1200;1;;18.6;;
83538;31/01/2018;1200;12;;16.8;;
83538;01/02/2018;1200;29.5;;16.5;;
83538;02/02/2018;0000;;;;0;
83538;02/02/2018;1200;7.7;;17.5;;
83538;03/02/2018;1200;26.4;;15;;
83538;04/02/2018;1200;34;;15;;
83538;05/02/2018;1200;47.2;;15.9;;
83538;06/02/2018;1200;55.2;;16;;
83538;07/02/2018;1200;2.9;;16.9;;
83538;08/02/2018;0000;;;;0;
83538;08/02/2018;1200;0;;17;;
83538;09/02/2018;0000;;;;0;
83538;09/02/2018;1200;14.9;;17.9;;
83538;10/02/2018;0000;;;;0;
83538;10/02/2018;1200;10.2;;18.7;;
83538;11/02/2018;0000;;;;0;
83538;11/02/2018;1200;0.6;;16.9;;
83538;12/02/2018;0000;;;;0;
83538;12/02/2018;1200;0;;14.8;;
83538;13/02/2018;1200;0;;17;;
83538;14/02/2018;0000;;;;0;
83538;14/02/2018;1200;0.2;;17.2;;
83538;15/02/2018;0000;;;;0;
83538;15/02/2018;1200;4.8;;17;;
83538;16/02/2018;0000;;;;0;
83538;16/02/2018;1200;0;;15.7;;
83538;17/02/2018;0000;;;;0;
83538;17/02/2018;1200;0;;16;;
83538;18/02/2018;0000;;;;0;
83538;18/02/2018;1200;0;;16.4;;
83538;19/02/2018;1200;0;;17.2;;
83538;20/02/2018;0000;;;;0;
83538;20/02/2018;1200;1.5;;17.9;;
83538;21/02/2018;1200;1.4;;17.6;;
83538;22/02/2018;1200;1.6;;16.8;;
83538;23/02/2018;0000;;;;0;
83538;23/02/2018;1200;8.1;;15.6;;
83538;24/02/2018;0000;;;;0;
83538;24/02/2018;1200;19;;17.6;;
83538;25/02/2018;0000;;;;0;
83538;25/02/2018;1200;1.4;;17;;
83538;26/02/2018;1200;5.2;;16.1;;
83538;27/02/2018;0000;;;;0;
83538;27/02/2018;1200;4.5;;16.4;;
83538;28/02/2018;0000;;;;0;
83538;28/02/2018;1200;0;;16.8;;
83538;01/03/2018;0000;;;;0;
83538;01/03/2018;1200;0;;18.5;;
83538;02/03/2018;0000;;;;0;
83538;02/03/2018;1200;0;;18.4;;
83538;03/03/2018;1200;13.6;;18.4;;
83538;04/03/2018;1200;15.8;;18;;
83538;05/03/2018;0000;;;;0;
83538;05/03/2018;1200;4;;18.2;;
83538;06/03/2018;0000;;;;0;
83538;06/03/2018;1200;0;;17.7;;
83538;07/03/2018;1200;17.6;;18;;
83538;08/03/2018;1200;10.6;;18.1;;
83538;09/03/2018;0000;;;;0;
83538;09/03/2018;1200;0;;18.9;;
83538;10/03/2018;1200;36.6;;16.8;;
83538;11/03/2018;0000;;;;0;
83538;11/03/2018;1200;20;;17.5;;
83538;12/03/2018;0000;;;;0;
83538;12/03/2018;1200;2.8;;18.5;;
83538;13/03/2018;1200;0;;18.4;;
83538;14/03/2018;0000;;;;0;
83538;14/03/2018;1200;0;;19.2;;
83538;15/03/2018;0000;;;;0;
83538;15/03/2018;1200;0;;18;;
83538;16/03/2018;0000;;;;0;
83538;16/03/2018;1200;0;;18.5;;
83538;17/03/2018;1200;3.4;;18;;
83538;18/03/2018;0000;;;;0;
83538;18/03/2018;1200;3.8;;16.7;;
83538;19/03/2018;0000;;;;0;
83538;19/03/2018;1200;0;;16.4;;
83538;20/03/2018;0000;;;;0;
83538;20/03/2018;1200;0;;16.6;;
83538;21/03/2018;1200;0;;17.8;;
83538;22/03/2018;0000;;;;0;
83538;22/03/2018;1200;31.5;;17;;
83538;23/03/2018;0000;;;;0;
