--------------------
BDMEP - INMET
--------------------
Estação           : DIVINOPOLIS - MG (OMM: 83635)
Latitude  (graus) : -20.17
Longitude (graus) : -44.87
Altitude  (metros): 788.35
Estação Operante
Inicio de operação: 11/10/1995
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83635;01/01/2018;0000;;30.5;;2;
83635;01/01/2018;1200;2.3;;20.3;;
83635;02/01/2018;0000;;30.6;;2.333333;
83635;02/01/2018;1200;7.4;;20;;
83635;03/01/2018;0000;;29.8;;2;
83635;03/01/2018;1200;10.6;;19.9;;
83635;04/01/2018;0000;;25.7;;2.366667;
83635;04/01/2018;1200;3.8;;19.7;;
83635;05/01/2018;0000;;25.2;;2.333333;
83635;05/01/2018;1200;48.4;;19.8;;
83635;06/01/2018;0000;;30.3;;2.666667;
83635;06/01/2018;1200;11.7;;19.1;;
83635;07/01/2018;0000;;29.3;;2;
83635;07/01/2018;1200;34.2;;19.4;;
83635;08/01/2018;0000;;29.4;;2;
83635;08/01/2018;1200;35.3;;18.9;;
83635;09/01/2018;0000;;30.2;;3.333333;
83635;09/01/2018;1200;0;;17.1;;
83635;10/01/2018;0000;;31.1;;3;
83635;10/01/2018;1200;0;;19.5;;
83635;11/01/2018;0000;;29.8;;2;
83635;11/01/2018;1200;0;;18.4;;
83635;12/01/2018;0000;;31.5;;2;
83635;12/01/2018;1200;0;;17.9;;
83635;13/01/2018;0000;;31.5;;2;
83635;13/01/2018;1200;0;;18.5;;
83635;14/01/2018;0000;;28.4;;2;
83635;14/01/2018;1200;5.2;;18.6;;
83635;15/01/2018;0000;;30;;2;
83635;15/01/2018;1200;7.4;;18.6;;
83635;16/01/2018;0000;;31.7;;2;
83635;16/01/2018;1200;0.5;;19.2;;
83635;17/01/2018;0000;;32.9;;2.666667;
83635;17/01/2018;1200;0;;19.6;;
83635;18/01/2018;0000;;32.5;;2;
83635;18/01/2018;1200;0;;17.7;;
83635;19/01/2018;0000;;33.9;;2.333333;
83635;19/01/2018;1200;0;;16.5;;
83635;20/01/2018;0000;;33.8;;1.666667;
83635;20/01/2018;1200;0;;18.6;;
83635;22/01/2018;0000;;34.1;;1.333333;
83635;22/01/2018;1200;0;;;;
83635;23/01/2018;0000;;;;2.333333;
83635;23/01/2018;1200;0;;19.5;;
83635;24/01/2018;0000;;32.2;;3;
83635;24/01/2018;1200;7.9;;19.9;;
83635;25/01/2018;0000;;32.1;;1.666667;
83635;25/01/2018;1200;46.8;;19.9;;
83635;26/01/2018;0000;;32.5;;2.666667;
83635;26/01/2018;1200;0;;17.8;;
83635;27/01/2018;0000;;31.7;;2.333333;
83635;27/01/2018;1200;4.3;;20.1;;
83635;29/01/2018;0000;;31.1;;2;
83635;29/01/2018;1200;0;;20;;
83635;30/01/2018;0000;;29.9;;3.333333;
83635;30/01/2018;1200;33.9;;20;;
83635;31/01/2018;0000;;31.4;;2.68592;
83635;31/01/2018;1200;57.3;;20.5;;
83635;01/02/2018;0000;;30.3;;2.666667;
83635;01/02/2018;1200;3;;18.7;;
83635;02/02/2018;0000;;24.6;;1;
83635;02/02/2018;1200;0;;20.4;;
83635;03/02/2018;0000;;29.6;;2.333333;
83635;03/02/2018;1200;13.5;;19.6;;
83635;04/02/2018;0000;;24.6;;2;
83635;04/02/2018;1200;0;;19;;
83635;05/02/2018;0000;;21;;2.333333;
83635;05/02/2018;1200;8.1;;17.8;;
83635;06/02/2018;0000;;26;;1.333333;
83635;06/02/2018;1200;15.1;;17.9;;
83635;07/02/2018;0000;;30.2;;2;
83635;07/02/2018;1200;12.2;;18.6;;
83635;08/02/2018;0000;;31.2;;1.333333;
83635;08/02/2018;1200;0;;17.4;;
83635;09/02/2018;0000;;32.2;;2;
83635;09/02/2018;1200;0.5;;18.1;;
83635;10/02/2018;0000;;30.9;;2.666667;
83635;10/02/2018;1200;0;;20.9;;
83635;11/02/2018;0000;;32.7;;1.666667;
83635;11/02/2018;1200;2.1;;18.8;;
83635;12/02/2018;0000;;31.7;;2;
83635;12/02/2018;1200;0;;20.6;;
83635;13/02/2018;0000;;32.3;;3;
83635;13/02/2018;1200;0;;19.4;;
83635;14/02/2018;0000;;32;;2;
83635;14/02/2018;1200;0;;19.5;;
83635;15/02/2018;0000;;31.5;;2.666667;
83635;15/02/2018;1200;0;;18.9;;
83635;16/02/2018;0000;;29;;2;
83635;16/02/2018;1200;0;;18.2;;
83635;17/02/2018;0000;;31.4;;2.333333;
83635;17/02/2018;1200;0;;18;;
83635;18/02/2018;0000;;31.4;;1.666667;
83635;18/02/2018;1200;0;;18;;
83635;19/02/2018;0000;;28.6;;2.666667;
83635;19/02/2018;1200;0.4;;19.7;;
83635;20/02/2018;0000;;30.4;;2;
83635;20/02/2018;1200;33;;20;;
83635;21/02/2018;0000;;30.1;;2;
83635;21/02/2018;1200;9.6;;20.9;;
83635;22/02/2018;0000;;29.4;;2.333333;
83635;22/02/2018;1200;7.3;;20.5;;
83635;23/02/2018;0000;;28.5;;2;
83635;23/02/2018;1200;0;;20;;
83635;24/02/2018;0000;;29.1;;2.366667;
83635;24/02/2018;1200;0.7;;19.4;;
83635;25/02/2018;0000;;28.5;;2;
83635;25/02/2018;1200;34.1;;19.7;;
83635;26/02/2018;0000;;28.8;;2;
83635;26/02/2018;1200;13.9;;19.8;;
83635;27/02/2018;0000;;30.6;;3.333333;
83635;27/02/2018;1200;0.6;;19.2;;
83635;28/02/2018;0000;;31.4;;2;
83635;28/02/2018;1200;0.2;;19.5;;
83635;01/03/2018;0000;;32.1;;2;
83635;01/03/2018;1200;28.7;;19.6;;
83635;02/03/2018;0000;;31.6;;1.666667;
83635;02/03/2018;1200;0;;20.3;;
83635;03/03/2018;0000;;31.4;;1.666667;
83635;03/03/2018;1200;42.2;;19;;
83635;04/03/2018;0000;;32;;1.666667;
83635;04/03/2018;1200;0;;21;;
83635;05/03/2018;0000;;31.7;;2;
83635;05/03/2018;1200;1.6;;19.9;;
83635;06/03/2018;0000;;32.2;;1.333333;
83635;06/03/2018;1200;0.2;;19.6;;
83635;07/03/2018;0000;;32.3;;2;
83635;07/03/2018;1200;1.7;;20.7;;
83635;08/03/2018;0000;;30.6;;1.666667;
83635;08/03/2018;1200;3.8;;20.8;;
83635;09/03/2018;0000;;28;;2;
83635;09/03/2018;1200;8.8;;21;;
83635;10/03/2018;0000;;31.1;;2.333333;
83635;10/03/2018;1200;11.7;;20.4;;
83635;11/03/2018;0000;;30.2;;2.333333;
83635;11/03/2018;1200;6.8;;20.9;;
83635;12/03/2018;0000;;32.6;;1;
83635;12/03/2018;1200;4.6;;20;;
83635;13/03/2018;0000;;33.5;;2;
83635;13/03/2018;1200;0;;19.4;;
83635;14/03/2018;0000;;32.6;;2;
83635;14/03/2018;1200;0;;21.3;;
83635;15/03/2018;0000;;32.2;;2.333333;
83635;15/03/2018;1200;0.4;;21.4;;
83635;16/03/2018;0000;;34.2;;2;
83635;16/03/2018;1200;0;;20.3;;
83635;17/03/2018;0000;;32.2;;2;
83635;17/03/2018;1200;0.8;;20;;
83635;18/03/2018;0000;;31.2;;1.666667;
83635;18/03/2018;1200;34.4;;18.9;;
83635;19/03/2018;0000;;31.9;;1.666667;
83635;19/03/2018;1200;0;;18.4;;
83635;20/03/2018;0000;;30.6;;2.333333;
83635;20/03/2018;1200;0;;21.3;;
83635;21/03/2018;0000;;26.6;;2;
83635;21/03/2018;1200;6.8;;20.8;;
83635;22/03/2018;0000;;31.6;;2;
83635;22/03/2018;1200;3.1;;19.2;;
83635;23/03/2018;0000;;30.5;;2.666667;
83635;23/03/2018;1200;0.2;;19.4;;
83635;24/03/2018;0000;;29.6;;3.333333;
83635;24/03/2018;1200;0;;19.9;;
83635;25/03/2018;0000;;30.1;;2.333333;
83635;25/03/2018;1200;0;;15.9;;
83635;26/03/2018;0000;;30.6;;2;
83635;26/03/2018;1200;0;;18.4;;
83635;27/03/2018;0000;;31;;2.333333;
83635;27/03/2018;1200;0;;17.6;;
83635;28/03/2018;0000;;30.4;;2.333333;
83635;28/03/2018;1200;0;;16.2;;
83635;29/03/2018;0000;;29.5;;2.333333;
83635;29/03/2018;1200;0;;17.9;;
83635;30/03/2018;0000;;29.6;;2.333333;
83635;30/03/2018;1200;0;;16.6;;
83635;31/03/2018;0000;;30;;1.666667;
83635;31/03/2018;1200;0;;15.4;;
83635;01/04/2018;0000;;31;;1.666667;
83635;01/04/2018;1200;0;;15.9;;
83635;02/04/2018;0000;;29.3;;3;
83635;02/04/2018;1200;0;;19.5;;
83635;03/04/2018;0000;;31.6;;1.666667;
83635;03/04/2018;1200;0;;20.5;;
83635;04/04/2018;0000;;30.1;;2;
83635;04/04/2018;1200;0.6;;20.6;;
83635;05/04/2018;0000;;30.6;;2.666667;
83635;05/04/2018;1200;0;;18.9;;
83635;06/04/2018;0000;;29.1;;2.333333;
83635;06/04/2018;1200;0;;19.6;;
83635;07/04/2018;0000;;30.1;;3.333333;
83635;07/04/2018;1200;2.1;;17.4;;
83635;08/04/2018;0000;;30;;2;
83635;08/04/2018;1200;0.3;;18.4;;
83635;09/04/2018;0000;;29.4;;2.333333;
83635;09/04/2018;1200;0;;17;;
83635;10/04/2018;0000;;29.4;;2.666667;
83635;10/04/2018;1200;0;;17.3;;
83635;11/04/2018;0000;;29.4;;1.666667;
83635;11/04/2018;1200;0;;18.2;;
83635;12/04/2018;0000;;27.1;;2.666667;
83635;12/04/2018;1200;0;;17.2;;
83635;13/04/2018;0000;;28.8;;2;
83635;13/04/2018;1200;0;;16.2;;
83635;14/04/2018;0000;;29.8;;2.333333;
83635;14/04/2018;1200;0;;16.4;;
83635;15/04/2018;0000;;27.4;;2;
83635;15/04/2018;1200;0;;18;;
83635;16/04/2018;0000;;26.4;;5;
83635;16/04/2018;1200;0;;17.6;;
83635;17/04/2018;0000;;25.6;;3.333333;
83635;17/04/2018;1200;0;;16.8;;
83635;18/04/2018;0000;;27.1;;3.333333;
83635;18/04/2018;1200;0;;13.1;;
83635;19/04/2018;0000;;27;;1.333333;
83635;19/04/2018;1200;0;;13.8;;
83635;20/04/2018;0000;;28.9;;1.666667;
83635;20/04/2018;1200;0;;13.3;;
83635;21/04/2018;0000;;25.6;;2.333333;
83635;21/04/2018;1200;0;;14.8;;
83635;22/04/2018;0000;;26.8;;2;
83635;22/04/2018;1200;0;;15.4;;
83635;23/04/2018;0000;;28;;2;
83635;23/04/2018;1200;0;;12.9;;
83635;24/04/2018;0000;;28.7;;2.333333;
83635;24/04/2018;1200;0;;13.4;;
83635;25/04/2018;0000;;28.8;;1.666667;
83635;25/04/2018;1200;0;;14.9;;
83635;26/04/2018;0000;;30.3;;2;
83635;26/04/2018;1200;0;;14.3;;
83635;27/04/2018;0000;;28.6;;1.666667;
83635;27/04/2018;1200;0;;15.5;;
83635;28/04/2018;0000;;29.3;;2;
83635;28/04/2018;1200;0;;15.2;;
83635;29/04/2018;0000;;28;;1.666667;
83635;29/04/2018;1200;0;;13.4;;
83635;30/04/2018;0000;;29.2;;2;
83635;30/04/2018;1200;0;;12.3;;
83635;01/05/2018;0000;;29.4;;1.666667;
83635;01/05/2018;1200;0;;12.4;;
83635;02/05/2018;0000;;29.2;;2.333333;
83635;02/05/2018;1200;0;;12.2;;
83635;03/05/2018;0000;;29.4;;2.333333;
83635;03/05/2018;1200;0;;10.9;;
83635;04/05/2018;0000;;29.8;;1.333333;
83635;04/05/2018;1200;0;;12.8;;
83635;05/05/2018;0000;;30.3;;2;
83635;05/05/2018;1200;0;;13.8;;
83635;06/05/2018;0000;;30.1;;2.666667;
83635;06/05/2018;1200;0;;15;;
83635;07/05/2018;0000;;27.4;;4;
83635;07/05/2018;1200;0;;14.2;;
83635;08/05/2018;0000;;27.7;;3.333333;
83635;08/05/2018;1200;0;;13.1;;
83635;09/05/2018;0000;;26;;2.333333;
83635;09/05/2018;1200;0;;13.5;;
83635;10/05/2018;0000;;27.5;;2.333333;
83635;10/05/2018;1200;0;;11.7;;
83635;11/05/2018;0000;;29.4;;1.666667;
83635;11/05/2018;1200;0;;11.9;;
83635;12/05/2018;0000;;29.4;;1.666667;
83635;12/05/2018;1200;0;;12.5;;
83635;13/05/2018;0000;;30.2;;1.666667;
83635;13/05/2018;1200;0;;8.5;;
83635;14/05/2018;0000;;28.5;;2;
83635;14/05/2018;1200;0;;16.4;;
83635;15/05/2018;0000;;28.4;;2;
83635;15/05/2018;1200;0;;15.8;;
83635;16/05/2018;0000;;29.1;;1.666667;
83635;16/05/2018;1200;0;;13.8;;
83635;17/05/2018;0000;;28.3;;2.333333;
83635;17/05/2018;1200;0;;14.8;;
83635;18/05/2018;0000;;28.1;;1.666667;
83635;18/05/2018;1200;20.4;;14.5;;
83635;19/05/2018;0000;;22.7;;1.333333;
83635;19/05/2018;1200;0;;15.6;;
83635;20/05/2018;0000;;21.1;;2.666667;
83635;20/05/2018;1200;4;;12.8;;
83635;21/05/2018;0000;;24.8;;1.333333;
83635;21/05/2018;1200;0;;4.8;;
83635;22/05/2018;0000;;26.8;;1.666667;
83635;22/05/2018;1200;0;;5.8;;
83635;23/05/2018;0000;;27.4;;1.666667;
83635;23/05/2018;1200;0;;7.1;;
83635;24/05/2018;0000;;27.7;;1.666667;
83635;24/05/2018;1200;0;;10.4;;
83635;25/05/2018;0000;;26.6;;2;
83635;25/05/2018;1200;0;;11.9;;
83635;26/05/2018;0000;;27.2;;2;
83635;26/05/2018;1200;0;;10.4;;
83635;27/05/2018;0000;;26;;2;
83635;27/05/2018;1200;0;;10.8;;
83635;28/05/2018;0000;;25.9;;4.333333;
83635;28/05/2018;1200;0;;10.5;;
83635;29/05/2018;0000;;24.4;;3;
83635;29/05/2018;1200;0;;10.9;;
83635;30/05/2018;0000;;25;;3;
83635;30/05/2018;1200;0;;11.7;;
83635;31/05/2018;0000;;25.4;;2;
83635;31/05/2018;1200;0;;9.9;;
