--------------------
BDMEP - INMET
--------------------
Estação           : ESPINOSA - MG (OMM: 83338)
Latitude  (graus) : -14.91
Longitude (graus) : -42.8
Altitude  (metros): 569.64
Estação Operante
Inicio de operação: 01/03/1974
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83338;01/01/2018;0000;;;;3;
83338;01/01/2018;1200;0;;28.6;;
83338;02/01/2018;0000;;33.6;;2;
83338;02/01/2018;1200;15.1;;23;;
83338;03/01/2018;0000;;32.7;;1.5;
83338;03/01/2018;1200;0;;22.8;;
83338;04/01/2018;0000;;29.9;;1.5;
83338;04/01/2018;1200;6.6;;22.5;;
83338;05/01/2018;0000;;31.9;;3;
83338;05/01/2018;1200;0;;22.5;;
83338;06/01/2018;0000;;31.4;;4;
83338;06/01/2018;1200;0;;20.7;;
83338;08/01/2018;0000;;32.6;;5;
83338;08/01/2018;1200;0;;20;;
83338;09/01/2018;0000;;33.6;;4;
83338;09/01/2018;1200;0;;21.5;;
83338;10/01/2018;0000;;29.2;;2;
83338;10/01/2018;1200;0;;21.7;;
83338;11/01/2018;0000;;31.6;;5;
83338;11/01/2018;1200;2.1;;20.1;;
83338;12/01/2018;0000;;33.6;;2;
83338;12/01/2018;1200;0;;22.2;;
83338;13/01/2018;0000;;33.7;;4;
83338;13/01/2018;1200;0;;23;;
83338;15/01/2018;0000;;;;4;
83338;15/01/2018;1200;0;;;;
83338;16/01/2018;0000;;34.2;;3;
83338;16/01/2018;1200;0;;22.3;;
83338;17/01/2018;0000;;33;;7;
83338;17/01/2018;1200;0;;21.3;;
83338;18/01/2018;0000;;32.2;;7.5;
83338;18/01/2018;1200;0;;21;;
83338;19/01/2018;0000;;34.3;;5;
83338;19/01/2018;1200;0;;22.9;;
83338;20/01/2018;0000;;34.5;;3;
83338;20/01/2018;1200;0;;23;;
83338;22/01/2018;0000;;35.4;;5;
83338;22/01/2018;1200;0;;22.7;;
83338;23/01/2018;0000;;34.9;;4;
83338;23/01/2018;1200;0;;22.6;;
83338;24/01/2018;0000;;35;;4;
83338;24/01/2018;1200;0;;22.5;;
83338;25/01/2018;0000;;33;;4;
83338;25/01/2018;1200;0;;22.8;;
83338;26/01/2018;0000;;30.5;;2.5;
83338;26/01/2018;1200;0.4;;23;;
83338;27/01/2018;0000;;32.1;;4;
83338;27/01/2018;1200;7.1;;21.3;;
83338;28/01/2018;1200;0.5;;;;
83338;29/01/2018;0000;;;;2;
83338;29/01/2018;1200;0;;26.3;;
83338;30/01/2018;0000;;34.4;;2;
83338;30/01/2018;1200;0;;23.2;;
83338;31/01/2018;0000;;26.3;;2;
83338;31/01/2018;1200;5.8;;21.5;;
83338;01/02/2018;0000;;27.1;;1;
83338;01/02/2018;1200;4.4;;21.6;;
83338;02/02/2018;0000;;32.3;;2.5;
83338;02/02/2018;1200;8.6;;20.9;;
83338;03/02/2018;0000;;23.6;;1;
83338;03/02/2018;1200;22.4;;21.6;;
