--------------------
BDMEP - INMET
--------------------
Estação           : FLORESTAL - MG (OMM: 83581)
Latitude  (graus) : -19.88
Longitude (graus) : -44.41
Altitude  (metros): 760.00
Estação Operante
Inicio de operação: 09/04/1960
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83581;01/01/2018;0000;;28.8;;;
83581;01/01/2018;1200;2;;20.6;;
83581;02/01/2018;0000;;32;;;
83581;02/01/2018;1200;3.8;;20.4;;
83581;03/01/2018;0000;;33;;;
83581;03/01/2018;1200;12;;20.8;;
83581;04/01/2018;0000;;32;;;
83581;04/01/2018;1200;3.6;;21;;
83581;05/01/2018;0000;;24.8;;;
83581;05/01/2018;1200;83.4;;19.6;;
83581;06/01/2018;0000;;27;;;
83581;06/01/2018;1200;6.2;;19.4;;
83581;07/01/2018;0000;;31.4;;;
83581;07/01/2018;1200;0;;20.2;;
83581;08/01/2018;0000;;31.6;;;
83581;08/01/2018;1200;2.6;;18.4;;
83581;09/01/2018;0000;;31.8;;;
83581;09/01/2018;1200;0;;15.2;;
83581;10/01/2018;0000;;31.4;;;
83581;10/01/2018;1200;0;;19;;
83581;11/01/2018;0000;;31.2;;;
83581;11/01/2018;1200;0;;17.4;;
83581;12/01/2018;0000;;30;;;
83581;12/01/2018;1200;0;;16.2;;
83581;13/01/2018;1200;0;;;;
83581;14/01/2018;0000;;32.6;;;
83581;14/01/2018;1200;0.2;;19.2;;
83581;15/01/2018;0000;;29;;;
83581;15/01/2018;1200;2.8;;18.2;;
83581;16/01/2018;0000;;30.6;;;
83581;16/01/2018;1200;14.4;;18.4;;
83581;17/01/2018;0000;;31.6;;;
83581;17/01/2018;1200;0;;16.8;;
83581;18/01/2018;0000;;33;;;
83581;18/01/2018;1200;0;;14.6;;
83581;19/01/2018;0000;;33;;;
83581;19/01/2018;1200;0;;15.8;;
83581;20/01/2018;0000;;34.8;;;
83581;20/01/2018;1200;0;;16.6;;
83581;21/01/2018;0000;;34.6;;;
83581;21/01/2018;1200;0;;14.2;;
83581;22/01/2018;0000;;35;;;
83581;22/01/2018;1200;0;;17.6;;
83581;23/01/2018;0000;;34.8;;;
83581;23/01/2018;1200;0;;21.2;;
83581;24/01/2018;0000;;32;;;
83581;24/01/2018;1200;0;;20.8;;
83581;25/01/2018;0000;;33.2;;;
83581;25/01/2018;1200;0;;20.2;;
83581;26/01/2018;0000;;34;;;
83581;26/01/2018;1200;0;;16.6;;
83581;27/01/2018;0000;;34;;;
83581;27/01/2018;1200;0;;19.8;;
83581;28/01/2018;0000;;34.2;;;
83581;28/01/2018;1200;0;;19.6;;
83581;29/01/2018;0000;;34.6;;;
83581;29/01/2018;1200;0;;21.2;;
83581;30/01/2018;0000;;33.6;;;
83581;30/01/2018;1200;7.4;;21.6;;
83581;31/01/2018;0000;;29.4;;;
83581;31/01/2018;1200;39;;19.6;;
83581;01/02/2018;0000;;29.6;;;
83581;01/02/2018;1200;3;;19.4;;
83581;02/02/2018;0000;;27.6;;;
83581;02/02/2018;1200;16.6;;19.2;;
83581;03/02/2018;0000;;23.6;;;
83581;03/02/2018;1200;28.2;;19;;
83581;04/02/2018;0000;;28.8;;;
83581;04/02/2018;1200;14;;19;;
83581;05/02/2018;0000;;23.4;;;
83581;05/02/2018;1200;21.6;;17.6;;
83581;06/02/2018;0000;;23;;;
83581;06/02/2018;1200;25;;17.4;;
83581;07/02/2018;0000;;27.6;;;
83581;07/02/2018;1200;6.4;;19.2;;
83581;08/02/2018;0000;;29;;;
83581;08/02/2018;1200;0;;16.6;;
83581;09/02/2018;0000;;31.6;;;
83581;09/02/2018;1200;0;;17.8;;
83581;10/02/2018;0000;;33.8;;;
83581;10/02/2018;1200;0;;20.2;;
83581;11/02/2018;0000;;31.4;;;
83581;11/02/2018;1200;0;;18.4;;
83581;12/02/2018;0000;;33.8;;;
83581;12/02/2018;1200;0;;17.2;;
83581;13/02/2018;0000;;28.4;;;
83581;13/02/2018;1200;0;;16.4;;
83581;14/02/2018;0000;;33.6;;;
83581;14/02/2018;1200;0;;17.8;;
83581;15/02/2018;0000;;33.4;;;
83581;15/02/2018;1200;0;;15.2;;
83581;16/02/2018;0000;;29.6;;;
83581;16/02/2018;1200;0;;16.6;;
83581;17/02/2018;0000;;30.2;;;
83581;17/02/2018;1200;;;16;;
83581;18/02/2018;0000;;30;;;
83581;18/02/2018;1200;0;;16.2;;
83581;19/02/2018;0000;;29.5;;;
83581;19/02/2018;1200;11.4;;19.2;;
83581;20/02/2018;0000;;28.2;;;
83581;20/02/2018;1200;6.6;;19.4;;
83581;21/02/2018;0000;;29.2;;;
83581;21/02/2018;1200;16.6;;19.2;;
83581;22/02/2018;0000;;27.8;;;
83581;22/02/2018;1200;112.4;;19.7;;
83581;23/02/2018;0000;;29;;;
83581;23/02/2018;1200;27.4;;19.2;;
83581;24/02/2018;0000;;28.4;;;
83581;24/02/2018;1200;0.2;;20.2;;
83581;25/02/2018;0000;;28;;;
83581;25/02/2018;1200;1;;18.2;;
83581;26/02/2018;0000;;29.6;;;
83581;26/02/2018;1200;0;;18.8;;
83581;27/02/2018;0000;;30;;;
83581;27/02/2018;1200;1.6;;19.2;;
83581;01/03/2018;0000;;33;;;
83581;01/03/2018;1200;19;;19.6;;
83581;02/03/2018;0000;;32;;;
83581;02/03/2018;1200;1;;20.6;;
83581;03/03/2018;1200;0;;;;
83581;04/03/2018;0000;;32.6;;;
83581;04/03/2018;1200;0;;20.2;;
83581;05/03/2018;0000;;32.2;;;
83581;05/03/2018;1200;1.8;;19.6;;
83581;06/03/2018;0000;;33;;;
83581;06/03/2018;1200;0;;19.2;;
83581;07/03/2018;0000;;34.8;;;
83581;07/03/2018;1200;3.8;;20.6;;
83581;08/03/2018;0000;;31.6;;;
83581;08/03/2018;1200;34.6;;19.2;;
83581;09/03/2018;0000;;32;;;
83581;09/03/2018;1200;0;;20.2;;
83581;10/03/2018;0000;;27;;;
83581;10/03/2018;1200;11.4;;19.6;;
83581;11/03/2018;0000;;29.8;;;
83581;11/03/2018;1200;7;;20.2;;
83581;12/03/2018;0000;;29.6;;;
83581;12/03/2018;1200;6.4;;20.6;;
83581;13/03/2018;0000;;32.8;;;
83581;13/03/2018;1200;0;;17.4;;
83581;14/03/2018;0000;;34;;;
83581;14/03/2018;1200;1;;20.8;;
83581;15/03/2018;0000;;33.6;;;
83581;15/03/2018;1200;0;;20.8;;
83581;16/03/2018;0000;;33.6;;;
83581;16/03/2018;1200;0;;19.4;;
83581;17/03/2018;0000;;33.4;;;
83581;17/03/2018;1200;17.2;;19.2;;
83581;18/03/2018;0000;;32.6;;;
83581;18/03/2018;1200;48.2;;17.6;;
83581;19/03/2018;0000;;31;;;
83581;19/03/2018;1200;0;;17.6;;
83581;20/03/2018;0000;;33.4;;;
83581;20/03/2018;1200;0;;20.6;;
83581;21/03/2018;0000;;31.6;;;
83581;21/03/2018;1200;6;;20;;
83581;22/03/2018;0000;;27;;;
83581;22/03/2018;1200;0.2;;19;;
83581;23/03/2018;0000;;29;;;
83581;23/03/2018;1200;18;;17.2;;
83581;24/03/2018;0000;;30.4;;;
83581;24/03/2018;1200;0;;18.8;;
83581;25/03/2018;0000;;29.6;;;
83581;25/03/2018;1200;0;;16.2;;
83581;26/03/2018;0000;;31;;;
83581;26/03/2018;1200;0;;16.2;;
83581;27/03/2018;0000;;31;;;
83581;27/03/2018;1200;0;;14.6;;
83581;28/03/2018;0000;;30.8;;;
83581;28/03/2018;1200;0;;14.2;;
83581;29/03/2018;0000;;31.2;;;
83581;29/03/2018;1200;0;;16;;
83581;30/03/2018;0000;;30.6;;;
83581;30/03/2018;1200;0;;15.2;;
83581;31/03/2018;0000;;30.6;;;
83581;31/03/2018;1200;0;;14.2;;
83581;01/04/2018;0000;;31.2;;;
83581;01/04/2018;1200;0;;14.4;;
83581;02/04/2018;0000;;32;;;
83581;02/04/2018;1200;0;;17.2;;
83581;03/04/2018;0000;;30.8;;;
83581;03/04/2018;1200;0;;17.2;;
83581;04/04/2018;0000;;32.6;;;
83581;04/04/2018;1200;6;;20.2;;
83581;05/04/2018;0000;;31;;;
83581;05/04/2018;1200;0;;18.6;;
83581;06/04/2018;0000;;32.4;;;
83581;06/04/2018;1200;1.4;;19.4;;
83581;07/04/2018;0000;;29.6;;;
83581;07/04/2018;1200;0;;16.8;;
83581;08/04/2018;0000;;30.4;;;
83581;08/04/2018;1200;0;;16;;
83581;09/04/2018;0000;;31.4;;;
83581;09/04/2018;1200;0;;16.2;;
83581;10/04/2018;0000;;30.4;;;
83581;10/04/2018;1200;0;;16;;
83581;11/04/2018;0000;;30.4;;;
83581;11/04/2018;1200;0;;14.7;;
83581;12/04/2018;0000;;30;;;
83581;12/04/2018;1200;0;;16.2;;
83581;13/04/2018;0000;;31.8;;;
83581;13/04/2018;1200;0;;14.6;;
83581;14/04/2018;0000;;29.2;;;
83581;14/04/2018;1200;0;;15.2;;
83581;15/04/2018;0000;;31.6;;;
83581;15/04/2018;1200;0;;18.6;;
83581;16/04/2018;0000;;29.2;;;
83581;16/04/2018;1200;0;;17.4;;
83581;17/04/2018;0000;;26.8;;;
83581;17/04/2018;1200;0;;17.2;;
83581;18/04/2018;0000;;27.6;;;
83581;18/04/2018;1200;0;;13.2;;
83581;19/04/2018;0000;;27.8;;;
83581;19/04/2018;1200;0;;12.4;;
83581;20/04/2018;0000;;28;;;
83581;20/04/2018;1200;0;;12;;
83581;21/04/2018;0000;;30;;;
83581;21/04/2018;1200;0;;14;;
83581;22/04/2018;0000;;29.6;;;
83581;22/04/2018;1200;0;;14.2;;
83581;23/04/2018;0000;;29;;;
83581;23/04/2018;1200;0;;12.2;;
83581;24/04/2018;0000;;28.4;;;
83581;24/04/2018;1200;0;;12.4;;
83581;25/04/2018;0000;;28.6;;;
83581;25/04/2018;1200;0;;13.2;;
83581;26/04/2018;0000;;29.4;;;
83581;26/04/2018;1200;0;;17.6;;
83581;27/04/2018;0000;;31;;;
83581;27/04/2018;1200;0;;13.6;;
83581;28/04/2018;0000;;31;;;
83581;28/04/2018;1200;0;;14.2;;
83581;29/04/2018;0000;;30.4;;;
83581;29/04/2018;1200;0;;11.6;;
83581;30/04/2018;0000;;30;;;
83581;30/04/2018;1200;0;;11;;
83581;01/05/2018;0000;;30;;;
83581;01/05/2018;1200;0;;10.2;;
83581;02/05/2018;0000;;29.4;;;
83581;02/05/2018;1200;0;;9.4;;
83581;03/05/2018;0000;;30.6;;;
83581;03/05/2018;1200;0;;9;;
83581;04/05/2018;0000;;31;;;
83581;04/05/2018;1200;0;;11.2;;
83581;05/05/2018;0000;;31;;;
83581;05/05/2018;1200;0;;12;;
83581;06/05/2018;0000;;31.6;;;
83581;06/05/2018;1200;0;;13.2;;
83581;07/05/2018;0000;;30;;;
83581;07/05/2018;1200;0;;12.6;;
83581;08/05/2018;0000;;28.6;;;
83581;08/05/2018;1200;0;;13.2;;
83581;09/05/2018;0000;;28.4;;;
83581;09/05/2018;1200;1;;12.8;;
83581;10/05/2018;0000;;27.4;;;
83581;10/05/2018;1200;0;;10.4;;
83581;11/05/2018;0000;;29;;;
83581;11/05/2018;1200;0;;10.4;;
83581;12/05/2018;0000;;30.6;;;
83581;12/05/2018;1200;0;;11.2;;
83581;13/05/2018;0000;;30;;;
83581;13/05/2018;1200;0;;13.2;;
83581;14/05/2018;0000;;30.2;;;
83581;14/05/2018;1200;0;;16.2;;
83581;15/05/2018;0000;;29.4;;;
83581;15/05/2018;1200;0;;13.4;;
83581;16/05/2018;0000;;28.6;;;
83581;16/05/2018;1200;0;;12.2;;
83581;17/05/2018;0000;;30.6;;;
83581;17/05/2018;1200;0;;13.2;;
83581;18/05/2018;0000;;29;;;
83581;18/05/2018;1200;6;;15.2;;
83581;19/05/2018;0000;;28.8;;;
83581;19/05/2018;1200;0;;13.4;;
83581;20/05/2018;0000;;27;;;
83581;20/05/2018;1200;12.8;;14.6;;
83581;21/05/2018;0000;;20.8;;;
83581;21/05/2018;1200;0;;2.6;;
83581;22/05/2018;0000;;26;;;
83581;22/05/2018;1200;0;;3.6;;
83581;23/05/2018;0000;;28;;;
83581;23/05/2018;1200;0;;6.6;;
83581;24/05/2018;0000;;29.4;;;
83581;24/05/2018;1200;0;;9.6;;
83581;25/05/2018;0000;;27;;;
83581;25/05/2018;1200;0;;10.6;;
83581;26/05/2018;0000;;26.4;;;
83581;26/05/2018;1200;0;;10;;
83581;27/05/2018;0000;;27.4;;;
83581;27/05/2018;1200;0;;9.2;;
83581;28/05/2018;0000;;27.6;;;
83581;28/05/2018;1200;0;;8.6;;
83581;29/05/2018;0000;;26;;;
83581;29/05/2018;1200;0;;8.6;;
83581;30/05/2018;0000;;25.2;;;
83581;30/05/2018;1200;0;;8;;
83581;31/05/2018;0000;;26;;;
83581;31/05/2018;1200;0;;7.6;;

		
	
[Fechar] <#>
	
		

