--------------------
BDMEP - INMET
--------------------
Estação           : FORMOSO - MG (OMM: 83334)
Latitude  (graus) : -14.93
Longitude (graus) : -46.25
Altitude  (metros): 840.00
Estação Operante
Inicio de operação: 03/04/1976
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83334;01/01/2018;0000;;;;1;
83334;01/01/2018;1200;2;;19.6;;
83334;02/01/2018;0000;;;;0;
83334;02/01/2018;1200;0;;20.2;;
83334;03/01/2018;0000;;;;0;
83334;03/01/2018;1200;2.2;;20;;
83334;04/01/2018;0000;;;;0.666667;
83334;04/01/2018;1200;6;;20.4;;
83334;05/01/2018;0000;;;;0;
83334;05/01/2018;1200;7.5;;19;;
83334;06/01/2018;0000;;;;0.333333;
83334;06/01/2018;1200;4;;19.6;;
83334;07/01/2018;0000;;;;0;
83334;07/01/2018;1200;2.8;;18.2;;
83334;08/01/2018;0000;;;;1;
83334;08/01/2018;1200;30.2;;18;;
83334;09/01/2018;0000;;;;2;
83334;09/01/2018;1200;0;;19;;
83334;10/01/2018;0000;;;;2;
83334;10/01/2018;1200;0;;19.8;;
83334;11/01/2018;0000;;;;1;
83334;11/01/2018;1200;0;;19.8;;
83334;12/01/2018;0000;;;;0.333333;
83334;12/01/2018;1200;0;;19;;
83334;13/01/2018;0000;;;;1.333333;
83334;13/01/2018;1200;1.8;;19;;
83334;14/01/2018;0000;;;;0.333333;
83334;14/01/2018;1200;19.8;;18.6;;
83334;15/01/2018;0000;;;;0.333333;
83334;15/01/2018;1200;0;;20.4;;
83334;16/01/2018;0000;;;;0.666667;
83334;16/01/2018;1200;10.6;;20.6;;
83334;17/01/2018;0000;;;;1.333333;
83334;17/01/2018;1200;0;;18.4;;
83334;18/01/2018;0000;;;;0.666667;
83334;18/01/2018;1200;0;;21.2;;
83334;19/01/2018;0000;;;;1.333333;
83334;19/01/2018;1200;0;;19.6;;
83334;20/01/2018;0000;;;;0.333333;
83334;20/01/2018;1200;0;;20.8;;
83334;21/01/2018;0000;;;;1;
83334;21/01/2018;1200;0;;21.4;;
83334;22/01/2018;0000;;;;1;
83334;22/01/2018;1200;0;;18.6;;
83334;23/01/2018;0000;;;;2;
83334;23/01/2018;1200;0;;19.8;;
83334;24/01/2018;0000;;;;0.666667;
83334;24/01/2018;1200;0;;21;;
83334;25/01/2018;0000;;;;0.333333;
83334;25/01/2018;1200;0;;21.8;;
83334;26/01/2018;0000;;;;0.666667;
83334;26/01/2018;1200;13.6;;19.8;;
83334;27/01/2018;0000;;;;0.666667;
83334;27/01/2018;1200;0;;20.2;;
83334;28/01/2018;0000;;;;1;
83334;28/01/2018;1200;31.2;;19.8;;
83334;29/01/2018;0000;;;;0;
83334;29/01/2018;1200;13;;21;;
83334;30/01/2018;0000;;;;0.666667;
83334;30/01/2018;1200;0;;19;;
83334;31/01/2018;0000;;;;0;
83334;31/01/2018;1200;29.8;;20.4;;
83334;01/02/2018;0000;;;;1;
83334;01/02/2018;1200;34.4;;19.4;;
83334;02/02/2018;0000;;;;1;
83334;02/02/2018;1200;0;;20.6;;
83334;03/02/2018;0000;;;;2;
83334;03/02/2018;1200;30.4;;20;;
83334;04/02/2018;0000;;;;0.666667;
83334;04/02/2018;1200;108.3;;17.6;;
83334;05/02/2018;0000;;;;2.666667;
83334;05/02/2018;1200;16.2;;17.6;;
83334;06/02/2018;0000;;;;2.333333;
83334;06/02/2018;1200;0.4;;18.2;;
83334;07/02/2018;0000;;;;1;
83334;07/02/2018;1200;2.2;;18.6;;
83334;08/02/2018;0000;;;;0.666667;
83334;08/02/2018;1200;1.4;;20;;
83334;09/02/2018;0000;;;;0.333333;
83334;09/02/2018;1200;6;;20.2;;
83334;10/02/2018;0000;;;;0;
83334;10/02/2018;1200;41;;19.2;;
83334;11/02/2018;0000;;;;1.333333;
83334;11/02/2018;1200;0;;18.8;;
83334;12/02/2018;0000;;;;0.666667;
83334;12/02/2018;1200;0;;18.2;;
83334;13/02/2018;0000;;;;1.666667;
83334;13/02/2018;1200;0;;18;;
83334;14/02/2018;0000;;;;1.666667;
83334;14/02/2018;1200;0;;18.4;;
83334;15/02/2018;0000;;;;2;
83334;15/02/2018;1200;0;;19.8;;
83334;16/02/2018;0000;;;;1.333333;
83334;16/02/2018;1200;0;;19;;
83334;17/02/2018;0000;;;;2;
83334;17/02/2018;1200;0;;19.6;;
83334;18/02/2018;0000;;;;0.333333;
83334;18/02/2018;1200;0;;20.4;;
83334;19/02/2018;0000;;;;0.333333;
83334;19/02/2018;1200;0;;20.6;;
83334;20/02/2018;0000;;;;0;
83334;20/02/2018;1200;113;;19.4;;
83334;21/02/2018;0000;;;;1;
83334;21/02/2018;1200;0.6;;20.2;;
83334;22/02/2018;0000;;;;0;
83334;22/02/2018;1200;17.6;;20;;
83334;23/02/2018;0000;;;;1.333333;
83334;23/02/2018;1200;17;;19;;
83334;24/02/2018;0000;;;;0.333333;
83334;24/02/2018;1200;0;;20;;
83334;25/02/2018;0000;;;;0.666667;
83334;25/02/2018;1200;10.8;;19.6;;
83334;26/02/2018;0000;;;;0.333333;
83334;26/02/2018;1200;48.6;;18.6;;
83334;27/02/2018;0000;;;;0.666667;
83334;27/02/2018;1200;0;;20;;
83334;28/02/2018;0000;;;;0.333333;
83334;28/02/2018;1200;0;;19.2;;
83334;01/03/2018;0000;;;;0.666667;
83334;01/03/2018;1200;0;;18;;
83334;02/03/2018;0000;;;;0;
83334;02/03/2018;1200;0;;21;;
83334;03/03/2018;0000;;;;0;
83334;03/03/2018;1200;8.6;;19.8;;
83334;04/03/2018;0000;;;;0.666667;
83334;04/03/2018;1200;0;;20.4;;
83334;05/03/2018;0000;;;;0.666667;
83334;05/03/2018;1200;0;;20.4;;
83334;06/03/2018;0000;;;;1.333333;
83334;06/03/2018;1200;0;;20.8;;
83334;07/03/2018;0000;;;;1.333333;
83334;07/03/2018;1200;0;;21.8;;
83334;08/03/2018;0000;;;;0.333333;
83334;08/03/2018;1200;48;;19.2;;
83334;09/03/2018;0000;;;;0.333333;
83334;09/03/2018;1200;0;;17.6;;
83334;10/03/2018;0000;;;;1.666667;
83334;10/03/2018;1200;6.4;;20.8;;
83334;11/03/2018;0000;;;;1.666667;
83334;11/03/2018;1200;8.8;;21;;
83334;12/03/2018;0000;;;;0.333333;
83334;12/03/2018;1200;3.4;;21.2;;
83334;13/03/2018;0000;;;;0;
83334;13/03/2018;1200;1;;20.8;;
83334;14/03/2018;0000;;;;1;
83334;14/03/2018;1200;0.1;;21;;
83334;15/03/2018;0000;;;;0.333333;
83334;15/03/2018;1200;0;;20.8;;
83334;16/03/2018;0000;;;;1.333333;
83334;16/03/2018;1200;0;;20;;
83334;17/03/2018;0000;;;;0.333333;
83334;17/03/2018;1200;0;;20.4;;
83334;18/03/2018;0000;;;;1.666667;
83334;18/03/2018;1200;0;;20.4;;
83334;19/03/2018;0000;;;;0.666667;
83334;19/03/2018;1200;0;;20.4;;
83334;20/03/2018;0000;;;;0;
83334;20/03/2018;1200;2.8;;19.4;;
83334;21/03/2018;0000;;;;1.333333;
83334;21/03/2018;1200;20;;19;;
83334;22/03/2018;0000;;;;0;
83334;22/03/2018;1200;0;;17.6;;
83334;23/03/2018;0000;;;;0;
83334;23/03/2018;1200;6.4;;20.6;;
83334;24/03/2018;0000;;;;1;
83334;24/03/2018;1200;28.2;;19.6;;
83334;25/03/2018;0000;;;;1.333333;
83334;25/03/2018;1200;3;;20;;
83334;26/03/2018;0000;;;;0.666667;
83334;26/03/2018;1200;8;;18.6;;
83334;27/03/2018;0000;;;;1.333333;
83334;27/03/2018;1200;0;;18.4;;
83334;28/03/2018;0000;;;;1.666667;
83334;28/03/2018;1200;0;;18.4;;
83334;29/03/2018;0000;;;;2.666667;
83334;29/03/2018;1200;0;;18.6;;
83334;30/03/2018;0000;;;;2;
83334;30/03/2018;1200;0;;19.6;;
83334;31/03/2018;0000;;;;1.666667;
83334;31/03/2018;1200;0;;19.6;;
83334;01/04/2018;0000;;;;0.666667;
83334;01/04/2018;1200;0;;19.2;;
83334;02/04/2018;0000;;;;0.666667;
83334;02/04/2018;1200;0;;21;;
83334;03/04/2018;0000;;;;1;
83334;03/04/2018;1200;0;;19.8;;
83334;04/04/2018;0000;;;;0.666667;
83334;04/04/2018;1200;0;;22.2;;
83334;05/04/2018;0000;;;;0.666667;
83334;05/04/2018;1200;0;;20.4;;
83334;06/04/2018;0000;;;;1.333333;
83334;06/04/2018;1200;41.6;;19;;
83334;07/04/2018;0000;;;;1;
83334;07/04/2018;1200;0;;19.6;;
83334;08/04/2018;0000;;;;0;
83334;08/04/2018;1200;5;;20.4;;
83334;09/04/2018;0000;;;;1.333333;
83334;09/04/2018;1200;38.2;;18.2;;
83334;10/04/2018;0000;;;;2;
83334;10/04/2018;1200;0;;18;;
83334;11/04/2018;0000;;;;1.333333;
83334;11/04/2018;1200;4.6;;18.4;;
83334;12/04/2018;0000;;;;1;
83334;12/04/2018;1200;0.3;;18;;
83334;13/04/2018;0000;;;;2.333333;
83334;13/04/2018;1200;24.4;;18.6;;
83334;14/04/2018;0000;;;;1;
83334;14/04/2018;1200;1.2;;19;;
83334;15/04/2018;0000;;;;1;
83334;15/04/2018;1200;0;;19.4;;
83334;16/04/2018;0000;;;;1.333333;
83334;16/04/2018;1200;0;;19;;
83334;17/04/2018;0000;;;;1.666667;
83334;17/04/2018;1200;0;;18.8;;
83334;18/04/2018;0000;;;;2;
83334;18/04/2018;1200;0;;16.6;;
83334;19/04/2018;0000;;;;2.333333;
83334;19/04/2018;1200;0;;16.8;;
83334;20/04/2018;0000;;;;1.333333;
83334;20/04/2018;1200;0;;17;;
83334;21/04/2018;0000;;;;0.666667;
83334;21/04/2018;1200;0;;17.4;;
83334;22/04/2018;0000;;;;1;
83334;22/04/2018;1200;0;;18.4;;
83334;23/04/2018;0000;;;;1.666667;
83334;23/04/2018;1200;0;;17;;
83334;24/04/2018;0000;;;;2;
83334;24/04/2018;1200;0;;18;;
83334;25/04/2018;0000;;;;1.333333;
83334;25/04/2018;1200;0;;17;;
83334;26/04/2018;0000;;;;1.333333;
83334;26/04/2018;1200;0;;18.8;;
83334;27/04/2018;0000;;;;2;
83334;27/04/2018;1200;0;;18.8;;
83334;28/04/2018;0000;;;;2;
83334;28/04/2018;1200;0;;19;;
83334;29/04/2018;0000;;;;2;
83334;29/04/2018;1200;0;;18;;
83334;30/04/2018;0000;;;;1.666667;
83334;30/04/2018;1200;0;;17.4;;
83334;01/05/2018;0000;;;;1;
83334;01/05/2018;1200;0;;17.2;;
83334;02/05/2018;0000;;;;1.666667;
83334;02/05/2018;1200;0;;18.4;;
83334;03/05/2018;0000;;;;1.666667;
83334;03/05/2018;1200;0;;19;;
83334;04/05/2018;0000;;;;2;
83334;04/05/2018;1200;0;;18.6;;
83334;05/05/2018;0000;;;;1.333333;
83334;05/05/2018;1200;0;;18;;
83334;06/05/2018;0000;;;;2;
83334;06/05/2018;1200;0;;17.8;;
83334;07/05/2018;0000;;;;1.666667;
83334;07/05/2018;1200;0;;17.6;;
83334;08/05/2018;0000;;;;2;
83334;08/05/2018;1200;0;;17.6;;
83334;09/05/2018;0000;;;;1.333333;
83334;09/05/2018;1200;0;;16.6;;
83334;10/05/2018;0000;;;;1.666667;
83334;10/05/2018;1200;0;;16.6;;
83334;11/05/2018;0000;;;;2;
83334;11/05/2018;1200;0;;15;;
83334;12/05/2018;0000;;;;1.333333;
83334;12/05/2018;1200;0;;14.8;;
83334;13/05/2018;0000;;;;1.333333;
83334;13/05/2018;1200;0;;14.6;;
83334;14/05/2018;0000;;;;1.333333;
83334;14/05/2018;1200;0;;17;;
83334;15/05/2018;0000;;;;1.666667;
83334;15/05/2018;1200;0;;17.2;;
83334;16/05/2018;0000;;;;1.333333;
83334;16/05/2018;1200;0;;16.8;;
83334;17/05/2018;0000;;;;1;
83334;17/05/2018;1200;0;;16.8;;
83334;18/05/2018;0000;;;;1.333333;
83334;18/05/2018;1200;0;;18.6;;
83334;19/05/2018;0000;;;;1.666667;
83334;19/05/2018;1200;0;;18;;
83334;20/05/2018;0000;;;;0.666667;
83334;20/05/2018;1200;11.4;;18;;
83334;21/05/2018;0000;;;;1.333333;
83334;21/05/2018;1200;0;;15;;
83334;22/05/2018;0000;;;;1.666667;
83334;22/05/2018;1200;0;;15.8;;
83334;23/05/2018;0000;;;;2.333333;
83334;23/05/2018;1200;0;;18.2;;
83334;24/05/2018;0000;;;;2.333333;
83334;24/05/2018;1200;0;;18;;
83334;25/05/2018;0000;;;;1.333333;
83334;25/05/2018;1200;0;;17;;
83334;26/05/2018;0000;;;;1.666667;
83334;26/05/2018;1200;0;;16;;
83334;27/05/2018;0000;;;;1.333333;
83334;27/05/2018;1200;0;;14.4;;
83334;28/05/2018;0000;;;;2.333333;
83334;28/05/2018;1200;0;;15.2;;
83334;29/05/2018;0000;;;;2.666667;
83334;29/05/2018;1200;0;;14.8;;
83334;30/05/2018;0000;;;;1;
83334;30/05/2018;1200;0;;14.8;;
83334;31/05/2018;0000;;;;1.666667;
83334;31/05/2018;1200;0;;15.2;;
83334;01/06/2018;0000;;;;2;
83334;01/06/2018;1200;0;;14.8;;
83334;02/06/2018;0000;;;;0.666667;
83334;02/06/2018;1200;0;;15.4;;
83334;03/06/2018;0000;;;;1.333333;
83334;03/06/2018;1200;0;;18;;
83334;04/06/2018;0000;;;;1.666667;
83334;04/06/2018;1200;0;;17.8;;
83334;05/06/2018;0000;;;;1;
83334;05/06/2018;1200;0;;15.8;;
83334;06/06/2018;0000;;;;0.666667;
83334;06/06/2018;1200;0;;15.8;;
83334;07/06/2018;0000;;;;0;
83334;07/06/2018;1200;0;;16;;
83334;08/06/2018;0000;;;;1;
83334;08/06/2018;1200;0;;18;;
83334;09/06/2018;0000;;;;1.666667;
83334;09/06/2018;1200;0;;19.4;;
83334;10/06/2018;0000;;;;1.333333;
83334;10/06/2018;1200;0;;17.6;;
83334;11/06/2018;0000;;;;1.333333;
83334;11/06/2018;1200;0;;17.6;;
83334;12/06/2018;0000;;;;0.666667;
83334;12/06/2018;1200;0;;16.8;;
83334;13/06/2018;0000;;;;1;
83334;13/06/2018;1200;0;;17;;
83334;14/06/2018;0000;;;;0.666667;
83334;14/06/2018;1200;0;;15.8;;
83334;15/06/2018;0000;;;;1.666667;
83334;15/06/2018;1200;0;;13.8;;
83334;16/06/2018;0000;;;;0.666667;
83334;16/06/2018;1200;0;;19.6;;
83334;17/06/2018;0000;;;;1;
83334;17/06/2018;1200;0;;14.8;;
83334;18/06/2018;0000;;;;2;
83334;18/06/2018;1200;0;;15;;
83334;19/06/2018;0000;;;;1.666667;
83334;19/06/2018;1200;0;;15.2;;
83334;20/06/2018;0000;;;;0.666667;
83334;20/06/2018;1200;0;;16.2;;
83334;21/06/2018;0000;;;;1.666667;
83334;21/06/2018;1200;0;;14.8;;
83334;22/06/2018;0000;;;;1;
83334;22/06/2018;1200;0;;14.2;;
83334;23/06/2018;0000;;;;1;
83334;23/06/2018;1200;0;;13.8;;
83334;24/06/2018;0000;;;;1;
83334;24/06/2018;1200;0;;16;;
83334;25/06/2018;0000;;;;1.333333;
83334;25/06/2018;1200;0;;15.2;;
83334;26/06/2018;0000;;;;0.666667;
83334;26/06/2018;1200;0;;13;;
83334;27/06/2018;0000;;;;2;
83334;27/06/2018;1200;0;;13.8;;
83334;28/06/2018;0000;;;;1.333333;
83334;28/06/2018;1200;0;;15;;
83334;29/06/2018;0000;;;;1;
83334;29/06/2018;1200;0;;14.4;;
83334;30/06/2018;0000;;;;1;
83334;30/06/2018;1200;0;;12.4;;
83334;01/07/2018;0000;;;;1.333333;
83334;01/07/2018;1200;0;;15;;
83334;02/07/2018;0000;;;;0.666667;
83334;02/07/2018;1200;0;;15.8;;
83334;03/07/2018;0000;;;;1;
83334;03/07/2018;1200;0;;15.4;;
83334;04/07/2018;0000;;;;1.333333;
83334;04/07/2018;1200;0;;13;;
83334;05/07/2018;0000;;;;2;
83334;05/07/2018;1200;0;;14;;
83334;06/07/2018;0000;;;;1;
83334;06/07/2018;1200;0;;13.4;;
83334;07/07/2018;0000;;;;1;
83334;07/07/2018;1200;0;;15.6;;
83334;08/07/2018;0000;;;;0.333333;
83334;08/07/2018;1200;0;;14.2;;
83334;09/07/2018;0000;;;;1.333333;
83334;09/07/2018;1200;0;;14.2;;
83334;10/07/2018;0000;;;;1;
83334;10/07/2018;1200;0;;14.4;;
83334;11/07/2018;0000;;;;1;
83334;11/07/2018;1200;0;;14.8;;
83334;12/07/2018;0000;;;;0.666667;
83334;12/07/2018;1200;0;;16.4;;
83334;13/07/2018;0000;;;;1;
83334;13/07/2018;1200;0;;16;;
83334;14/07/2018;0000;;;;0.666667;
83334;14/07/2018;1200;0;;15.2;;
83334;15/07/2018;0000;;;;0.666667;
83334;15/07/2018;1200;0;;14.8;;
83334;16/07/2018;0000;;;;1.333333;
83334;16/07/2018;1200;0;;15.8;;
83334;17/07/2018;0000;;;;2.333333;
83334;17/07/2018;1200;0;;15;;
83334;18/07/2018;0000;;;;2.333333;
83334;18/07/2018;1200;0;;16;;
83334;19/07/2018;0000;;;;1.333333;
83334;19/07/2018;1200;0;;14.2;;
83334;20/07/2018;0000;;;;2.666667;
83334;20/07/2018;1200;0;;14.2;;
83334;21/07/2018;0000;;;;0.333333;
