--------------------
BDMEP - INMET
--------------------
Estação           : FRANCA - SP (OMM: 83630)
Latitude  (graus) : -20.58
Longitude (graus) : -47.36
Altitude  (metros): 1026.20
Estação Operante
Inicio de operação: 01/01/1911
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83630;01/01/2018;0000;;28.2;;2.666667;
83630;01/01/2018;1200;9.2;;17.8;;
83630;02/01/2018;0000;;28.1;;3.333333;
83630;02/01/2018;1200;16.3;;18.5;;
83630;03/01/2018;0000;;24.8;;3.333333;
83630;03/01/2018;1200;16.9;;18.1;;
83630;04/01/2018;0000;;28;;1.666667;
83630;04/01/2018;1200;7.6;;19.5;;
83630;05/01/2018;0000;;25;;3;
83630;05/01/2018;1200;1.9;;19;;
83630;06/01/2018;0000;;24.8;;1.333333;
83630;06/01/2018;1200;19.4;;18.8;;
83630;07/01/2018;0000;;25;;2.333333;
83630;07/01/2018;1200;16.4;;19;;
83630;08/01/2018;0000;;25;;3;
83630;08/01/2018;1200;15.1;;18.3;;
83630;09/01/2018;0000;;28.2;;2.333333;
83630;09/01/2018;1200;8.1;;18.4;;
83630;10/01/2018;0000;;29.6;;2.333333;
83630;10/01/2018;1200;0;;17.9;;
83630;11/01/2018;0000;;27.6;;1;
83630;11/01/2018;1200;0;;20;;
83630;12/01/2018;0000;;25.8;;1;
83630;12/01/2018;1200;39.3;;16.9;;
83630;13/01/2018;0000;;30.2;;2;
83630;13/01/2018;1200;1.2;;18.5;;
83630;14/01/2018;0000;;29.2;;2.333333;
83630;14/01/2018;1200;0;;19.4;;
83630;15/01/2018;0000;;28;;2.666667;
83630;15/01/2018;1200;1.4;;17.5;;
83630;16/01/2018;0000;;29.3;;1;
83630;16/01/2018;1200;27.8;;17.5;;
83630;17/01/2018;0000;;31;;1.333333;
83630;17/01/2018;1200;16.7;;19.2;;
83630;18/01/2018;0000;;30.6;;2;
83630;18/01/2018;1200;25.6;;19.2;;
83630;19/01/2018;0000;;31.6;;1.333333;
83630;19/01/2018;1200;0;;20.3;;
83630;20/01/2018;0000;;32;;1.333333;
83630;20/01/2018;1200;9.4;;20.8;;
83630;21/01/2018;0000;;30.4;;0.666667;
83630;21/01/2018;1200;0;;20.4;;
83630;22/01/2018;0000;;32;;1.666667;
83630;22/01/2018;1200;0;;21.6;;
83630;23/01/2018;0000;;29.6;;2;
83630;23/01/2018;1200;27.8;;18.9;;
83630;24/01/2018;0000;;29.4;;1;
83630;24/01/2018;1200;8.1;;18.8;;
83630;25/01/2018;0000;;29.5;;2;
83630;25/01/2018;1200;0;;20.7;;
83630;26/01/2018;0000;;29.4;;3;
83630;26/01/2018;1200;10.3;;19.5;;
83630;27/01/2018;0000;;29.8;;2.666667;
83630;27/01/2018;1200;9.4;;19.3;;
83630;28/01/2018;0000;;29.4;;3;
83630;28/01/2018;1200;0;;20.7;;
83630;29/01/2018;0000;;27.4;;2.333333;
83630;29/01/2018;1200;0;;19.9;;
83630;30/01/2018;0000;;23.2;;2;
83630;30/01/2018;1200;0;;19.2;;
83630;31/01/2018;0000;;27.7;;2;
83630;31/01/2018;1200;11.3;;19.9;;
83630;01/02/2018;0000;;29.4;;0.3;
83630;01/02/2018;1200;0.8;;18.4;;
83630;02/02/2018;0000;;29.7;;2;
83630;02/02/2018;1200;0;;20.4;;
83630;03/02/2018;0000;;29.6;;2;
83630;03/02/2018;1200;0;;20.8;;
83630;04/02/2018;0000;;26;;2.333333;
83630;04/02/2018;1200;1;;18;;
83630;05/02/2018;0000;;23.6;;3;
83630;05/02/2018;1200;5.8;;17.3;;
83630;06/02/2018;0000;;24.8;;1.666667;
83630;06/02/2018;1200;0;;17.5;;
83630;07/02/2018;0000;;27.8;;1.666667;
83630;07/02/2018;1200;4.4;;17.2;;
83630;08/02/2018;0000;;30.6;;1;
83630;08/02/2018;1200;0;;18.7;;
83630;09/02/2018;0000;;30.3;;2.666667;
83630;09/02/2018;1200;0;;19.9;;
83630;10/02/2018;0000;;26.6;;1;
83630;10/02/2018;1200;32.9;;20;;
83630;11/02/2018;0000;;30.3;;1.666667;
83630;11/02/2018;1200;0;;19.6;;
83630;12/02/2018;0000;;30.2;;0;
83630;12/02/2018;1200;48.9;;19;;
83630;13/02/2018;0000;;28.2;;0.666667;
83630;13/02/2018;1200;16.6;;20.2;;
83630;14/02/2018;0000;;29.2;;2.333333;
83630;14/02/2018;1200;2.3;;19.7;;
83630;15/02/2018;0000;;29.6;;2.333333;
83630;15/02/2018;1200;0;;19.3;;
83630;16/02/2018;0000;;29.2;;2.666667;
83630;16/02/2018;1200;0;;18.4;;
83630;17/02/2018;0000;;29.6;;1;
83630;17/02/2018;1200;0;;18.4;;
83630;18/02/2018;0000;;27.8;;3;
83630;18/02/2018;1200;0.4;;19.6;;
83630;19/02/2018;0000;;27.8;;2.666667;
83630;19/02/2018;1200;7.7;;18.4;;
83630;20/02/2018;0000;;26.8;;3.333333;
83630;20/02/2018;1200;11.3;;18.8;;
83630;21/02/2018;0000;;26.4;;1;
83630;21/02/2018;1200;11.6;;19.5;;
83630;22/02/2018;0000;;28.6;;1.333333;
83630;22/02/2018;1200;4.2;;18.8;;
83630;23/02/2018;0000;;28.4;;3;
83630;23/02/2018;1200;0;;20.1;;
83630;24/02/2018;0000;;25.5;;2;
83630;24/02/2018;1200;45.1;;19.3;;
83630;25/02/2018;0000;;27.2;;1;
83630;25/02/2018;1200;13.9;;18.5;;
83630;26/02/2018;0000;;24.8;;2;
83630;26/02/2018;1200;11.8;;18.6;;
83630;27/02/2018;0000;;28.4;;2.333333;
83630;27/02/2018;1200;21.1;;18.6;;
83630;28/02/2018;0000;;29.4;;3;
83630;28/02/2018;1200;18.4;;19.8;;
83630;01/03/2018;0000;;30.3;;2.666667;
83630;01/03/2018;1200;0;;19.5;;
83630;02/03/2018;0000;;29.9;;1.666667;
83630;02/03/2018;1200;40.2;;19.8;;
83630;03/03/2018;0000;;28.8;;2.666667;
83630;03/03/2018;1200;3.4;;20.2;;
83630;04/03/2018;0000;;29.8;;1.333333;
83630;04/03/2018;1200;7.4;;20.8;;
83630;05/03/2018;0000;;30;;2;
83630;05/03/2018;1200;0;;20.8;;
83630;06/03/2018;0000;;30.4;;1.333333;
83630;06/03/2018;1200;8.6;;20.7;;
83630;07/03/2018;0000;;29.4;;1;
83630;07/03/2018;1200;5.7;;19.6;;
83630;08/03/2018;0000;;28.6;;1;
83630;08/03/2018;1200;0;;19.8;;
83630;09/03/2018;0000;;28.2;;1.666667;
83630;09/03/2018;1200;0;;20.5;;
83630;10/03/2018;0000;;27.8;;3.333333;
