--------------------
BDMEP - INMET
--------------------
Estação           : IBIRITE - MG (OMM: 83632)
Latitude  (graus) : -20.01
Longitude (graus) : -44.05
Altitude  (metros): 814.54
Estação Operante
Inicio de operação: 06/04/1959
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83632;01/01/2018;1200;0;;;;
83632;02/01/2018;1200;0;;;;
83632;03/01/2018;1200;0;;;;
83632;04/01/2018;1200;0;;;;
83632;05/01/2018;1200;0;;;;
83632;06/01/2018;1200;15.4;;;;
83632;07/01/2018;1200;10.3;;;;
83632;08/01/2018;1200;5;;;;
83632;09/01/2018;1200;0;;;;
83632;10/01/2018;1200;0;;;;
83632;11/01/2018;1200;0;;;;
83632;12/01/2018;1200;0;;;;
83632;13/01/2018;1200;0;;;;
83632;14/01/2018;1200;0;;;;
83632;15/01/2018;1200;18;;;;
83632;16/01/2018;1200;26.2;;;;
83632;17/01/2018;1200;0;;;;
83632;18/01/2018;1200;0;;;;
83632;19/01/2018;1200;0;;;;
83632;20/01/2018;1200;0;;;;
83632;21/01/2018;1200;0;;;;
83632;22/01/2018;1200;0;;;;
83632;23/01/2018;1200;0;;;;
83632;24/01/2018;1200;0;;;;
83632;25/01/2018;1200;0;;;;
83632;26/01/2018;1200;0;;;;
83632;27/01/2018;1200;0;;;;
83632;28/01/2018;1200;0;;;;
83632;29/01/2018;1200;0;;;;
83632;30/01/2018;1200;18.2;;;;
83632;31/01/2018;1200;10.6;;;;
83632;01/02/2018;1200;4.3;;;;
83632;02/02/2018;1200;0;;;;
83632;03/02/2018;1200;3;;;;
83632;04/02/2018;1200;19;;;;
83632;05/02/2018;1200;28.8;;;;
83632;06/02/2018;1200;0;;;;
83632;07/02/2018;1200;5.3;;;;
83632;08/02/2018;1200;0;;;;
83632;09/02/2018;1200;0;;;;
83632;10/02/2018;1200;0;;;;
83632;11/02/2018;1200;0;;;;
83632;12/02/2018;1200;0;;;;
83632;13/02/2018;1200;0;;;;
83632;14/02/2018;1200;0;;;;
83632;15/02/2018;1200;0;;;;
83632;16/02/2018;1200;1.8;;;;
83632;17/02/2018;1200;6;;;;
83632;18/02/2018;1200;0;;;;
83632;19/02/2018;1200;10;;;;
83632;20/02/2018;1200;20;;;;
83632;21/02/2018;1200;9;;;;
83632;22/02/2018;1200;3;;;;
83632;23/02/2018;1200;2.6;;;;
83632;24/02/2018;1200;0;;;;
83632;25/02/2018;1200;21.4;;;;
83632;26/02/2018;1200;2;;;;
83632;27/02/2018;1200;4;;;;
83632;28/02/2018;1200;0;;;;
83632;01/03/2018;1200;6;;;;
83632;02/03/2018;1200;0;;;;
83632;03/03/2018;1200;0;;;;
83632;04/03/2018;1200;0;;;;
83632;05/03/2018;1200;22;;;;
83632;06/03/2018;1200;1;;;;
83632;07/03/2018;1200;6.2;;;;
83632;08/03/2018;1200;15;;;;
83632;09/03/2018;1200;47.3;;;;
83632;10/03/2018;1200;7.4;;;;
83632;11/03/2018;1200;15.2;;;;
83632;12/03/2018;1200;5.4;;;;
83632;13/03/2018;1200;0.3;;;;
83632;14/03/2018;1200;2.8;;;;
83632;15/03/2018;1200;1.1;;;;
83632;16/03/2018;1200;0;;;;
83632;17/03/2018;1200;9;;;;
83632;18/03/2018;1200;9.2;;;;
83632;19/03/2018;1200;4;;;;
83632;20/03/2018;1200;8.1;;;;
83632;21/03/2018;1200;0.6;;;;
83632;22/03/2018;1200;9;;;;
83632;23/03/2018;1200;0;;;;
83632;24/03/2018;1200;0;;;;
83632;25/03/2018;1200;0;;;;
83632;26/03/2018;1200;0;;;;
83632;27/03/2018;1200;0;;;;
83632;28/03/2018;1200;0;;;;
83632;29/03/2018;1200;0;;;;
83632;30/03/2018;1200;0;;;;
83632;31/03/2018;1200;0;;;;
83632;01/04/2018;1200;0;;;;
83632;02/04/2018;1200;0;;;;
83632;03/04/2018;1200;0;;;;
83632;04/04/2018;1200;3;;;;
83632;05/04/2018;1200;3.6;;;;
83632;06/04/2018;1200;1.2;;;;
83632;07/04/2018;1200;0;;;;
83632;08/04/2018;1200;0;;;;
83632;09/04/2018;1200;0.5;;;;
83632;10/04/2018;1200;0;;;;
83632;11/04/2018;1200;0;;;;
83632;12/04/2018;1200;0;;;;
83632;13/04/2018;1200;0;;;;
83632;14/04/2018;1200;0;;;;
83632;15/04/2018;1200;0;;;;
83632;16/04/2018;1200;0;;;;
83632;17/04/2018;1200;1;;;;
83632;18/04/2018;1200;0;;;;
83632;19/04/2018;1200;0;;;;
83632;20/04/2018;1200;0;;;;
83632;21/04/2018;1200;0;;;;
83632;22/04/2018;1200;0;;;;
83632;23/04/2018;1200;0;;;;
83632;24/04/2018;1200;0;;;;
83632;25/04/2018;1200;0;;;;
83632;26/04/2018;1200;0;;;;
83632;27/04/2018;1200;0;;;;
83632;28/04/2018;1200;7.6;;;;
83632;29/04/2018;1200;0;;;;
83632;30/04/2018;1200;0;;;;
83632;01/05/2018;1200;0;;;;
83632;02/05/2018;1200;0;;;;
83632;03/05/2018;1200;0;;;;
