--------------------
BDMEP - INMET
--------------------
Estação           : ITAMARANDIBA - MG (OMM: 83488)
Latitude  (graus) : -17.85
Longitude (graus) : -42.85
Altitude  (metros): 914.00
Estação Operante
Inicio de operação: 27/03/1925
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83488;01/01/2018;0000;;30.7;;2;
83488;01/01/2018;1200;4.6;;18.1;;
83488;02/01/2018;0000;;30.8;;1.333333;
83488;02/01/2018;1200;1.1;;18.5;;
83488;03/01/2018;0000;;31;;2;
83488;03/01/2018;1200;7;;19.2;;
83488;04/01/2018;0000;;25.4;;2;
83488;04/01/2018;1200;53.8;;19.1;;
83488;05/01/2018;0000;;29.5;;2;
83488;05/01/2018;1200;1.1;;20;;
83488;06/01/2018;0000;;28.3;;1.333333;
83488;06/01/2018;1200;2.2;;18.7;;
83488;08/01/2018;0000;;27.5;;3;
83488;08/01/2018;1200;1.4;;17.2;;
83488;09/01/2018;0000;;28;;3;
83488;09/01/2018;1200;0;;17.4;;
83488;10/01/2018;0000;;26.7;;2.666667;
83488;10/01/2018;1200;2;;18.5;;
83488;11/01/2018;0000;;28.1;;2.333333;
83488;11/01/2018;1200;0.1;;16.2;;
83488;12/01/2018;0000;;28.9;;2;
83488;12/01/2018;1200;0;;16.7;;
83488;13/01/2018;0000;;30.5;;1.333333;
83488;13/01/2018;1200;0;;16.8;;
83488;15/01/2018;0000;;29.4;;2;
83488;15/01/2018;1200;9.9;;17.9;;
83488;16/01/2018;0000;;29.5;;2.333333;
83488;16/01/2018;1200;0;;17.3;;
83488;17/01/2018;0000;;29.1;;2.333333;
83488;17/01/2018;1200;0;;16.3;;
83488;18/01/2018;0000;;29.7;;2;
83488;18/01/2018;1200;0;;15.4;;
83488;19/01/2018;0000;;31.2;;2.333333;
83488;19/01/2018;1200;0;;16.6;;
83488;20/01/2018;0000;;32.5;;2.333333;
83488;20/01/2018;1200;0;;15;;
83488;22/01/2018;0000;;30.1;;2;
83488;22/01/2018;1200;0;;14.9;;
83488;23/01/2018;0000;;29.8;;2.333333;
83488;23/01/2018;1200;0;;18.2;;
83488;24/01/2018;0000;;29.6;;2.666667;
83488;24/01/2018;1200;0;;17.4;;
83488;25/01/2018;0000;;29.7;;1.666667;
83488;25/01/2018;1200;0;;18;;
83488;26/01/2018;0000;;31.2;;1.666667;
83488;26/01/2018;1200;0;;16.4;;
83488;27/01/2018;0000;;29.7;;2.666667;
83488;27/01/2018;1200;0;;17.1;;
83488;29/01/2018;0000;;30.6;;1.666667;
83488;29/01/2018;1200;0;;18.9;;
83488;30/01/2018;0000;;30.3;;2.666667;
83488;30/01/2018;1200;0;;19.9;;
83488;31/01/2018;0000;;29.9;;1.666667;
83488;31/01/2018;1200;33.6;;19;;
83488;01/02/2018;0000;;26.2;;2.666667;
83488;01/02/2018;1200;12.5;;18.7;;
83488;02/02/2018;0000;;25.6;;1.333333;
83488;02/02/2018;1200;2.2;;19.2;;
83488;03/02/2018;0000;;22.2;;2;
83488;03/02/2018;1200;27.1;;16.7;;
83488;04/02/2018;1200;71.4;;;;
83488;05/02/2018;0000;;22.3;;3;
83488;05/02/2018;1200;74.2;;16.3;;
83488;06/02/2018;0000;;26.9;;2;
83488;06/02/2018;1200;21.1;;18.8;;
83488;07/02/2018;0000;;29.1;;1.333333;
83488;07/02/2018;1200;13.7;;18.8;;
