--------------------
BDMEP - INMET
--------------------
Estação           : ITAPERUNA - RJ (OMM: 83695)
Latitude  (graus) : -21.2
Longitude (graus) : -41.9
Altitude  (metros): 123.59
Estação Operante
Inicio de operação: 01/01/1922
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83695;01/01/2018;0000;;35.5;;;
83695;01/01/2018;1200;3.6;;23;;
83695;02/01/2018;0000;;36.5;;;
83695;02/01/2018;1200;0.3;;24;;
83695;03/01/2018;0000;;35;;;
83695;03/01/2018;1200;0;;25.7;;
83695;04/01/2018;0000;;28.8;;;
83695;04/01/2018;1200;3.4;;23.4;;
83695;05/01/2018;0000;;33.8;;;
83695;05/01/2018;1200;60;;22.5;;
83695;06/01/2018;0000;;32.8;;;
83695;06/01/2018;1200;9.2;;22.6;;
83695;07/01/2018;0000;;34.4;;;
83695;07/01/2018;1200;18.2;;22.8;;
83695;08/01/2018;0000;;33.2;;;
83695;08/01/2018;1200;0;;23.5;;
83695;09/01/2018;0000;;33;;;
83695;09/01/2018;1200;0;;23.2;;
83695;10/01/2018;0000;;31.8;;;
83695;10/01/2018;1200;0;;23.4;;
83695;11/01/2018;0000;;32;;;
83695;11/01/2018;1200;0;;21.5;;
83695;12/01/2018;0000;;33.3;;;
83695;12/01/2018;1200;0;;23.5;;
83695;13/01/2018;0000;;34;;;
83695;13/01/2018;1200;0;;22.6;;
83695;14/01/2018;0000;;34;;;
83695;14/01/2018;1200;0;;24.7;;
83695;15/01/2018;0000;;34.5;;;
83695;15/01/2018;1200;0;;24.4;;
83695;16/01/2018;0000;;36;;;
83695;16/01/2018;1200;0;;24.5;;
83695;17/01/2018;0000;;36.2;;;
83695;17/01/2018;1200;0;;23.4;;
83695;18/01/2018;0000;;37;;;
83695;18/01/2018;1200;0;;22.2;;
83695;19/01/2018;0000;;38.2;;;
83695;19/01/2018;1200;0;;22.2;;
83695;20/01/2018;0000;;37.2;;;
83695;20/01/2018;1200;0;;24.6;;
83695;21/01/2018;0000;;37.2;;;
83695;21/01/2018;1200;0;;23.5;;
83695;22/01/2018;0000;;36;;;
83695;22/01/2018;1200;15.4;;25;;
83695;23/01/2018;0000;;34.5;;;
83695;23/01/2018;1200;0;;23.2;;
83695;24/01/2018;0000;;35.2;;;
83695;24/01/2018;1200;2;;23;;
83695;25/01/2018;0000;;36.2;;;
83695;25/01/2018;1200;0;;22.4;;
83695;26/01/2018;0000;;34.8;;;
83695;26/01/2018;1200;12;;22.4;;
83695;27/01/2018;0000;;34.2;;;
83695;27/01/2018;1200;0;;23;;
83695;28/01/2018;0000;;34.6;;;
83695;28/01/2018;1200;0;;22.4;;
83695;29/01/2018;0000;;35.8;;;
83695;29/01/2018;1200;0;;23.6;;
83695;30/01/2018;0000;;28.2;;;
83695;30/01/2018;1200;19;;22.6;;
83695;31/01/2018;0000;;26.8;;;
83695;31/01/2018;1200;74.2;;21.7;;
83695;01/02/2018;0000;;29.4;;;
83695;01/02/2018;1200;5.9;;21.5;;
83695;02/02/2018;0000;;32.5;;;
83695;02/02/2018;1200;0;;21.5;;
83695;03/02/2018;0000;;31.6;;;
83695;03/02/2018;1200;0;;23;;
83695;04/02/2018;0000;;25.6;;;
83695;04/02/2018;1200;6;;21.3;;
83695;05/02/2018;0000;;22.4;;;
83695;05/02/2018;1200;16.2;;18.1;;
83695;06/02/2018;0000;;30;;;
83695;06/02/2018;1200;32.4;;20.3;;
83695;07/02/2018;0000;;31.5;;;
83695;07/02/2018;1200;10.6;;22.2;;
83695;08/02/2018;0000;;32.5;;;
83695;08/02/2018;1200;0;;21.9;;
83695;09/02/2018;0000;;33.5;;;
83695;09/02/2018;1200;0;;22.6;;
83695;10/02/2018;0000;;33.6;;;
83695;10/02/2018;1200;0;;24.6;;
83695;11/02/2018;0000;;34;;;
83695;11/02/2018;1200;0;;23.2;;
83695;12/02/2018;0000;;34.8;;;
83695;12/02/2018;1200;0;;21.3;;
83695;13/02/2018;0000;;35;;;
83695;13/02/2018;1200;0;;22.8;;
83695;14/02/2018;0000;;33.2;;;
83695;14/02/2018;1200;0;;24.6;;
83695;15/02/2018;0000;;32.6;;;
83695;15/02/2018;1200;0;;22.8;;
83695;16/02/2018;0000;;33.5;;;
83695;16/02/2018;1200;0;;22.6;;
83695;17/02/2018;0000;;33;;;
83695;17/02/2018;1200;0;;22.5;;
83695;18/02/2018;0000;;33;;;
83695;18/02/2018;1200;0;;23.5;;
83695;19/02/2018;0000;;31;;;
