--------------------
BDMEP - INMET
--------------------
Estação           : JANUARIA - MG (OMM: 83386)
Latitude  (graus) : -15.45
Longitude (graus) : -44
Altitude  (metros): 473.71
Estação Operante
Inicio de operação: 19/06/1912
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83386;01/01/2018;0000;;33.4;;0.766667;
83386;01/01/2018;1200;21;;22.3;;
83386;02/01/2018;0000;;33;;1.933333;
83386;02/01/2018;1200;7.2;;21;;
83386;03/01/2018;0000;;34.4;;0.533333;
83386;03/01/2018;1200;0;;21.7;;
83386;04/01/2018;0000;;28.1;;0.8;
83386;04/01/2018;1200;0;;21.5;;
83386;05/01/2018;0000;;30.2;;0.766667;
83386;05/01/2018;1200;5.4;;21.1;;
83386;06/01/2018;0000;;29;;0.933333;
83386;06/01/2018;1200;0;;21.8;;
83386;07/01/2018;0000;;32.3;;1.033333;
83386;07/01/2018;1200;3.3;;19.8;;
83386;08/01/2018;0000;;32.6;;1.766667;
83386;08/01/2018;1200;0;;19.4;;
83386;09/01/2018;0000;;33.2;;2;
83386;09/01/2018;1200;0;;18.4;;
83386;10/01/2018;0000;;33;;2.733333;
83386;10/01/2018;1200;0;;21.8;;
83386;11/01/2018;0000;;31.8;;2.033333;
83386;11/01/2018;1200;0;;19.4;;
83386;12/01/2018;0000;;34;;1.166667;
83386;12/01/2018;1200;0;;18.2;;
83386;13/01/2018;0000;;34;;1.6;
83386;13/01/2018;1200;0;;20;;
83386;14/01/2018;0000;;33.5;;1.1;
83386;14/01/2018;1200;0;;20.9;;
83386;15/01/2018;0000;;34.2;;2.466667;
83386;15/01/2018;1200;0;;20.6;;
83386;16/01/2018;0000;;34.5;;0.8;
83386;16/01/2018;1200;2.9;;20.2;;
83386;17/01/2018;0000;;33.8;;2.533333;
83386;17/01/2018;1200;0;;17.4;;
83386;18/01/2018;0000;;34;;2.4;
83386;18/01/2018;1200;0;;19.9;;
83386;19/01/2018;0000;;34.8;;1.2;
83386;19/01/2018;1200;0;;19.8;;
83386;20/01/2018;0000;;36.2;;2.4;
83386;20/01/2018;1200;0;;17.9;;
83386;21/01/2018;0000;;36.9;;1.166667;
83386;21/01/2018;1200;0;;19.1;;
83386;22/01/2018;0000;;36.8;;2.033333;
83386;22/01/2018;1200;0;;17.6;;
83386;23/01/2018;0000;;36.1;;1.7;
83386;23/01/2018;1200;0;;18.7;;
83386;24/01/2018;0000;;35.6;;1.533333;
83386;24/01/2018;1200;0;;19.5;;
83386;25/01/2018;0000;;33.7;;1.733333;
83386;25/01/2018;1200;0;;22.6;;
83386;26/01/2018;0000;;31;;1.933333;
83386;26/01/2018;1200;0;;21.8;;
83386;27/01/2018;0000;;32.7;;1.533333;
83386;27/01/2018;1200;11.8;;20.4;;
83386;28/01/2018;0000;;33.8;;1.866667;
83386;28/01/2018;1200;1;;20.9;;
83386;29/01/2018;0000;;32.4;;2.3;
83386;29/01/2018;1200;0;;22.7;;
83386;30/01/2018;0000;;34.7;;1.366667;
83386;30/01/2018;1200;0;;22.4;;
83386;31/01/2018;0000;;32.8;;2.247773;
83386;31/01/2018;1200;7.8;;20.6;;
83386;01/02/2018;0000;;30.1;;2.3;
83386;01/02/2018;1200;32.7;;20.5;;
83386;02/02/2018;0000;;29.6;;0.8;
83386;02/02/2018;1200;2.2;;21.5;;
83386;03/02/2018;0000;;23.6;;2.466667;
83386;03/02/2018;1200;67.1;;20.8;;
