--------------------
BDMEP - INMET
--------------------
Estação           : JUIZ DE FORA - MG (OMM: 83692)
Latitude  (graus) : -21.76
Longitude (graus) : -43.36
Altitude  (metros): 939.96
Estação Operante
Inicio de operação: 01/01/1910
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83692;01/01/2018;0000;;30.8;;1;
83692;01/01/2018;1200;9.4;;19;;
83692;02/01/2018;0000;;31.1;;1;
83692;02/01/2018;1200;13;;19.2;;
83692;03/01/2018;0000;;27.6;;1.666667;
83692;03/01/2018;1200;0;;20.5;;
83692;04/01/2018;0000;;22.8;;3;
83692;04/01/2018;1200;3;;17.4;;
83692;05/01/2018;0000;;25.3;;3;
83692;05/01/2018;1200;23.2;;17.8;;
83692;06/01/2018;0000;;25.8;;2.333333;
83692;06/01/2018;1200;22.4;;18.4;;
83692;07/01/2018;1200;0;;;;
83692;08/01/2018;0000;;26.9;;1;
83692;08/01/2018;1200;28.2;;19.4;;
83692;09/01/2018;0000;;27.9;;2.666667;
83692;09/01/2018;1200;0.3;;18;;
83692;10/01/2018;0000;;27.6;;3.333333;
83692;10/01/2018;1200;0;;18.5;;
83692;11/01/2018;0000;;27.7;;1.666667;
83692;11/01/2018;1200;0;;17;;
83692;12/01/2018;0000;;27.1;;2.333333;
83692;12/01/2018;1200;0;;17.2;;
83692;13/01/2018;0000;;28.9;;3;
83692;13/01/2018;1200;11.8;;17.7;;
83692;14/01/2018;0000;;28.1;;2;
83692;14/01/2018;1200;33.1;;18;;
83692;15/01/2018;0000;;29.5;;1.666667;
83692;15/01/2018;1200;4.8;;18.2;;
83692;16/01/2018;0000;;31.2;;1.666667;
83692;16/01/2018;1200;8;;18.2;;
83692;17/01/2018;0000;;30.5;;1.666667;
83692;17/01/2018;1200;0.5;;16.2;;
83692;18/01/2018;0000;;31.6;;3;
83692;18/01/2018;1200;0;;19.7;;
83692;19/01/2018;0000;;32.6;;3;
83692;19/01/2018;1200;0;;20;;
83692;20/01/2018;0000;;32;;3;
83692;20/01/2018;1200;0;;19.3;;
83692;21/01/2018;0000;;30.5;;2.333333;
83692;21/01/2018;1200;0;;19;;
83692;22/01/2018;0000;;30.3;;1.666667;
83692;22/01/2018;1200;0;;19;;
83692;23/01/2018;0000;;29.3;;2;
83692;23/01/2018;1200;17.3;;18.6;;
83692;24/01/2018;0000;;30.6;;2;
83692;24/01/2018;1200;10;;19;;
83692;25/01/2018;0000;;29.7;;3;
83692;25/01/2018;1200;0;;18.6;;
83692;26/01/2018;0000;;29.1;;2.666667;
83692;26/01/2018;1200;0;;19;;
83692;27/01/2018;0000;;26.1;;3;
83692;27/01/2018;1200;27;;18;;
83692;28/01/2018;0000;;29.4;;1.666667;
83692;28/01/2018;1200;0;;18.6;;
83692;29/01/2018;0000;;29.8;;2.333333;
83692;29/01/2018;1200;0;;19.8;;
83692;30/01/2018;0000;;23.3;;2.866667;
83692;30/01/2018;1200;32.7;;16.7;;
83692;31/01/2018;0000;;27.7;;3.02888;
83692;31/01/2018;1200;19;;15.6;;
83692;01/02/2018;0000;;26.5;;2.666667;
83692;01/02/2018;1200;1.4;;15.5;;
83692;02/02/2018;0000;;26.9;;3.333333;
83692;02/02/2018;1200;0;;17.7;;
83692;03/02/2018;0000;;28.3;;4;
83692;03/02/2018;1200;0;;17.4;;
83692;04/02/2018;0000;;21.3;;3.666667;
83692;04/02/2018;1200;26.4;;17.3;;
83692;05/02/2018;0000;;17.8;;2.666667;
83692;05/02/2018;1200;17.7;;14.5;;
83692;06/02/2018;0000;;24.7;;2.333333;
83692;06/02/2018;1200;35.8;;16.2;;
83692;07/02/2018;0000;;26.9;;3;
83692;07/02/2018;1200;27.7;;17.5;;
83692;08/02/2018;0000;;28.3;;1.666667;
83692;08/02/2018;1200;0.4;;18.2;;
83692;09/02/2018;0000;;29.3;;1.666667;
83692;09/02/2018;1200;1;;18.2;;
83692;10/02/2018;0000;;30.8;;1;
83692;10/02/2018;1200;0;;20.5;;
83692;11/02/2018;0000;;31.2;;1.666667;
83692;11/02/2018;1200;0;;18.7;;
83692;12/02/2018;0000;;30.5;;3;
83692;12/02/2018;1200;0;;19.6;;
83692;13/02/2018;0000;;29.7;;3.666667;
83692;13/02/2018;1200;0;;20.4;;
83692;14/02/2018;0000;;28.7;;2;
83692;14/02/2018;1200;0;;18.6;;
83692;15/02/2018;0000;;26.9;;2.333333;
83692;15/02/2018;1200;0;;18.4;;
83692;16/02/2018;0000;;28.7;;2;
83692;16/02/2018;1200;0;;18;;
83692;17/02/2018;0000;;28.1;;3.666667;
83692;17/02/2018;1200;0;;18.2;;
83692;18/02/2018;0000;;28.5;;3.5;
83692;18/02/2018;1200;0.3;;18.2;;
83692;19/02/2018;0000;;25.9;;2.333333;
83692;19/02/2018;1200;7;;18.2;;
83692;20/02/2018;0000;;27.9;;1.666667;
83692;20/02/2018;1200;2.4;;17.5;;
83692;21/02/2018;0000;;29.4;;1;
