--------------------
BDMEP - INMET
--------------------
Estação           : JURAMENTO - MG (OMM: 83452)
Latitude  (graus) : -16.77
Longitude (graus) : -43.66
Altitude  (metros): 648.00
Estação Operante
Inicio de operação: 14/11/1986
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83452;01/01/2018;0000;;31.4;;1.666667;
83452;01/01/2018;1200;0;;20;;
83452;02/01/2018;0000;;31.4;;1.666667;
83452;02/01/2018;1200;2;;19;;
83452;03/01/2018;0000;;32.7;;1.333333;
83452;03/01/2018;1200;0;;20.6;;
83452;04/01/2018;0000;;26.2;;1;
83452;04/01/2018;1200;18;;20.8;;
83452;05/01/2018;0000;;28.5;;1.333333;
83452;05/01/2018;1200;1.6;;21;;
83452;06/01/2018;0000;;30.6;;1.666667;
83452;06/01/2018;1200;2.9;;20.8;;
83452;07/01/2018;0000;;30.2;;1;
83452;07/01/2018;1200;0;;19;;
83452;08/01/2018;0000;;30.4;;3;
83452;08/01/2018;1200;0;;18.6;;
83452;09/01/2018;0000;;31.4;;1;
83452;09/01/2018;1200;0;;19;;
83452;10/01/2018;0000;;31.4;;3.333333;
83452;10/01/2018;1200;0;;21.2;;
83452;11/01/2018;0000;;29.6;;2.333333;
83452;11/01/2018;1200;0;;16.8;;
83452;12/01/2018;0000;;31.2;;1;
83452;12/01/2018;1200;0;;16.6;;
83452;13/01/2018;0000;;31.6;;2.333333;
83452;13/01/2018;1200;0;;21;;
83452;14/01/2018;0000;;31;;1.666667;
83452;14/01/2018;1200;0;;20.4;;
83452;15/01/2018;0000;;31.6;;1;
83452;15/01/2018;1200;0;;19.2;;
83452;16/01/2018;0000;;32.6;;1.666667;
83452;16/01/2018;1200;0;;18.6;;
83452;17/01/2018;0000;;31.6;;1;
83452;17/01/2018;1200;0;;21.1;;
83452;18/01/2018;0000;;31.2;;1.666667;
83452;18/01/2018;1200;0;;18.6;;
83452;19/01/2018;0000;;33.4;;1;
83452;19/01/2018;1200;0;;16.8;;
83452;20/01/2018;0000;;34.4;;1;
83452;20/01/2018;1200;0;;18.2;;
83452;21/01/2018;0000;;34.6;;1;
83452;21/01/2018;1200;0;;19.1;;
83452;22/01/2018;0000;;35.4;;1.666667;
83452;22/01/2018;1200;0;;16.6;;
83452;23/01/2018;0000;;33.2;;1.333333;
83452;23/01/2018;1200;0;;19;;
83452;24/01/2018;0000;;32.6;;1.666667;
83452;24/01/2018;1200;0;;19.8;;
83452;25/01/2018;0000;;31.4;;1;
83452;25/01/2018;1200;0;;18.8;;
83452;26/01/2018;0000;;33;;2.333333;
83452;26/01/2018;1200;0;;19.6;;
83452;27/01/2018;0000;;33.4;;1;
83452;27/01/2018;1200;0;;18.2;;
83452;28/01/2018;0000;;30.6;;1.666667;
83452;28/01/2018;1200;20.8;;21;;
83452;29/01/2018;0000;;27.4;;1;
83452;29/01/2018;1200;12.4;;21;;
83452;30/01/2018;0000;;31.8;;1;
83452;30/01/2018;1200;3.3;;21.2;;
83452;31/01/2018;0000;;27.2;;1;
83452;31/01/2018;1200;1.6;;20.4;;
83452;01/02/2018;0000;;26.4;;3;
83452;01/02/2018;1200;7.9;;20.2;;
83452;02/02/2018;0000;;28.2;;1;
83452;02/02/2018;1200;0;;19.1;;
83452;03/02/2018;0000;;23.8;;2.333333;
83452;03/02/2018;1200;42.8;;18.6;;
83452;04/02/2018;0000;;21.5;;1;
83452;04/02/2018;1200;92.4;;18.8;;
83452;05/02/2018;0000;;22.8;;1.666667;
83452;05/02/2018;1200;62.3;;19.2;;
83452;06/02/2018;0000;;27.4;;1.333333;
83452;06/02/2018;1200;23;;19.6;;
83452;07/02/2018;0000;;29.2;;1;
83452;07/02/2018;1200;1;;20.6;;
83452;08/02/2018;0000;;31.2;;1.333333;
83452;08/02/2018;1200;0;;20.8;;
83452;09/02/2018;0000;;31.2;;1.333333;
83452;09/02/2018;1200;0;;19;;
83452;10/02/2018;0000;;30.3;;1;
83452;10/02/2018;1200;7;;21;;
83452;11/02/2018;0000;;31;;3;
83452;11/02/2018;1200;0;;18.6;;
83452;12/02/2018;0000;;29.5;;1;
83452;12/02/2018;1200;0;;20.2;;
83452;13/02/2018;0000;;31.6;;1.666667;
83452;13/02/2018;1200;0;;17.4;;
83452;14/02/2018;0000;;30.4;;2.333333;
83452;14/02/2018;1200;0;;18;;
83452;15/02/2018;0000;;29.2;;1.666667;
83452;15/02/2018;1200;3.5;;19.6;;
83452;16/02/2018;0000;;29.5;;1;
