--------------------
BDMEP - INMET
--------------------
Estação           : LAVRAS - MG (OMM: 83687)
Latitude  (graus) : -21.75
Longitude (graus) : -45
Altitude  (metros): 918.84
Estação Operante
Inicio de operação: 18/02/1911
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83687;01/01/2018;0000;;29.4;;1.666667;
83687;01/01/2018;1200;2.8;;19.3;;
83687;02/01/2018;0000;;29.4;;2.666667;
83687;02/01/2018;1200;10.9;;19.7;;
83687;03/01/2018;0000;;27.8;;0.666667;
83687;03/01/2018;1200;1;;19.3;;
83687;04/01/2018;0000;;21.6;;1.666667;
83687;04/01/2018;1200;11.1;;18.1;;
83687;05/01/2018;0000;;23.4;;0.666667;
83687;05/01/2018;1200;23.4;;17.5;;
83687;06/01/2018;0000;;27.6;;0.666667;
83687;06/01/2018;1200;14.4;;18.1;;
83687;07/01/2018;0000;;26.8;;0.333333;
83687;07/01/2018;1200;43.8;;18.3;;
83687;08/01/2018;0000;;26.6;;1;
83687;08/01/2018;1200;27.6;;18.4;;
83687;09/01/2018;0000;;28;;1.666667;
83687;09/01/2018;1200;12.4;;17.9;;
83687;10/01/2018;0000;;29.2;;1.666667;
83687;10/01/2018;1200;0;;18.7;;
83687;11/01/2018;0000;;28.6;;1;
83687;11/01/2018;1200;0;;18.7;;
83687;12/01/2018;0000;;27.3;;0.333333;
83687;12/01/2018;1200;0;;18.7;;
83687;13/01/2018;0000;;30.3;;1.333333;
83687;13/01/2018;1200;0;;18;;
83687;14/01/2018;0000;;29.1;;1.666667;
83687;14/01/2018;1200;3.8;;18.3;;
83687;15/01/2018;0000;;27.7;;1;
83687;15/01/2018;1200;3.4;;18.3;;
83687;16/01/2018;0000;;31.1;;0.666667;
83687;16/01/2018;1200;25.2;;17.1;;
83687;17/01/2018;0000;;32;;1.333333;
83687;17/01/2018;1200;0;;19.8;;
83687;18/01/2018;0000;;31.2;;1;
83687;18/01/2018;1200;0;;18.5;;
83687;19/01/2018;0000;;31.6;;0.666667;
83687;19/01/2018;1200;;;16.7;;
83687;20/01/2018;0000;;32.4;;1.666667;
83687;20/01/2018;1200;0;;19.8;;
83687;21/01/2018;0000;;32.8;;1;
83687;21/01/2018;1200;0;;19.1;;
83687;22/01/2018;0000;;32.8;;1.666667;
83687;22/01/2018;1200;0;;20.1;;
83687;23/01/2018;0000;;31.9;;0.666667;
83687;23/01/2018;1200;0;;18.9;;
83687;24/01/2018;0000;;31.9;;1;
83687;24/01/2018;1200;1;;18.9;;
83687;25/01/2018;0000;;31.6;;2.333333;
83687;25/01/2018;1200;0;;19.7;;
83687;26/01/2018;0000;;29.8;;1.666667;
83687;26/01/2018;1200;13.3;;19.1;;
83687;27/01/2018;0000;;30.5;;2;
83687;27/01/2018;1200;3.6;;20;;
83687;28/01/2018;0000;;29.6;;1.333333;
83687;28/01/2018;1200;0;;19.1;;
83687;29/01/2018;0000;;29.6;;1;
83687;29/01/2018;1200;9.6;;20.8;;
83687;30/01/2018;0000;;28.8;;0.666667;
83687;30/01/2018;1200;12;;19.9;;
83687;31/01/2018;0000;;30.4;;0.666667;
83687;31/01/2018;1200;20.9;;18.5;;
83687;01/02/2018;0000;;30;;2.666667;
83687;01/02/2018;1200;0;;15.9;;
83687;02/02/2018;0000;;28.4;;2;
83687;02/02/2018;1200;0;;17.3;;
83687;03/02/2018;0000;;30;;2.666667;
83687;03/02/2018;1200;0;;18.8;;
83687;04/02/2018;0000;;25.6;;2.333333;
83687;04/02/2018;1200;0.2;;18.4;;
83687;05/02/2018;0000;;20.2;;1.333333;
83687;05/02/2018;1200;10.6;;15.5;;
83687;06/02/2018;0000;;28;;1;
83687;06/02/2018;1200;4.7;;16.7;;
83687;07/02/2018;0000;;29.2;;1.333333;
83687;07/02/2018;1200;8.8;;17.3;;
83687;08/02/2018;0000;;30.8;;2.333333;
83687;08/02/2018;1200;0;;17.7;;
83687;09/02/2018;0000;;28.4;;1.68592;
83687;09/02/2018;1200;0;;18.2;;
83687;10/02/2018;0000;;29.5;;1.666667;
83687;10/02/2018;1200;0;;20.3;;
83687;11/02/2018;0000;;31.8;;1;
83687;11/02/2018;1200;0;;18.2;;
83687;12/02/2018;0000;;30.6;;1;
83687;12/02/2018;1200;0;;21.2;;
83687;13/02/2018;0000;;29.6;;1;
83687;13/02/2018;1200;0;;21.1;;
83687;14/02/2018;0000;;30;;2.333333;
83687;14/02/2018;1200;0;;19.6;;
83687;15/02/2018;0000;;29.2;;3;
83687;15/02/2018;1200;0;;19.5;;
83687;16/02/2018;0000;;29.4;;2;
83687;16/02/2018;1200;0;;18.5;;
83687;17/02/2018;0000;;30.2;;2;
83687;17/02/2018;1200;0;;18.3;;
83687;18/02/2018;0000;;30;;1.333333;
83687;18/02/2018;1200;0.2;;19.5;;
83687;19/02/2018;0000;;28.4;;1;
83687;19/02/2018;1200;1.6;;18.6;;
83687;20/02/2018;0000;;28.6;;1;
83687;20/02/2018;1200;1;;19.3;;
83687;21/02/2018;0000;;28.2;;1.333333;
83687;21/02/2018;1200;0;;20.3;;
83687;22/02/2018;0000;;28.6;;1.666667;
83687;22/02/2018;1200;41.4;;19.4;;
83687;23/02/2018;0000;;29.2;;2;
83687;23/02/2018;1200;0;;19.4;;
83687;24/02/2018;0000;;27.6;;2.666667;
83687;24/02/2018;1200;0.2;;19.1;;
83687;25/02/2018;0000;;26.6;;2.333333;
83687;25/02/2018;1200;0.2;;18.7;;
83687;26/02/2018;0000;;24;;1.333333;
83687;26/02/2018;1200;0;;18.8;;
83687;27/02/2018;0000;;28.4;;0.7;
83687;27/02/2018;1200;6.8;;18.3;;
83687;28/02/2018;0000;;30.4;;1;
83687;28/02/2018;1200;9.8;;19.1;;
83687;01/03/2018;0000;;30.8;;1.666667;
83687;01/03/2018;1200;0;;20.5;;
83687;02/03/2018;0000;;31.8;;2;
83687;02/03/2018;1200;0;;20;;
83687;03/03/2018;0000;;30.9;;0.333333;
83687;03/03/2018;1200;10.1;;19.2;;
83687;04/03/2018;0000;;30.4;;1.333333;
83687;04/03/2018;1200;0;;20.2;;
83687;05/03/2018;0000;;31.4;;0.666667;
83687;05/03/2018;1200;0.1;;19.5;;
83687;06/03/2018;0000;;32.2;;0.333333;
83687;06/03/2018;1200;1;;19.2;;
83687;07/03/2018;0000;;30.8;;0.666667;
83687;07/03/2018;1200;0;;20.2;;
83687;08/03/2018;0000;;30.8;;1;
83687;08/03/2018;1200;2.4;;20.8;;
83687;09/03/2018;0000;;28.4;;2;
83687;09/03/2018;1200;11.2;;20.1;;
83687;10/03/2018;0000;;28.2;;0.666667;
83687;10/03/2018;1200;2.8;;20.2;;
83687;11/03/2018;0000;;30.8;;0.666667;
83687;11/03/2018;1200;1.2;;19.9;;
83687;12/03/2018;0000;;31.8;;1;
83687;12/03/2018;1200;0;;18.1;;
83687;13/03/2018;0000;;32.9;;1.333333;
