--------------------
BDMEP - INMET
--------------------
Estação           : MACHADO - MG (OMM: 83683)
Latitude  (graus) : -21.68
Longitude (graus) : -45.94
Altitude  (metros): 873.35
Estação Operante
Inicio de operação: 01/09/1961
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83683;01/01/2018;0000;;30.6;;1;
83683;01/01/2018;1200;0.3;;18.5;;
83683;02/01/2018;0000;;29.4;;1.25;
83683;02/01/2018;1200;0;;20.3;;
83683;03/01/2018;0000;;28.2;;1;
83683;03/01/2018;1200;1;;19.7;;
83683;04/01/2018;0000;;26.6;;1.166667;
83683;04/01/2018;1200;12.5;;19.3;;
83683;05/01/2018;0000;;27.1;;1.166667;
83683;05/01/2018;1200;1.8;;18.3;;
83683;06/01/2018;0000;;25.1;;1;
83683;06/01/2018;1200;7.8;;19.2;;
83683;07/01/2018;0000;;25.1;;1;
83683;07/01/2018;1200;19.8;;19;;
83683;08/01/2018;0000;;25.2;;1.166667;
83683;08/01/2018;1200;18.3;;18.1;;
83683;09/01/2018;0000;;29.1;;1.166667;
83683;09/01/2018;1200;32.6;;17.7;;
83683;10/01/2018;0000;;30.4;;0.833333;
83683;10/01/2018;1200;0;;17.5;;
83683;11/01/2018;0000;;28.6;;1;
83683;11/01/2018;1200;0;;18.7;;
83683;12/01/2018;0000;;27.4;;1.166667;
83683;12/01/2018;1200;5.2;;18;;
83683;13/01/2018;0000;;30;;1;
83683;13/01/2018;1200;0.6;;15.7;;
83683;14/01/2018;0000;;29.6;;1;
83683;14/01/2018;1200;0;;18.1;;
83683;15/01/2018;0000;;28.5;;1.533333;
83683;15/01/2018;1200;5.8;;18.3;;
83683;16/01/2018;0000;;30.2;;1;
83683;16/01/2018;1200;12.2;;17.4;;
83683;17/01/2018;0000;;32.4;;1;
83683;17/01/2018;1200;0;;18.4;;
83683;18/01/2018;0000;;32.5;;1.166667;
83683;18/01/2018;1200;0;;20.3;;
83683;19/01/2018;0000;;32.3;;1;
83683;19/01/2018;1200;0;;17.9;;
83683;20/01/2018;0000;;32.4;;1;
83683;20/01/2018;1200;0;;18.7;;
83683;21/01/2018;0000;;32.5;;1;
83683;21/01/2018;1200;0;;18.4;;
83683;22/01/2018;0000;;32.8;;1;
83683;22/01/2018;1200;0;;18.5;;
83683;23/01/2018;0000;;32.6;;1;
83683;23/01/2018;1200;0;;18.3;;
83683;24/01/2018;0000;;31;;1;
83683;24/01/2018;1200;0;;19.2;;
83683;25/01/2018;0000;;32.2;;1;
83683;25/01/2018;1200;0;;18.6;;
83683;26/01/2018;0000;;31.3;;1;
83683;26/01/2018;1200;0.2;;18.5;;
83683;27/01/2018;0000;;29.7;;1;
83683;27/01/2018;1200;1.7;;20;;
83683;28/01/2018;0000;;31.9;;1;
83683;28/01/2018;1200;4.8;;19.6;;
83683;29/01/2018;0000;;30.6;;1.166667;
83683;29/01/2018;1200;0;;20.9;;
83683;30/01/2018;0000;;28.7;;0.833333;
83683;30/01/2018;1200;4.6;;20.1;;
83683;31/01/2018;0000;;30.7;;1.009627;
83683;31/01/2018;1200;32.2;;17.7;;
83683;01/02/2018;0000;;30.4;;1.166667;
83683;01/02/2018;1200;0;;15.6;;
83683;02/02/2018;0000;;29.3;;1.166667;
83683;02/02/2018;1200;0;;16.7;;
83683;03/02/2018;0000;;30.1;;1.333333;
83683;03/02/2018;1200;0.2;;19.6;;
83683;04/02/2018;0000;;27.4;;1;
83683;04/02/2018;1200;3.4;;18.6;;
83683;05/02/2018;0000;;21.6;;1;
83683;05/02/2018;1200;3.2;;17.1;;
83683;06/02/2018;0000;;26.6;;0.833333;
83683;06/02/2018;1200;1.6;;17.3;;
83683;07/02/2018;0000;;30.5;;1.333333;
83683;07/02/2018;1200;0;;18.1;;
83683;08/02/2018;0000;;31.3;;1;
83683;08/02/2018;1200;0;;13.7;;
83683;09/02/2018;0000;;32.9;;1;
83683;09/02/2018;1200;0;;16.5;;
83683;10/02/2018;0000;;28.6;;0.666667;
83683;10/02/2018;1200;1.8;;20;;
83683;11/02/2018;0000;;32.9;;1;
83683;11/02/2018;1200;0.8;;19.1;;
83683;12/02/2018;0000;;31.1;;1;
83683;12/02/2018;1200;0;;20.5;;
83683;13/02/2018;0000;;24.5;;1.166667;
83683;13/02/2018;1200;17.2;;20.8;;
83683;14/02/2018;0000;;29.1;;1.166667;
83683;14/02/2018;1200;47.8;;18.2;;
83683;15/02/2018;0000;;29.6;;1.166667;
83683;15/02/2018;1200;0;;19.7;;
83683;16/02/2018;0000;;31.4;;1.366667;
83683;16/02/2018;1200;0;;16.8;;
