--------------------
BDMEP - INMET
--------------------
Estação           : MONTES CLAROS - MG (OMM: 83437)
Latitude  (graus) : -16.68
Longitude (graus) : -43.84
Altitude  (metros): 652.00
Estação Operante
Inicio de operação: 01/01/1912
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83437;31/01/2018;0000;;25.8;;;
83437;31/01/2018;1200;0;;;;
83437;01/02/2018;0000;;27;;;
83437;01/02/2018;1200;11.6;;21;;
83437;02/02/2018;0000;;29.2;;;
83437;02/02/2018;1200;0;;20.3;;
83437;03/02/2018;0000;;23.9;;;
83437;03/02/2018;1200;54.4;;19;;
83437;04/02/2018;1200;117.8;;18.2;;
83437;05/02/2018;0000;;22.8;;;
83437;05/02/2018;1200;65.8;;19;;
83437;06/02/2018;0000;;27.9;;;
83437;06/02/2018;1200;19.9;;20.2;;
83437;07/02/2018;0000;;29.4;;;
83437;07/02/2018;1200;1;;20.8;;
83437;08/02/2018;0000;;32.7;;;
83437;08/02/2018;1200;0;;20.5;;
83437;09/02/2018;0000;;31.1;;;
83437;09/02/2018;1200;0.2;;21.4;;
83437;10/02/2018;0000;;30.7;;;
83437;10/02/2018;1200;6.8;;22;;
83437;12/02/2018;0000;;31.5;;;
83437;12/02/2018;1200;0;;18.2;;
83437;13/02/2018;0000;;30.8;;;
83437;13/02/2018;1200;0;;20.7;;
83437;14/02/2018;0000;;30.6;;;
83437;14/02/2018;1200;0;;19.7;;
83437;15/02/2018;0000;;29.6;;;
83437;15/02/2018;1200;4.6;;20.6;;
83437;16/02/2018;0000;;29.8;;;
83437;16/02/2018;1200;0;;20.8;;
83437;18/02/2018;0000;;31;;;
83437;18/02/2018;1200;0;;20.2;;
83437;19/02/2018;0000;;32;;;
83437;19/02/2018;1200;0;;22;;
83437;20/02/2018;0000;;27.6;;;
83437;20/02/2018;1200;0;;22.6;;
83437;21/02/2018;0000;;29.8;;;
83437;21/02/2018;1200;0;;21;;
83437;22/02/2018;0000;;26.6;;;
83437;22/02/2018;1200;2.2;;21;;
83437;23/02/2018;0000;;30;;;
83437;23/02/2018;1200;10;;19;;
83437;25/02/2018;0000;;29;;;
83437;25/02/2018;1200;0.2;;21.6;;
83437;26/02/2018;0000;;27.7;;;
83437;26/02/2018;1200;31.8;;20.2;;
83437;27/02/2018;0000;;30.4;;0;
83437;27/02/2018;1200;7.6;;19.7;;
83437;28/02/2018;0000;;32;;;
83437;28/02/2018;1200;0;;19.6;;
83437;01/03/2018;0000;;32.6;;;
83437;01/03/2018;1200;0;;20.1;;
83437;02/03/2018;0000;;31.9;;;
83437;02/03/2018;1200;0;;20;;
83437;03/03/2018;0000;;31.4;;;
83437;03/03/2018;1200;0;;22.4;;
83437;05/03/2018;0000;;32.4;;;
83437;05/03/2018;1200;10.6;;21.1;;
83437;06/03/2018;0000;;31.2;;;
83437;06/03/2018;1200;32.6;;21.1;;
83437;07/03/2018;0000;;30.2;;;
83437;07/03/2018;1200;3.2;;21;;
83437;08/03/2018;0000;;27.4;;1.02888;
83437;08/03/2018;1200;0;;21.2;;
83437;09/03/2018;0000;;29.8;;;
83437;09/03/2018;1200;5.5;;21.9;;
83437;10/03/2018;0000;;28.5;;;
83437;10/03/2018;1200;10.6;;22;;
83437;12/03/2018;0000;;28.4;;;
83437;12/03/2018;1200;26;;20.4;;
83437;13/03/2018;0000;;29;;;
83437;13/03/2018;1200;1;;22.7;;
83437;14/03/2018;0000;;31;;;
83437;14/03/2018;1200;0;;21.6;;
83437;15/03/2018;0000;;31.5;;;
83437;15/03/2018;1200;9.2;;21.2;;
83437;16/03/2018;0000;;31.4;;;
83437;16/03/2018;1200;0;;21.2;;
83437;18/03/2018;0000;;30.4;;0;
83437;18/03/2018;1200;0;;20;;
83437;19/03/2018;0000;;30.5;;;
83437;19/03/2018;1200;0;;19.9;;
83437;20/03/2018;0000;;31.6;;;
83437;20/03/2018;1200;0;;19.5;;
83437;21/03/2018;0000;;31.8;;;
83437;21/03/2018;1200;0;;20.6;;
83437;22/03/2018;0000;;30.5;;;
83437;22/03/2018;1200;4.8;;20.6;;
83437;23/03/2018;0000;;28.5;;;
83437;23/03/2018;1200;0.4;;21.4;;
83437;24/03/2018;0000;;27.9;;;
83437;24/03/2018;1200;0;;21;;
83437;25/03/2018;0000;;27.8;;;
83437;25/03/2018;1200;0.2;;21.3;;
83437;26/03/2018;0000;;29.4;;5.65884;
83437;26/03/2018;1200;0;;19.2;;
83437;27/03/2018;0000;;30;;;
83437;27/03/2018;1200;0;;18.4;;
83437;28/03/2018;0000;;29.4;;;
83437;28/03/2018;1200;0;;18.9;;
83437;29/03/2018;0000;;29.8;;;
83437;29/03/2018;1200;0;;18.2;;
83437;30/03/2018;0000;;29.4;;;
83437;30/03/2018;1200;0;;19.4;;
83437;31/03/2018;0000;;30.2;;;
83437;31/03/2018;1200;0;;19;;
83437;02/04/2018;0000;;31;;;
83437;02/04/2018;1200;0;;18.6;;
83437;03/04/2018;0000;;32;;;
83437;03/04/2018;1200;0;;19;;
83437;04/04/2018;0000;;32.4;;;
83437;04/04/2018;1200;0;;21.7;;
83437;05/04/2018;0000;;31.3;;;
83437;05/04/2018;1200;0;;22.2;;
83437;06/04/2018;0000;;28.3;;;
83437;06/04/2018;1200;0;;22.2;;
83437;07/04/2018;0000;;29.6;;;
83437;07/04/2018;1200;0;;22;;
83437;09/04/2018;0000;;29;;;
83437;09/04/2018;1200;9.4;;20.5;;
83437;10/04/2018;0000;;27.7;;;
83437;10/04/2018;1200;0;;20.4;;
83437;11/04/2018;0000;;28.2;;;
83437;11/04/2018;1200;0;;18.9;;
83437;12/04/2018;0000;;28.1;;;
83437;12/04/2018;1200;25;;18.1;;
83437;13/04/2018;0000;;28.4;;;
83437;13/04/2018;1200;0.2;;20.2;;
83437;14/04/2018;0000;;28.2;;;
83437;14/04/2018;1200;0;;20.9;;
83437;15/04/2018;0000;;28.6;;;
83437;15/04/2018;1200;7;;19;;
83437;16/04/2018;0000;;28.3;;;
83437;16/04/2018;1200;0;;18.4;;
