--------------------
BDMEP - INMET
--------------------
Estação           : PARACATU - MG (OMM: 83479)
Latitude  (graus) : -17.24
Longitude (graus) : -46.88
Altitude  (metros): 712.00
Estação Operante
Inicio de operação: 13/05/1918
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83479;01/01/2018;0000;;31.1;;2;
83479;01/01/2018;1200;10;;18.8;;
83479;02/01/2018;0000;;31.3;;0.666667;
83479;02/01/2018;1200;63.8;;18.6;;
83479;03/01/2018;0000;;31.7;;1.666667;
83479;03/01/2018;1200;13.2;;19.4;;
83479;04/01/2018;0000;;28.4;;2;
83479;04/01/2018;1200;3.4;;20;;
83479;05/01/2018;0000;;25.6;;2.333333;
83479;05/01/2018;1200;40.8;;19.6;;
83479;06/01/2018;0000;;27.6;;1;
83479;06/01/2018;1200;4;;19.2;;
83479;07/01/2018;0000;;29;;3;
83479;07/01/2018;1200;6;;19.2;;
83479;08/01/2018;0000;;30.5;;1.666667;
83479;08/01/2018;1200;0.4;;19.2;;
83479;09/01/2018;0000;;30.7;;2;
83479;09/01/2018;1200;0;;19.4;;
83479;10/01/2018;0000;;30.9;;3;
83479;10/01/2018;1200;0;;20.6;;
83479;11/01/2018;0000;;29.2;;3.333333;
83479;11/01/2018;1200;4.6;;19.8;;
83479;12/01/2018;0000;;30.3;;3.333333;
83479;12/01/2018;1200;0;;18.2;;
83479;13/01/2018;0000;;31.7;;1.666667;
83479;13/01/2018;1200;0;;18.8;;
83479;14/01/2018;0000;;30.9;;2.333333;
83479;14/01/2018;1200;0.2;;18.8;;
83479;15/01/2018;0000;;30.9;;2.666667;
83479;15/01/2018;1200;0;;19.6;;
83479;16/01/2018;0000;;31.9;;2.333333;
83479;16/01/2018;1200;0.2;;19.8;;
83479;17/01/2018;0000;;31.3;;3.333333;
83479;17/01/2018;1200;0;;21;;
83479;18/01/2018;0000;;31.7;;2.333333;
83479;18/01/2018;1200;0;;19.2;;
83479;19/01/2018;0000;;32.9;;2.666667;
83479;19/01/2018;1200;0;;18.2;;
83479;20/01/2018;0000;;33.1;;2.333333;
83479;20/01/2018;1200;0;;21;;
83479;21/01/2018;0000;;33.3;;3;
83479;21/01/2018;1200;0;;19.8;;
83479;22/01/2018;0000;;33.7;;2.333333;
83479;22/01/2018;1200;0;;19.4;;
83479;23/01/2018;0000;;33.3;;2.666667;
83479;23/01/2018;1200;0;;19.4;;
83479;24/01/2018;0000;;31.9;;1.333333;
83479;24/01/2018;1200;0.1;;21.4;;
83479;25/01/2018;0000;;30.7;;2;
83479;25/01/2018;1200;0;;22.2;;
83479;26/01/2018;0000;;30.2;;3;
83479;26/01/2018;1200;15.5;;20.4;;
83479;27/01/2018;0000;;31.9;;2.666667;
83479;27/01/2018;1200;4.5;;19.4;;
83479;28/01/2018;0000;;32.3;;3.666667;
83479;28/01/2018;1200;0;;20.6;;
83479;29/01/2018;0000;;30.3;;2.666667;
83479;29/01/2018;1200;0;;20.8;;
83479;30/01/2018;0000;;29.6;;2.666667;
83479;30/01/2018;1200;22.2;;20.4;;
83479;31/01/2018;0000;;32.3;;4.038507;
83479;31/01/2018;1200;39.8;;20;;
83479;01/02/2018;0000;;29;;4;
83479;01/02/2018;1200;43.4;;20.2;;
83479;02/02/2018;0000;;28.6;;3;
83479;02/02/2018;1200;2.2;;21.2;;
83479;03/02/2018;0000;;27.6;;3.666667;
83479;03/02/2018;1200;7.4;;20.6;;
83479;04/02/2018;0000;;22.6;;2.666667;
83479;04/02/2018;1200;38.6;;17.8;;
83479;05/02/2018;0000;;26.8;;2.666667;
83479;05/02/2018;1200;1.4;;18;;
83479;06/02/2018;0000;;29;;3;
83479;06/02/2018;1200;10;;19.8;;
83479;07/02/2018;0000;;30.5;;3;
83479;07/02/2018;1200;6.6;;18.6;;
83479;08/02/2018;0000;;30.9;;2.666667;
83479;08/02/2018;1200;0;;21;;
83479;09/02/2018;0000;;30.9;;3;
83479;09/02/2018;1200;0;;20.4;;
83479;10/02/2018;0000;;30.7;;2.333333;
83479;10/02/2018;1200;3;;19.6;;
83479;11/02/2018;0000;;30;;2.666667;
83479;11/02/2018;1200;20;;20.4;;
83479;12/02/2018;0000;;31.7;;2.333333;
83479;12/02/2018;1200;2;;19.4;;
83479;13/02/2018;0000;;31.5;;3.333333;
83479;13/02/2018;1200;0;;19.2;;
83479;14/02/2018;0000;;30.9;;4;
83479;14/02/2018;1200;0;;21.2;;
83479;15/02/2018;0000;;28.6;;3.666667;
83479;15/02/2018;1200;0;;19.4;;
83479;16/02/2018;0000;;30.2;;3.333333;
83479;16/02/2018;1200;0;;20.4;;
83479;17/02/2018;0000;;30.9;;3.333333;
83479;17/02/2018;1200;0;;20.2;;
83479;18/02/2018;0000;;30.5;;4;
83479;18/02/2018;1200;0;;19.8;;
83479;19/02/2018;0000;;27.6;;3;
83479;19/02/2018;1200;19.8;;19.4;;
83479;20/02/2018;0000;;29;;2.666667;
83479;20/02/2018;1200;18.2;;18.8;;
83479;21/02/2018;0000;;27;;2;
83479;21/02/2018;1200;16.6;;20.2;;
83479;22/02/2018;0000;;28.2;;3;
83479;22/02/2018;1200;41;;19.4;;
83479;23/02/2018;0000;;27.8;;2.666667;
83479;23/02/2018;1200;17.6;;18.6;;
83479;24/02/2018;0000;;31.3;;2.666667;
83479;24/02/2018;1200;3.8;;18.6;;
83479;25/02/2018;0000;;30.5;;3;
83479;25/02/2018;1200;27.6;;19.4;;
83479;26/02/2018;0000;;28.6;;3;
83479;26/02/2018;1200;58;;18.4;;
83479;27/02/2018;0000;;30.7;;2;
83479;27/02/2018;1200;0;;18.8;;
83479;28/02/2018;0000;;32.3;;3;
83479;28/02/2018;1200;0;;20.4;;
83479;01/03/2018;0000;;32.7;;2.666667;
83479;01/03/2018;1200;0;;20.8;;
83479;02/03/2018;0000;;32.1;;2.333333;
83479;02/03/2018;1200;2.2;;20.8;;
83479;03/03/2018;0000;;33.3;;2.666667;
83479;03/03/2018;1200;0;;21.2;;
83479;04/03/2018;0000;;33.3;;2.333333;
83479;04/03/2018;1200;0;;21.4;;
83479;05/03/2018;0000;;31.3;;2.333333;
83479;05/03/2018;1200;12.8;;20.4;;
83479;06/03/2018;0000;;31.1;;2;
83479;06/03/2018;1200;0;;20.6;;
83479;07/03/2018;0000;;31.1;;2.666667;
83479;07/03/2018;1200;4.2;;20;;
83479;08/03/2018;0000;;30.5;;3.333333;
83479;08/03/2018;1200;50.8;;19.8;;
83479;09/03/2018;0000;;29.8;;3;
83479;09/03/2018;1200;2.2;;20.2;;
83479;10/03/2018;0000;;28.6;;3;
83479;10/03/2018;1200;2.2;;20.2;;
83479;11/03/2018;0000;;29.6;;4.333333;
83479;11/03/2018;1200;32.8;;20.6;;
83479;12/03/2018;0000;;30.9;;2.666667;
83479;12/03/2018;1200;1;;20.6;;
83479;13/03/2018;0000;;33.1;;3;
83479;13/03/2018;1200;0;;21;;
83479;14/03/2018;0000;;31.9;;3.333333;
83479;14/03/2018;1200;0;;21;;
83479;15/03/2018;0000;;31.3;;3;
83479;15/03/2018;1200;0;;20.4;;
83479;16/03/2018;0000;;32.5;;3;
83479;16/03/2018;1200;0;;19.6;;
83479;17/03/2018;0000;;30;;3;
83479;17/03/2018;1200;0;;20.2;;
83479;18/03/2018;0000;;30;;3.666667;
83479;18/03/2018;1200;0;;19.6;;
83479;19/03/2018;0000;;31.5;;2.333333;
83479;19/03/2018;1200;0;;20;;
83479;20/03/2018;0000;;32.3;;3;
83479;20/03/2018;1200;0;;20;;
83479;21/03/2018;0000;;32.5;;2.666667;
83479;21/03/2018;1200;0;;21.6;;
83479;22/03/2018;0000;;30;;3;
83479;22/03/2018;1200;0;;21.2;;
83479;23/03/2018;0000;;31.1;;3.333333;
83479;23/03/2018;1200;0;;20;;
83479;24/03/2018;0000;;26.8;;3.333333;
83479;24/03/2018;1200;6;;20.6;;
83479;25/03/2018;0000;;28.2;;3;
83479;25/03/2018;1200;0.8;;19.2;;
83479;26/03/2018;0000;;29.6;;3.666667;
83479;26/03/2018;1200;0.2;;19.4;;
83479;27/03/2018;0000;;29.8;;3.333333;
83479;27/03/2018;1200;0;;17.6;;
83479;28/03/2018;0000;;29.8;;3;
83479;28/03/2018;1200;0;;18.6;;
83479;29/03/2018;0000;;29.6;;3.333333;
83479;29/03/2018;1200;0;;19.2;;
83479;30/03/2018;0000;;29.6;;2.666667;
83479;30/03/2018;1200;0;;18.8;;
83479;31/03/2018;0000;;30.3;;3.666667;
83479;31/03/2018;1200;0;;19.6;;
83479;01/04/2018;0000;;31.1;;4;
