--------------------
BDMEP - INMET
--------------------
Estação           : PATOS DE MINAS - MG (OMM: 83531)
Latitude  (graus) : -18.51
Longitude (graus) : -46.43
Altitude  (metros): 940.28
Estação Operante
Inicio de operação: 23/10/1947
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83531;01/01/2018;0000;;29.9;;2.066667;
83531;01/01/2018;1200;0;;19.7;;
83531;02/01/2018;0000;;30.1;;1.9;
83531;02/01/2018;1200;0;;18.7;;
83531;03/01/2018;0000;;29.5;;1.533333;
83531;03/01/2018;1200;0;;19.7;;
83531;04/01/2018;0000;;26.9;;2.066667;
83531;04/01/2018;1200;13.2;;18.9;;
83531;05/01/2018;0000;;25.3;;2.6;
83531;05/01/2018;1200;36.3;;17.7;;
83531;06/01/2018;0000;;27.5;;1.333333;
83531;06/01/2018;1200;45.4;;17.9;;
83531;07/01/2018;1200;7.2;;;;
83531;08/01/2018;0000;;28.7;;2.066667;
83531;08/01/2018;1200;27.5;;18.1;;
83531;09/01/2018;0000;;29.3;;2.066667;
83531;09/01/2018;1200;18.9;;17.5;;
83531;10/01/2018;0000;;29.5;;2.233333;
83531;10/01/2018;1200;0;;18.7;;
83531;11/01/2018;0000;;29.1;;1.9;
83531;11/01/2018;1200;0;;17.3;;
83531;12/01/2018;0000;;29.1;;1.533333;
83531;12/01/2018;1200;0;;16.7;;
83531;13/01/2018;0000;;30.3;;1.166667;
83531;13/01/2018;1200;0;;15.7;;
83531;15/01/2018;0000;;28.1;;1.166667;
83531;15/01/2018;1200;12.3;;17.1;;
83531;16/01/2018;0000;;30.9;;1.166667;
83531;16/01/2018;1200;8.1;;17.7;;
