--------------------
BDMEP - INMET
--------------------
Estação           : PEDRA AZUL - MG (OMM: 83393)
Latitude  (graus) : -16
Longitude (graus) : -41.28
Altitude  (metros): 648.91
Estação Operante
Inicio de operação: 01/10/1918
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83393;01/01/2018;0000;;;;0.5;
83393;01/01/2018;1200;0;;20;;
83393;02/01/2018;0000;;;;0.25;
83393;02/01/2018;1200;0;;22.8;;
83393;03/01/2018;0000;;;;0.95;
83393;03/01/2018;1200;1.7;;21.2;;
83393;04/01/2018;0000;;;;1;
83393;04/01/2018;1200;0;;20.8;;
83393;05/01/2018;0000;;;;0.25;
83393;05/01/2018;1200;11.1;;20.2;;
83393;06/01/2018;0000;;;;0.5;
83393;06/01/2018;1200;0;;19.8;;
83393;07/01/2018;1200;0;;;;
83393;08/01/2018;0000;;;;1.25;
83393;08/01/2018;1200;0;;19.8;;
83393;09/01/2018;0000;;;;1.25;
83393;09/01/2018;1200;0;;19.8;;
83393;10/01/2018;0000;;;;1;
83393;10/01/2018;1200;8.7;;20.4;;
83393;11/01/2018;0000;;;;1.5;
83393;11/01/2018;1200;1.8;;19.2;;
83393;12/01/2018;0000;;;;1.5;
83393;12/01/2018;1200;0;;19;;
83393;13/01/2018;0000;;;;1.25;
83393;13/01/2018;1200;0;;20.4;;
83393;15/01/2018;0000;;;;1;
83393;15/01/2018;1200;0;;20.8;;
83393;16/01/2018;0000;;;;1;
83393;16/01/2018;1200;0;;18.8;;
83393;17/01/2018;0000;;;;1;
83393;17/01/2018;1200;0;;19.6;;
83393;18/01/2018;0000;;;;1.5;
83393;18/01/2018;1200;0;;19;;
83393;19/01/2018;0000;;;;1.25;
83393;19/01/2018;1200;0;;19.8;;
83393;20/01/2018;0000;;;;1.5;
83393;20/01/2018;1200;0;;21.2;;
83393;21/01/2018;0000;;;;1.8;
83393;21/01/2018;1200;0;;19.4;;
83393;22/01/2018;0000;;;;1.8;
83393;22/01/2018;1200;0;;19.4;;
83393;23/01/2018;0000;;;;1.25;
83393;23/01/2018;1200;0;;19.2;;
83393;24/01/2018;0000;;;;1.25;
83393;24/01/2018;1200;0;;19;;
83393;25/01/2018;0000;;;;1.5;
83393;25/01/2018;1200;0;;20.2;;
83393;26/01/2018;0000;;;;1.8;
83393;26/01/2018;1200;0;;19.8;;
83393;27/01/2018;0000;;;;0.5;
83393;27/01/2018;1200;0.6;;21;;
83393;28/01/2018;0000;;;;0.666667;
83393;28/01/2018;1200;0;;21.6;;
83393;29/01/2018;0000;;;;0.833333;
83393;29/01/2018;1200;0;;21.6;;
83393;30/01/2018;0000;;;;0.666667;
83393;30/01/2018;1200;0;;20.4;;
83393;31/01/2018;0000;;;;0.504813;
83393;31/01/2018;1200;0;;23.2;;
83393;01/02/2018;0000;;;;0;
83393;01/02/2018;1200;0.7;;22.2;;
83393;02/02/2018;0000;;;;0.166667;
83393;02/02/2018;1200;0.2;;21.4;;
83393;03/02/2018;0000;;;;0.333333;
83393;03/02/2018;1200;18.1;;20;;
83393;04/02/2018;0000;;;;0;
83393;04/02/2018;1200;35.2;;20.4;;
83393;05/02/2018;0000;;;;0.666667;
83393;05/02/2018;1200;6;;20.4;;
83393;06/02/2018;0000;;;;0.166667;
83393;06/02/2018;1200;16.8;;21.4;;
83393;07/02/2018;0000;;;;0.166667;
83393;07/02/2018;1200;18.2;;21.4;;
83393;08/02/2018;0000;;;;0.666667;
83393;08/02/2018;1200;3.1;;21.2;;
83393;09/02/2018;0000;;;;0.5;
83393;09/02/2018;1200;6.5;;21.4;;
83393;10/02/2018;0000;;;;0.166667;
83393;10/02/2018;1200;0.3;;21.2;;
83393;11/02/2018;0000;;;;1.166667;
83393;11/02/2018;1200;0;;19.4;;
83393;12/02/2018;0000;;;;0.333333;
83393;12/02/2018;1200;0;;18.4;;
83393;13/02/2018;0000;;;;1;
83393;13/02/2018;1200;0;;21;;
83393;14/02/2018;0000;;;;2.333333;
83393;14/02/2018;1200;0;;19.2;;
83393;15/02/2018;0000;;;;1.5;
83393;15/02/2018;1200;0;;19.6;;
83393;16/02/2018;0000;;;;0.666667;
83393;16/02/2018;1200;0;;19.8;;
83393;17/02/2018;0000;;;;1;
83393;17/02/2018;1200;2.8;;19.8;;
