--------------------
BDMEP - INMET
--------------------
Estação           : PIRAPORA - MG (OMM: 83483)
Latitude  (graus) : -17.35
Longitude (graus) : -44.91
Altitude  (metros): 505.24
Estação Operante
Inicio de operação: 23/12/1912
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83483;02/01/2018;1200;0;;22.5;;
83483;03/01/2018;1200;0;;23.1;;
83483;04/01/2018;1200;53;;21.7;;
83483;05/01/2018;1200;5;;21.8;;
83483;31/01/2018;1200;0.2;;23.3;;
83483;01/02/2018;1200;11.3;;21.6;;
83483;02/02/2018;1200;3.9;;21.9;;
83483;03/02/2018;0000;;;;0;
83483;03/02/2018;1200;10.6;;20.3;;
83483;04/02/2018;1200;60.3;;20.7;;
83483;05/02/2018;1200;54.1;;20.7;;
83483;06/02/2018;1200;2.4;;21.3;;
83483;07/02/2018;1200;26.4;;20.2;;
83483;08/02/2018;1200;0;;21.1;;
83483;09/02/2018;1200;0;;22.9;;
83483;10/02/2018;1200;0;;22.5;;
83483;06/06/2018;1200;;;21.6;;
83483;07/06/2018;1200;0;;16.7;;
83483;08/06/2018;0000;;;;0;
83483;08/06/2018;1200;0;;17.5;;
83483;09/06/2018;1200;0;;17.9;;
83483;10/06/2018;1200;0;;19.9;;
83483;11/06/2018;1200;0;;16.7;;
83483;12/06/2018;1200;0;;16.3;;
83483;13/06/2018;1200;0;;16.9;;
83483;14/06/2018;1200;0;;16;;
83483;15/06/2018;1200;0;;15.2;;
83483;16/06/2018;0000;;;;0;
83483;16/06/2018;1200;0;;13;;
83483;17/06/2018;1200;0;;13.5;;
83483;18/06/2018;1200;0;;13.7;;
83483;19/06/2018;1200;0;;13.1;;
83483;20/06/2018;1200;0;;17.5;;
83483;21/06/2018;1200;0;;15.1;;
83483;22/06/2018;1200;0;;14.7;;
83483;23/06/2018;1200;0;;18.1;;
83483;24/06/2018;1200;0;;16.8;;
83483;25/06/2018;1200;0;;18.5;;
83483;26/06/2018;1200;0;;20.4;;
83483;27/06/2018;1200;0;;15.1;;
83483;28/06/2018;1200;0;;13.5;;
83483;29/06/2018;1200;0;;12.9;;
83483;30/06/2018;1200;0;;13.2;;
83483;01/07/2018;1200;0;;15.9;;
83483;02/07/2018;0000;;;;0;
83483;02/07/2018;1200;0;;12.9;;
83483;03/07/2018;1200;0;;13.5;;
83483;04/07/2018;1200;0;;13.7;;
83483;05/07/2018;1200;0;;14;;
83483;06/07/2018;1200;0;;11.4;;
83483;07/07/2018;1200;0;;12.2;;
83483;08/07/2018;1200;;;12.3;;
83483;09/07/2018;1200;0;;13.7;;
83483;10/07/2018;1200;0;;15.7;;
83483;11/07/2018;1200;0;;16.3;;
83483;12/07/2018;1200;0;;15.5;;
83483;13/07/2018;1200;0;;15.5;;
83483;14/07/2018;1200;0;;14.5;;
83483;15/07/2018;1200;0;;14.8;;
83483;16/07/2018;1200;0;;13.2;;
83483;17/07/2018;1200;0;;14.4;;
83483;18/07/2018;1200;0;;20.2;;
83483;19/07/2018;1200;0;;13.5;;
83483;20/07/2018;1200;0;;13.7;;
83483;21/07/2018;1200;0;;15;;
83483;22/07/2018;1200;0;;14;;
83483;23/07/2018;1200;0;;14.1;;
83483;24/07/2018;1200;0;;14.1;;
83483;25/07/2018;1200;0;;12.9;;
83483;26/07/2018;1200;0;;12.8;;
83483;27/07/2018;1200;0;;12.3;;
83483;28/07/2018;1200;0;;13.6;;
83483;29/07/2018;1200;0;;13.1;;
83483;30/07/2018;1200;0;;13.3;;
83483;31/07/2018;1200;0;;13.5;;
83483;01/08/2018;1200;0;;15.1;;
83483;02/08/2018;1200;0;;16.7;;
83483;03/08/2018;1200;0;;18.9;;
83483;04/08/2018;1200;0;;17.9;;
83483;05/08/2018;1200;0;;16.1;;
83483;06/08/2018;1200;0;;18.7;;
83483;07/08/2018;1200;0;;20.2;;
83483;08/08/2018;1200;0;;19;;
83483;09/08/2018;1200;2.3;;19.7;;
83483;10/08/2018;1200;0;;18.1;;
83483;11/08/2018;1200;0;;17.3;;
83483;12/08/2018;1200;;;13;;
83483;13/08/2018;1200;0;;10.7;;
83483;14/08/2018;1200;0;;13.1;;
83483;15/08/2018;1200;0;;14;;
83483;16/08/2018;1200;0;;17.5;;
83483;17/08/2018;1200;5.9;;18.5;;
83483;18/08/2018;1200;1;;16.9;;
83483;19/08/2018;1200;0;;15.1;;
