--------------------
BDMEP - INMET
--------------------
Estação           : RESENDE - RJ (OMM: 83738)
Latitude  (graus) : -22.45
Longitude (graus) : -44.44
Altitude  (metros): 439.89
Estação Operante
Inicio de operação: 22/05/1944
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83738;01/01/2018;0000;;35;;;
83738;01/01/2018;1200;4.4;;20.4;;
83738;02/01/2018;0000;;33.4;;;
83738;02/01/2018;1200;16.4;;20.5;;
83738;03/01/2018;0000;;31.2;;;
83738;03/01/2018;1200;0;;21.6;;
83738;04/01/2018;0000;;27.2;;;
83738;04/01/2018;1200;20.8;;18.4;;
83738;05/01/2018;0000;;24.6;;;
83738;05/01/2018;1200;16;;18;;
83738;06/01/2018;0000;;26.8;;;
83738;06/01/2018;1200;20.6;;20.4;;
83738;07/01/2018;0000;;26;;;
83738;07/01/2018;1200;23.6;;19.6;;
83738;08/01/2018;0000;;24.2;;;
83738;08/01/2018;1200;25.2;;19.8;;
83738;09/01/2018;0000;;31;;;
83738;09/01/2018;1200;18.8;;20;;
83738;10/01/2018;0000;;31.4;;;
83738;10/01/2018;1200;0;;21;;
83738;11/01/2018;0000;;31.4;;;
83738;11/01/2018;1200;0;;21.4;;
83738;12/01/2018;0000;;27.2;;;
83738;12/01/2018;1200;4.4;;19.8;;
83738;13/01/2018;0000;;30.4;;;
83738;13/01/2018;1200;5;;19;;
83738;14/01/2018;0000;;31.4;;;
83738;14/01/2018;1200;1.5;;19.9;;
83738;15/01/2018;0000;;33.6;;;
83738;15/01/2018;1200;4.2;;20;;
83738;16/01/2018;0000;;32;;;
83738;16/01/2018;1200;3.8;;19.8;;
83738;17/01/2018;0000;;34.6;;;
83738;17/01/2018;1200;0;;20;;
83738;18/01/2018;0000;;36.2;;;
83738;18/01/2018;1200;7.8;;20.8;;
83738;19/01/2018;0000;;36;;;
83738;19/01/2018;1200;0;;20.8;;
83738;20/01/2018;0000;;30.2;;;
83738;20/01/2018;1200;12.4;;20.6;;
83738;21/01/2018;0000;;31.4;;;
83738;21/01/2018;1200;7.6;;20;;
83738;22/01/2018;0000;;31;;;
83738;22/01/2018;1200;0;;20.6;;
83738;23/01/2018;0000;;32.4;;;
83738;23/01/2018;1200;3.4;;20.2;;
83738;24/01/2018;0000;;34;;;
83738;24/01/2018;1200;0;;20.8;;
83738;25/01/2018;0000;;33.6;;;
83738;25/01/2018;1200;1.4;;20.8;;
83738;26/01/2018;0000;;32;;;
83738;26/01/2018;1200;0;;21.8;;
83738;27/01/2018;0000;;28.2;;;
83738;27/01/2018;1200;18.8;;20.6;;
83738;28/01/2018;0000;;31;;;
83738;28/01/2018;1200;0;;20.4;;
83738;29/01/2018;0000;;29.4;;;
83738;29/01/2018;1200;1.4;;22.2;;
83738;30/01/2018;0000;;26.8;;;
83738;30/01/2018;1200;11.8;;20;;
83738;31/01/2018;0000;;28.4;;;
83738;31/01/2018;1200;20.8;;18.2;;
83738;01/02/2018;0000;;29.4;;;
83738;01/02/2018;1200;0;;16.5;;
83738;02/02/2018;0000;;30.6;;;
83738;02/02/2018;1200;0;;19.4;;
83738;03/02/2018;0000;;30;;;
83738;03/02/2018;1200;0;;18.8;;
83738;04/02/2018;0000;;25.4;;;
83738;04/02/2018;1200;0;;19;;
83738;05/02/2018;0000;;22.2;;;
83738;05/02/2018;1200;0.7;;18.5;;
83738;06/02/2018;0000;;28.6;;;
83738;06/02/2018;1200;1.2;;18.4;;
83738;07/02/2018;0000;;28.8;;;
83738;07/02/2018;1200;54;;19.4;;
83738;08/02/2018;0000;;31.6;;;
83738;08/02/2018;1200;0;;18.8;;
83738;09/02/2018;0000;;32.6;;;
83738;09/02/2018;1200;0;;18.5;;
83738;10/02/2018;0000;;34.2;;;
83738;10/02/2018;1200;0;;20;;
83738;11/02/2018;0000;;33.6;;;
83738;11/02/2018;1200;4.8;;19.8;;
83738;12/02/2018;0000;;33.8;;;
83738;12/02/2018;1200;1;;22.4;;
83738;13/02/2018;0000;;28.8;;;
83738;13/02/2018;1200;14.7;;22.8;;
83738;14/02/2018;0000;;31;;;
83738;14/02/2018;1200;0;;21.8;;
83738;15/02/2018;0000;;28.8;;;
83738;15/02/2018;1200;44.8;;18.8;;
83738;16/02/2018;0000;;29.4;;;
83738;16/02/2018;1200;7.2;;21;;
83738;17/02/2018;0000;;29.6;;;
83738;17/02/2018;1200;4;;20.8;;
83738;18/02/2018;0000;;27.2;;;
83738;18/02/2018;1200;2.8;;20.4;;
83738;19/02/2018;0000;;30.4;;;
83738;19/02/2018;1200;4.2;;19;;
83738;20/02/2018;0000;;32;;;
83738;20/02/2018;1200;4;;20.8;;
83738;21/02/2018;0000;;29.6;;;
83738;21/02/2018;1200;2.6;;21.6;;
83738;22/02/2018;0000;;33.2;;;
83738;22/02/2018;1200;34.3;;21;;
83738;23/02/2018;0000;;29.4;;;
83738;23/02/2018;1200;40.6;;20.8;;
83738;24/02/2018;0000;;25.4;;;
83738;24/02/2018;1200;2.3;;19.8;;
83738;25/02/2018;0000;;26.6;;;
83738;25/02/2018;1200;0;;20;;
83738;26/02/2018;0000;;28;;;
83738;26/02/2018;1200;0;;21;;
83738;27/02/2018;0000;;28.2;;;
83738;27/02/2018;1200;8.6;;20.2;;
83738;28/02/2018;0000;;31.8;;;
83738;28/02/2018;1200;3.5;;20.4;;
83738;01/03/2018;0000;;30.8;;;
83738;01/03/2018;1200;23.2;;20.8;;
83738;02/03/2018;0000;;31.4;;;
83738;02/03/2018;1200;4.4;;21.6;;
83738;03/03/2018;0000;;32.8;;;
83738;03/03/2018;1200;28.6;;21.2;;
83738;04/03/2018;0000;;32.8;;;
83738;04/03/2018;1200;17.6;;21.2;;
83738;05/03/2018;0000;;33.2;;;
83738;05/03/2018;1200;50.2;;21.8;;
83738;06/03/2018;0000;;33.4;;;
83738;06/03/2018;1200;10;;20.6;;
83738;07/03/2018;0000;;32;;;
83738;07/03/2018;1200;2.8;;21.2;;
83738;08/03/2018;0000;;24.2;;;
83738;08/03/2018;1200;30.6;;21.8;;
83738;09/03/2018;0000;;25.8;;;
83738;09/03/2018;1200;11.7;;20;;
83738;10/03/2018;0000;;29.2;;;
83738;10/03/2018;1200;0.2;;20.4;;
83738;11/03/2018;0000;;31;;;
83738;11/03/2018;1200;19.6;;20.8;;
83738;12/03/2018;0000;;33.4;;;
83738;12/03/2018;1200;0;;19.8;;
83738;13/03/2018;0000;;30.8;;;
83738;13/03/2018;1200;0;;20.8;;
83738;14/03/2018;0000;;34;;;
83738;14/03/2018;1200;0;;20.8;;
83738;15/03/2018;0000;;33.8;;;
83738;15/03/2018;1200;13.4;;21;;
83738;16/03/2018;0000;;33.3;;;
83738;16/03/2018;1200;0;;20.5;;
83738;17/03/2018;0000;;31.4;;;
83738;17/03/2018;1200;4.8;;20.6;;
83738;18/03/2018;0000;;30.4;;;
83738;18/03/2018;1200;0;;20.8;;
83738;19/03/2018;0000;;35.4;;;
83738;19/03/2018;1200;0;;20.8;;
83738;20/03/2018;0000;;34;;;
83738;20/03/2018;1200;1.1;;21.4;;
83738;21/03/2018;0000;;29.2;;;
83738;21/03/2018;1200;10.6;;21;;
83738;22/03/2018;0000;;29.8;;;
83738;22/03/2018;1200;3.9;;21;;
83738;23/03/2018;0000;;31.6;;;
83738;23/03/2018;1200;0;;21.2;;
83738;24/03/2018;0000;;31.8;;;
83738;24/03/2018;1200;0;;21.6;;
83738;25/03/2018;0000;;32.4;;;
83738;25/03/2018;1200;0;;18;;
83738;26/03/2018;0000;;32.4;;;
83738;26/03/2018;1200;0;;19.8;;
83738;27/03/2018;0000;;31.8;;;
83738;27/03/2018;1200;0;;20.2;;
83738;28/03/2018;0000;;31;;;
83738;28/03/2018;1200;0;;19.5;;
83738;29/03/2018;0000;;30.6;;;
83738;29/03/2018;1200;0;;18.5;;
83738;30/03/2018;0000;;31;;;
83738;30/03/2018;1200;0;;19.2;;
83738;31/03/2018;0000;;31;;;
83738;31/03/2018;1200;0;;18.5;;
83738;01/04/2018;0000;;30.2;;;
83738;01/04/2018;1200;0.5;;19;;
83738;02/04/2018;0000;;30.8;;;
83738;02/04/2018;1200;23.2;;20.4;;
83738;03/04/2018;0000;;30.2;;;
83738;03/04/2018;1200;5.2;;21.2;;
83738;04/04/2018;0000;;28.6;;;
83738;04/04/2018;1200;23.4;;20;;
83738;05/04/2018;0000;;30.2;;;
83738;05/04/2018;1200;0;;20.5;;
83738;06/04/2018;0000;;29.6;;;
83738;06/04/2018;1200;0;;20.6;;
83738;07/04/2018;0000;;29;;;
83738;07/04/2018;1200;57;;20.5;;
83738;08/04/2018;0000;;29.8;;;
83738;08/04/2018;1200;0;;20.6;;
83738;09/04/2018;0000;;29.8;;;
83738;09/04/2018;1200;0;;19.5;;
83738;10/04/2018;0000;;29.6;;;
83738;10/04/2018;1200;0;;20.2;;
83738;11/04/2018;0000;;28.2;;;
83738;11/04/2018;1200;0;;18.4;;
83738;12/04/2018;0000;;28.2;;;
83738;12/04/2018;1200;0;;18.5;;
83738;13/04/2018;0000;;31.2;;;
83738;13/04/2018;1200;0;;17.4;;
83738;14/04/2018;0000;;28.2;;;
83738;14/04/2018;1200;0;;19;;
83738;15/04/2018;0000;;26.8;;;
83738;15/04/2018;1200;0;;18.8;;
83738;16/04/2018;0000;;22;;;
83738;16/04/2018;1200;10.2;;18;;
83738;17/04/2018;0000;;25.2;;;
83738;17/04/2018;1200;0.6;;17.5;;
83738;18/04/2018;0000;;26.8;;;
83738;18/04/2018;1200;0;;15.2;;
83738;19/04/2018;0000;;27.8;;;
83738;19/04/2018;1200;0;;16.6;;
83738;20/04/2018;0000;;29;;;
83738;20/04/2018;1200;0;;14.5;;
83738;21/04/2018;0000;;26.8;;;
83738;21/04/2018;1200;0;;19;;
83738;22/04/2018;0000;;27.8;;;
83738;22/04/2018;1200;0;;18.5;;
83738;23/04/2018;0000;;26.8;;;
83738;23/04/2018;1200;0;;15.8;;
83738;24/04/2018;0000;;29.6;;;
83738;24/04/2018;1200;0;;16.6;;
83738;25/04/2018;0000;;29;;;
83738;25/04/2018;1200;0;;17;;
83738;26/04/2018;0000;;28.8;;;
83738;26/04/2018;1200;0;;18.2;;
83738;27/04/2018;0000;;29.2;;;
83738;27/04/2018;1200;0;;19.4;;
83738;28/04/2018;0000;;29.6;;;
83738;28/04/2018;1200;0;;20.5;;
83738;29/04/2018;0000;;29;;;
83738;29/04/2018;1200;0;;18.8;;
83738;30/04/2018;0000;;29.2;;;
83738;30/04/2018;1200;0;;13.5;;
83738;01/05/2018;0000;;30.6;;;
83738;01/05/2018;1200;0;;15.1;;
83738;02/05/2018;0000;;29.2;;;
83738;02/05/2018;1200;0;;16.6;;
83738;03/05/2018;0000;;29.2;;;
83738;03/05/2018;1200;0;;18.5;;
83738;04/05/2018;0000;;29.4;;;
83738;04/05/2018;1200;0;;19.4;;
83738;05/05/2018;0000;;29.2;;;
83738;05/05/2018;1200;0;;16.5;;
83738;06/05/2018;0000;;28.8;;;
83738;06/05/2018;1200;0;;16.6;;
83738;07/05/2018;0000;;27.8;;;
83738;07/05/2018;1200;0;;15.8;;
83738;08/05/2018;0000;;22.8;;;
83738;08/05/2018;1200;1.2;;16.8;;
83738;09/05/2018;0000;;24.8;;;
83738;09/05/2018;1200;2.4;;17;;
83738;10/05/2018;0000;;27;;;
83738;10/05/2018;1200;0;;17.6;;
83738;11/05/2018;0000;;28.2;;;
83738;11/05/2018;1200;0.3;;11.8;;
83738;12/05/2018;0000;;29.6;;;
83738;12/05/2018;1200;0;;14.6;;
83738;13/05/2018;0000;;24;;;
83738;13/05/2018;1200;0;;19.8;;
83738;14/05/2018;0000;;25.8;;;
83738;14/05/2018;1200;0;;18.2;;
83738;15/05/2018;0000;;28.8;;;
83738;15/05/2018;1200;0.2;;15.2;;
83738;16/05/2018;0000;;30.6;;;
83738;16/05/2018;1200;0;;18.2;;
83738;17/05/2018;0000;;24.4;;;
83738;17/05/2018;1200;11.8;;18.5;;
83738;18/05/2018;0000;;28;;;
83738;18/05/2018;1200;0;;18.6;;
83738;19/05/2018;0000;;28.4;;;
83738;19/05/2018;1200;0;;17;;
83738;20/05/2018;0000;;24.8;;;
83738;20/05/2018;1200;8.2;;15.8;;
83738;21/05/2018;0000;;23.2;;;
83738;21/05/2018;1200;0.2;;7.2;;
83738;22/05/2018;0000;;24.6;;;
83738;22/05/2018;1200;0.3;;8.4;;
83738;23/05/2018;0000;;25.6;;;
83738;23/05/2018;1200;0.2;;10.4;;
83738;24/05/2018;0000;;25.2;;;
83738;24/05/2018;1200;0;;12.8;;
83738;25/05/2018;0000;;25.2;;;
83738;25/05/2018;1200;0;;16.6;;
83738;26/05/2018;0000;;24.6;;;
83738;26/05/2018;1200;0;;16.4;;
83738;27/05/2018;0000;;26.4;;;
83738;27/05/2018;1200;0.1;;14.8;;
83738;28/05/2018;0000;;24.8;;;
83738;28/05/2018;1200;0;;15.8;;
83738;29/05/2018;0000;;24.6;;;
83738;29/05/2018;1200;0;;15.6;;
83738;30/05/2018;0000;;25;;;
83738;30/05/2018;1200;0;;12.6;;
83738;31/05/2018;0000;;26.6;;;
83738;31/05/2018;1200;0;;14.4;;
83738;01/06/2018;0000;;27;;;
83738;01/06/2018;1200;0.3;;14.8;;
83738;02/06/2018;0000;;29.2;;;
83738;02/06/2018;1200;0;;10.6;;
83738;03/06/2018;0000;;25.8;;;
83738;03/06/2018;1200;0;;14;;
83738;04/06/2018;0000;;22.2;;;
83738;04/06/2018;1200;4.4;;15.4;;
83738;05/06/2018;0000;;19.8;;;
83738;05/06/2018;1200;0;;15.2;;
83738;06/06/2018;0000;;24.4;;;
83738;06/06/2018;1200;0;;14.6;;
83738;07/06/2018;0000;;24;;;
83738;07/06/2018;1200;1.2;;16.4;;
83738;08/06/2018;0000;;24.2;;;
83738;08/06/2018;1200;0.1;;15.8;;
83738;09/06/2018;0000;;21.4;;;
83738;09/06/2018;1200;0.3;;15.6;;
83738;10/06/2018;0000;;25.2;;;
83738;10/06/2018;1200;0;;17.2;;
83738;11/06/2018;0000;;25;;;
83738;11/06/2018;1200;0.1;;15.4;;
83738;12/06/2018;0000;;30;;;
83738;12/06/2018;1200;0.4;;13.6;;
83738;13/06/2018;0000;;27.8;;;
83738;13/06/2018;1200;0;;14.2;;
83738;14/06/2018;0000;;22;;;
83738;14/06/2018;1200;1.4;;18.4;;
83738;15/06/2018;0000;;19;;;
83738;15/06/2018;1200;35;;15.5;;
83738;16/06/2018;0000;;19.8;;;
83738;16/06/2018;1200;5.2;;16;;
83738;17/06/2018;0000;;25;;;
83738;17/06/2018;1200;0.4;;15.2;;
83738;18/06/2018;0000;;25.6;;;
83738;18/06/2018;1200;0;;15.8;;
83738;19/06/2018;0000;;24.2;;;
83738;19/06/2018;1200;0;;16.6;;
83738;20/06/2018;0000;;26.8;;;
83738;20/06/2018;1200;0;;13.4;;
83738;21/06/2018;0000;;27.4;;;
83738;21/06/2018;1200;0.3;;11.8;;
83738;22/06/2018;0000;;27.4;;;
83738;22/06/2018;1200;0.1;;11.6;;
83738;23/06/2018;0000;;27.2;;;
83738;23/06/2018;1200;0;;13;;
83738;24/06/2018;0000;;29;;;
83738;24/06/2018;1200;0;;16.6;;
83738;25/06/2018;0000;;28.8;;;
83738;25/06/2018;1200;0.1;;12.6;;
83738;26/06/2018;0000;;29.6;;;
83738;26/06/2018;1200;0;;13.4;;
83738;27/06/2018;0000;;29;;;
83738;27/06/2018;1200;0;;11.6;;
83738;28/06/2018;0000;;27.4;;;
83738;28/06/2018;1200;0.2;;13.2;;
83738;29/06/2018;0000;;26.2;;;
83738;29/06/2018;1200;0;;10.6;;
83738;30/06/2018;0000;;27.6;;;
83738;30/06/2018;1200;0;;11;;
83738;01/07/2018;1200;0;;11.6;;
83738;02/07/2018;1200;0;;15.8;;
83738;03/07/2018;1200;0;;12.6;;
83738;04/07/2018;1200;0;;16.4;;
83738;05/07/2018;1200;0;;16.8;;
83738;06/07/2018;1200;0;;12;;
83738;07/07/2018;1200;0;;12.5;;
83738;08/07/2018;1200;0;;10;;
83738;09/07/2018;1200;0;;11.2;;
83738;10/07/2018;1200;0;;15.4;;
83738;11/07/2018;1200;11.2;;10;;
83738;01/08/2018;0000;;20.2;;;
83738;01/08/2018;1200;7.4;;12.8;;
83738;02/08/2018;0000;;21.4;;;
83738;02/08/2018;1200;9.8;;14.8;;
83738;03/08/2018;0000;;20.4;;;
83738;03/08/2018;1200;0;;16;;
83738;04/08/2018;0000;;26.2;;;
83738;04/08/2018;1200;32.4;;15.6;;
83738;05/08/2018;0000;;25.2;;;
83738;05/08/2018;1200;0;;14.6;;
83738;06/08/2018;0000;;18.6;;;
83738;06/08/2018;1200;0;;15.6;;
83738;07/08/2018;0000;;19.8;;;
83738;07/08/2018;1200;12.4;;14.6;;
83738;08/08/2018;0000;;26.6;;;
83738;08/08/2018;1200;0;;15.8;;
83738;09/08/2018;0000;;30;;;
83738;09/08/2018;1200;0;;17;;
83738;10/08/2018;0000;;28.6;;;
83738;10/08/2018;1200;0;;18;;
83738;11/08/2018;0000;;25.4;;;
83738;11/08/2018;1200;0;;10.8;;
83738;12/08/2018;0000;;25.2;;;
83738;12/08/2018;1200;0;;11;;
83738;13/08/2018;0000;;24.8;;;
83738;13/08/2018;1200;0;;12.6;;
83738;14/08/2018;0000;;26.8;;;
83738;14/08/2018;1200;0;;12.4;;
83738;15/08/2018;0000;;26.4;;;
83738;15/08/2018;1200;0;;13.4;;
83738;16/08/2018;0000;;19.4;;;
83738;16/08/2018;1200;0;;14;;
83738;17/08/2018;0000;;23.8;;;
83738;17/08/2018;1200;0;;15.6;;
83738;18/08/2018;0000;;24.4;;;
83738;18/08/2018;1200;0;;14.2;;
83738;19/08/2018;0000;;27.6;;;
83738;19/08/2018;1200;0;;15.6;;
83738;20/08/2018;0000;;29.8;;;
83738;20/08/2018;1200;0;;12;;
83738;21/08/2018;0000;;29.4;;;
83738;21/08/2018;1200;0;;11.6;;
83738;22/08/2018;0000;;29.2;;;
83738;22/08/2018;1200;0;;15.6;;
83738;23/08/2018;0000;;30;;;
83738;23/08/2018;1200;0;;15.2;;
83738;24/08/2018;0000;;31.8;;;
83738;24/08/2018;1200;0;;14.4;;
83738;25/08/2018;0000;;21;;;
83738;25/08/2018;1200;3;;16.6;;
83738;26/08/2018;0000;;19.2;;;
83738;26/08/2018;1200;2.6;;16.2;;
83738;27/08/2018;0000;;21;;;
83738;27/08/2018;1200;0;;13.4;;
83738;28/08/2018;0000;;24.2;;;
83738;28/08/2018;1200;0;;14.6;;
83738;29/08/2018;0000;;27.2;;;
83738;29/08/2018;1200;0;;13.4;;
83738;30/08/2018;0000;;30.4;;;
83738;30/08/2018;1200;0;;12.4;;
83738;31/08/2018;0000;;32;;;
83738;31/08/2018;1200;0;;13.4;;
83738;01/09/2018;0000;;33.2;;;
83738;01/09/2018;1200;0;;13.6;;
83738;02/09/2018;0000;;34;;;
83738;02/09/2018;1200;0;;16;;
83738;03/09/2018;0000;;32.6;;;
83738;03/09/2018;1200;0;;16.6;;
83738;04/09/2018;0000;;24.2;;;
83738;04/09/2018;1200;3.6;;15.5;;
83738;05/09/2018;0000;;26;;;
83738;05/09/2018;1200;0;;13.4;;
83738;06/09/2018;0000;;24.6;;;
83738;06/09/2018;1200;0;;11.6;;
83738;07/09/2018;0000;;28.4;;;
83738;07/09/2018;1200;0;;15.2;;
83738;08/09/2018;0000;;27.8;;;
83738;08/09/2018;1200;0;;11.8;;
83738;09/09/2018;0000;;28.6;;;
83738;09/09/2018;1200;0;;11.6;;
83738;10/09/2018;0000;;27;;;
83738;10/09/2018;1200;0;;16.6;;
83738;11/09/2018;0000;;24.2;;;
83738;11/09/2018;1200;0;;16.4;;
83738;12/09/2018;0000;;22.4;;;
83738;12/09/2018;1200;0;;16.6;;
83738;13/09/2018;0000;;25.6;;;
83738;13/09/2018;1200;0;;14.8;;
83738;14/09/2018;0000;;27.6;;;
83738;14/09/2018;1200;0;;15.2;;
83738;15/09/2018;0000;;29.8;;;
83738;15/09/2018;1200;17.6;;17.8;;
83738;16/09/2018;0000;;27.6;;;
83738;16/09/2018;1200;10;;16.2;;
83738;17/09/2018;0000;;20.2;;;
83738;17/09/2018;1200;0;;16.6;;
83738;18/09/2018;0000;;30;;;
83738;18/09/2018;1200;1.6;;16.8;;
83738;19/09/2018;0000;;33.4;;;
83738;19/09/2018;1200;1.4;;17.4;;
83738;20/09/2018;0000;;25;;;
83738;20/09/2018;1200;0;;18;;
83738;21/09/2018;0000;;32;;;
83738;21/09/2018;1200;5.2;;17.6;;
83738;22/09/2018;0000;;30.8;;;
83738;22/09/2018;1200;0;;18.4;;
83738;23/09/2018;0000;;33.6;;;
83738;23/09/2018;1200;0;;17.8;;
83738;24/09/2018;0000;;35.2;;;
83738;24/09/2018;1200;0;;18;;
83738;25/09/2018;0000;;32.6;;;
83738;25/09/2018;1200;0;;20.8;;
83738;26/09/2018;0000;;34.4;;;
83738;26/09/2018;1200;0;;20.2;;
83738;27/09/2018;0000;;32.6;;;
83738;27/09/2018;1200;0;;18.4;;
83738;28/09/2018;0000;;26.8;;;
83738;28/09/2018;1200;13.8;;19.8;;
83738;29/09/2018;0000;;28.2;;;
83738;29/09/2018;1200;0.8;;20.2;;
83738;30/09/2018;0000;;28.2;;;
83738;30/09/2018;1200;0;;20.6;;
83738;01/10/2018;0000;;27.2;;;
83738;01/10/2018;1200;3.4;;19;;
83738;02/10/2018;0000;;34;;;
83738;02/10/2018;1200;2;;17.8;;
83738;03/10/2018;0000;;35.6;;;
83738;03/10/2018;1200;0;;18.2;;
83738;04/10/2018;0000;;29;;;
83738;04/10/2018;1200;0;;19.8;;
83738;05/10/2018;0000;;24.2;;;
83738;05/10/2018;1200;0.8;;20.4;;
83738;06/10/2018;0000;;21;;;
83738;06/10/2018;1200;0;;16.6;;
83738;07/10/2018;0000;;24;;;
83738;07/10/2018;1200;1.4;;15.6;;
83738;08/10/2018;0000;;24.4;;;
83738;08/10/2018;1200;0.7;;17.6;;
83738;09/10/2018;0000;;27;;;
83738;09/10/2018;1200;13.6;;20.2;;
83738;10/10/2018;0000;;32;;;
83738;10/10/2018;1200;0.6;;19.4;;
83738;11/10/2018;0000;;27.6;;;
83738;11/10/2018;1200;19;;20;;
83738;12/10/2018;0000;;28.2;;;
83738;12/10/2018;1200;1.6;;19.8;;
83738;13/10/2018;0000;;35.8;;;
83738;13/10/2018;1200;0;;19.4;;
83738;14/10/2018;0000;;26.2;;;
83738;14/10/2018;1200;21.2;;20.6;;
83738;15/10/2018;0000;;25;;;
83738;15/10/2018;1200;1.8;;18.8;;
83738;16/10/2018;0000;;22;;;
83738;16/10/2018;1200;2.6;;18.5;;
83738;17/10/2018;0000;;30.2;;;
83738;17/10/2018;1200;0.2;;18.6;;
83738;18/10/2018;0000;;32.2;;;
83738;18/10/2018;1200;0;;18.6;;
