--------------------
BDMEP - INMET
--------------------
Estação           : SALINAS - MG (OMM: 83441)
Latitude  (graus) : -16.15
Longitude (graus) : -42.28
Altitude  (metros): 471.32
Estação Operante
Inicio de operação: 05/03/1925
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83441;01/01/2018;0000;;34.5;;0.766667;
83441;01/01/2018;1200;0.4;;21;;
83441;02/01/2018;0000;;34.3;;1.5;
83441;02/01/2018;1200;0;;21;;
83441;03/01/2018;0000;;32.9;;2.166667;
83441;03/01/2018;1200;23;;21.2;;
83441;04/01/2018;0000;;29;;1.333333;
83441;04/01/2018;1200;6.7;;22;;
83441;05/01/2018;0000;;32.5;;1.666667;
83441;05/01/2018;1200;0;;21;;
83441;06/01/2018;0000;;31.4;;1.533333;
83441;06/01/2018;1200;0;;20;;
83441;07/01/2018;0000;;31.5;;0.866667;
83441;07/01/2018;1200;0;;20.2;;
83441;08/01/2018;0000;;32.3;;0.866667;
83441;08/01/2018;1200;0;;19;;
83441;09/01/2018;0000;;32.7;;2.2;
83441;09/01/2018;1200;0;;19;;
83441;10/01/2018;0000;;30.8;;1.8;
83441;10/01/2018;1200;0;;22;;
83441;11/01/2018;0000;;31.5;;1.5;
83441;11/01/2018;1200;0;;18.6;;
83441;12/01/2018;0000;;33.2;;1.533333;
83441;12/01/2018;1200;0;;19.2;;
83441;13/01/2018;0000;;33.3;;1.533333;
83441;13/01/2018;1200;43.2;;21.8;;
83441;14/01/2018;0000;;32.9;;1.1;
83441;14/01/2018;1200;0;;21.2;;
83441;15/01/2018;0000;;32.3;;1.333333;
83441;15/01/2018;1200;0;;22.2;;
83441;16/01/2018;0000;;34.2;;1.666667;
83441;16/01/2018;1200;0;;20;;
83441;17/01/2018;0000;;32.5;;1.466667;
83441;17/01/2018;1200;0;;18.4;;
83441;18/01/2018;0000;;32.7;;2.233333;
83441;18/01/2018;1200;0;;18;;
83441;19/01/2018;0000;;33.3;;1.633333;
83441;19/01/2018;1200;0;;18;;
83441;20/01/2018;0000;;35.3;;1.2;
83441;20/01/2018;1200;0;;19.4;;
83441;21/01/2018;0000;;35.1;;2.066667;
