--------------------
BDMEP - INMET
--------------------
Estação           : SAO CARLOS - SP (OMM: 83726)
Latitude  (graus) : -21.96
Longitude (graus) : -47.86
Altitude  (metros): 856.00
Estação Operante
Inicio de operação: 24/09/1939
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83726;01/01/2018;1200;0;;;;
83726;02/01/2018;0000;;25.9;;2;
83726;02/01/2018;1200;;;19.7;;
83726;03/01/2018;0000;;25.7;;1.5;
83726;03/01/2018;1200;27.2;;19.9;;
83726;04/01/2018;0000;;29.3;;0.5;
83726;04/01/2018;1200;15.1;;18.8;;
83726;05/01/2018;0000;;30.5;;1;
83726;05/01/2018;1200;0;;19.2;;
83726;06/01/2018;0000;;26.9;;1;
83726;06/01/2018;1200;0;;19.3;;
83726;08/01/2018;0000;;22.8;;1;
83726;08/01/2018;1200;;;18.9;;
83726;09/01/2018;0000;;26.1;;2;
83726;09/01/2018;1200;2.6;;18.5;;
83726;10/01/2018;0000;;30.4;;3;
83726;10/01/2018;1200;0;;19;;
83726;11/01/2018;0000;;29.4;;2;
83726;11/01/2018;1200;0.4;;18.1;;
83726;12/01/2018;0000;;26.7;;1;
83726;12/01/2018;1200;32;;17.4;;
83726;13/01/2018;0000;;28.3;;1;
83726;13/01/2018;1200;18.1;;17.2;;
83726;14/01/2018;1200;34.4;;;;
83726;15/01/2018;0000;;29.2;;2;
83726;15/01/2018;1200;;;20.6;;
83726;16/01/2018;0000;;28.7;;0.5;
83726;16/01/2018;1200;1.5;;19.3;;
83726;17/01/2018;0000;;30.5;;1;
83726;17/01/2018;1200;0;;19.6;;
83726;18/01/2018;0000;;31.2;;1;
83726;18/01/2018;1200;4.1;;20;;
83726;19/01/2018;0000;;30.7;;1;
83726;19/01/2018;1200;1.1;;19.4;;
83726;20/01/2018;0000;;31;;0.5;
83726;20/01/2018;1200;0.7;;20;;
83726;21/01/2018;1200;1.5;;;;
83726;22/01/2018;0000;;31.6;;2;
83726;22/01/2018;1200;0;;;;
83726;23/01/2018;0000;;32.9;;3;
83726;23/01/2018;1200;0;;21.5;;
83726;24/01/2018;0000;;31.2;;1;
83726;24/01/2018;1200;1.3;;20;;
83726;25/01/2018;0000;;31.1;;2;
83726;25/01/2018;1200;1.5;;20.5;;
83726;26/01/2018;0000;;29.7;;1;
83726;26/01/2018;1200;0;;20.1;;
83726;27/01/2018;0000;;29.8;;1;
83726;27/01/2018;1200;2.8;;19.2;;
83726;29/01/2018;0000;;29.1;;1;
83726;29/01/2018;1200;0;;20.6;;
83726;30/01/2018;0000;;24.8;;1;
83726;30/01/2018;1200;22.8;;20.6;;
83726;31/01/2018;0000;;27.7;;3;
83726;31/01/2018;1200;5.2;;17.1;;
83726;01/02/2018;0000;;29;;1;
83726;01/02/2018;1200;0;;17.1;;
83726;02/02/2018;0000;;28.3;;2;
83726;02/02/2018;1200;0;;18.1;;
83726;03/02/2018;0000;;;;3;
83726;03/02/2018;1200;0;;18;;
83726;05/02/2018;0000;;27.4;;2;
83726;05/02/2018;1200;0;;21.1;;
83726;06/02/2018;0000;;27;;0.5;
83726;06/02/2018;1200;1.9;;17.3;;
83726;07/02/2018;0000;;29.7;;0.5;
83726;07/02/2018;1200;0;;16.5;;
83726;08/02/2018;0000;;32.1;;1;
83726;08/02/2018;1200;0;;15.7;;
83726;09/02/2018;0000;;33.2;;1.5;
83726;09/02/2018;1200;0;;19;;
83726;10/02/2018;0000;;28.9;;2;
83726;10/02/2018;1200;0;;21;;
83726;12/02/2018;0000;;29.8;;2;
83726;12/02/2018;1200;0;;21.9;;
83726;13/02/2018;0000;;28.8;;3.5;
83726;13/02/2018;1200;0;;20;;
83726;14/02/2018;0000;;21.6;;3;
83726;14/02/2018;1200;0.8;;18.2;;
83726;15/02/2018;0000;;25.3;;2;
83726;15/02/2018;1200;21.8;;18.2;;
83726;16/02/2018;0000;;29.2;;2;
83726;16/02/2018;1200;0;;17.8;;
83726;17/02/2018;0000;;30.1;;1.5;
83726;17/02/2018;1200;4;;17.5;;
83726;19/02/2018;0000;;26.2;;1.5;
83726;19/02/2018;1200;0;;21.7;;
83726;20/02/2018;0000;;26;;0.5;
83726;20/02/2018;1200;6;;19.5;;
83726;21/02/2018;0000;;28.7;;0.5;
83726;21/02/2018;1200;13;;19.4;;
83726;22/02/2018;0000;;30.1;;0.5;
83726;22/02/2018;1200;0;;18.3;;
83726;23/02/2018;0000;;29.7;;4.5;
83726;23/02/2018;1200;6;;19.6;;
83726;24/02/2018;0000;;29.2;;3;
83726;24/02/2018;1200;0;;18;;
83726;26/02/2018;0000;;24.2;;1;
83726;26/02/2018;1200;0;;19.3;;
83726;27/02/2018;0000;;24.5;;1;
83726;27/02/2018;1200;56.6;;19.2;;
83726;28/02/2018;0000;;31.5;;0.5;
83726;28/02/2018;1200;17.8;;17.4;;
83726;16/03/2018;0000;;29.5;;2;
83726;16/03/2018;1200;0;;21;;
83726;17/03/2018;0000;;29.6;;1;
83726;17/03/2018;1200;11.6;;18.7;;
83726;19/03/2018;0000;;31.9;;1;
83726;19/03/2018;1200;0;;;;
83726;20/03/2018;0000;;30.2;;1;
83726;20/03/2018;1200;0;;21.1;;
83726;21/03/2018;0000;;29.9;;1;
83726;21/03/2018;1200;35;;18.9;;
83726;22/03/2018;0000;;30.2;;2;
83726;22/03/2018;1200;63.4;;17.5;;
83726;23/03/2018;0000;;31.4;;1;
83726;23/03/2018;1200;0;;20.2;;
83726;24/03/2018;0000;;28.9;;2;
83726;24/03/2018;1200;1.7;;20.4;;
83726;26/03/2018;0000;;29;;2;
83726;26/03/2018;1200;0;;19;;
83726;27/03/2018;0000;;28.9;;3;
83726;27/03/2018;1200;15.4;;18.6;;
83726;28/03/2018;0000;;29.9;;1;
83726;28/03/2018;1200;0;;18.2;;
83726;29/03/2018;0000;;30.3;;1;
83726;29/03/2018;1200;0;;18.7;;
83726;30/03/2018;0000;;30.2;;1.5;
83726;30/03/2018;1200;0.2;;20.2;;
83726;31/03/2018;0000;;28;;2;
83726;31/03/2018;1200;0;;19.2;;
83726;01/04/2018;0000;;21.4;;1;
83726;01/04/2018;1200;0;;20.3;;
