--------------------
BDMEP - INMET
--------------------
Estação           : SAO LOURENCO - MG (OMM: 83736)
Latitude  (graus) : -22.1
Longitude (graus) : -45.01
Altitude  (metros): 953.20
Estação Operante
Inicio de operação: 04/02/1922
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83736;01/01/2018;0000;;28.8;;0.833333;
83736;01/01/2018;1200;0.5;;19.2;;
83736;02/01/2018;0000;;28.8;;0.833333;
83736;02/01/2018;1200;3.6;;19;;
83736;03/01/2018;0000;;27.8;;1.533333;
83736;03/01/2018;1200;10.6;;19.6;;
83736;04/01/2018;0000;;22.6;;2.233333;
83736;04/01/2018;1200;5.4;;17.4;;
83736;05/01/2018;0000;;24;;0.666667;
83736;05/01/2018;1200;3.8;;17.4;;
83736;06/01/2018;0000;;25.2;;0.333333;
83736;06/01/2018;1200;47.2;;17.8;;
83736;07/01/2018;0000;;24.8;;0.666667;
83736;07/01/2018;1200;35.5;;18;;
83736;08/01/2018;0000;;22.2;;0.5;
83736;08/01/2018;1200;51.2;;17.2;;
83736;09/01/2018;0000;;29.2;;0.666667;
83736;09/01/2018;1200;17.2;;16.6;;
83736;10/01/2018;0000;;29.8;;0.666667;
83736;10/01/2018;1200;0;;15.2;;
83736;11/01/2018;0000;;30;;1.2;
83736;11/01/2018;1200;0;;17;;
83736;12/01/2018;0000;;25.4;;0.5;
83736;12/01/2018;1200;10.5;;17.6;;
83736;13/01/2018;0000;;28.6;;0.833333;
83736;13/01/2018;1200;2;;14.8;;
83736;14/01/2018;0000;;29.2;;0.833333;
83736;14/01/2018;1200;0;;16.8;;
83736;15/01/2018;0000;;29.2;;0.5;
83736;15/01/2018;1200;22.9;;17.4;;
83736;16/01/2018;0000;;29.4;;0.166667;
83736;16/01/2018;1200;17.4;;16.6;;
83736;17/01/2018;0000;;32.6;;0.833333;
83736;17/01/2018;1200;0;;17;;
83736;18/01/2018;0000;;31.2;;0.7;
83736;18/01/2018;1200;0;;17;;
83736;19/01/2018;0000;;31.4;;0.666667;
83736;19/01/2018;1200;0;;16.6;;
83736;20/01/2018;0000;;31.6;;0.333333;
83736;20/01/2018;1200;0;;18.8;;
83736;21/01/2018;0000;;29.8;;0.5;
83736;21/01/2018;1200;1.3;;18.2;;
83736;22/01/2018;0000;;30.8;;0.5;
83736;22/01/2018;1200;0;;18;;
83736;23/01/2018;0000;;31;;0.5;
83736;23/01/2018;1200;41;;17.8;;
83736;24/01/2018;0000;;31.6;;1.7;
83736;24/01/2018;1200;0;;17.4;;
83736;25/01/2018;0000;;30.4;;1.366667;
83736;25/01/2018;1200;0;;16.8;;
83736;26/01/2018;0000;;29.4;;1.533333;
83736;26/01/2018;1200;5.8;;18.6;;
83736;27/01/2018;0000;;27.6;;0.5;
83736;27/01/2018;1200;2;;18.6;;
83736;28/01/2018;0000;;29.6;;0.666667;
83736;28/01/2018;1200;0.2;;18.8;;
83736;29/01/2018;0000;;27;;0.666667;
83736;29/01/2018;1200;1.6;;19.2;;
83736;30/01/2018;0000;;26.8;;0.666667;
83736;30/01/2018;1200;25.1;;18.2;;
83736;31/01/2018;0000;;29.6;;1.54296;
83736;31/01/2018;1200;10.4;;17;;
83736;01/02/2018;0000;;30.2;;1.333333;
83736;01/02/2018;1200;0;;13.4;;
83736;02/02/2018;0000;;29.6;;0.833333;
83736;02/02/2018;1200;0;;15.6;;
83736;03/02/2018;0000;;30.6;;1.366667;
83736;03/02/2018;1200;0;;18.2;;
83736;04/02/2018;0000;;27.6;;1.4;
83736;04/02/2018;1200;0;;16;;
83736;05/02/2018;0000;;21.2;;1.366667;
83736;05/02/2018;1200;4.4;;15.6;;
83736;06/02/2018;0000;;27;;1.033333;
83736;06/02/2018;1200;0.8;;16;;
83736;07/02/2018;0000;;28.8;;1.2;
83736;07/02/2018;1200;0;;17;;
83736;08/02/2018;0000;;30.5;;1;
83736;08/02/2018;1200;7.6;;14.6;;
83736;09/02/2018;0000;;32.2;;0.5;
83736;09/02/2018;1200;0;;13.8;;
83736;10/02/2018;0000;;30.6;;1.2;
83736;10/02/2018;1200;0;;16.2;;
83736;11/02/2018;0000;;32.6;;0.7;
83736;11/02/2018;1200;1.3;;17;;
83736;12/02/2018;0000;;32;;0.666667;
83736;12/02/2018;1200;0;;19.8;;
83736;13/02/2018;0000;;27.2;;1.5;
83736;13/02/2018;1200;0;;20.2;;
