--------------------
BDMEP - INMET
--------------------
Estação           : SAO MATEUS - ES (OMM: 83550)
Latitude  (graus) : -18.7
Longitude (graus) : -39.85
Altitude  (metros): 25.04
Estação Operante
Inicio de operação: 26/06/1969
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83550;01/01/2018;0000;;33;;;
83550;01/01/2018;1200;0;;24;;
83550;02/01/2018;0000;;33.8;;;
83550;02/01/2018;1200;1.7;;23.2;;
83550;03/01/2018;0000;;33.3;;;
83550;03/01/2018;1200;0;;22.8;;
83550;04/01/2018;0000;;35.8;;;
83550;04/01/2018;1200;1.6;;23.3;;
83550;05/01/2018;0000;;33.9;;;
83550;05/01/2018;1200;0;;24.2;;
83550;06/01/2018;0000;;34.9;;;
83550;06/01/2018;1200;3.9;;23.7;;
83550;07/01/2018;0000;;32.6;;;
83550;07/01/2018;1200;9.8;;22.8;;
83550;08/01/2018;0000;;32.6;;;
83550;08/01/2018;1200;0;;22.2;;
83550;09/01/2018;0000;;32.8;;;
83550;09/01/2018;1200;0.2;;23.9;;
83550;10/01/2018;0000;;32.5;;;
83550;10/01/2018;1200;3.9;;24.2;;
83550;11/01/2018;0000;;31.9;;;
83550;11/01/2018;1200;5;;22.3;;
83550;12/01/2018;0000;;32.4;;;
83550;12/01/2018;1200;6;;21.9;;
83550;13/01/2018;0000;;32;;;
83550;13/01/2018;1200;2;;22.4;;
83550;14/01/2018;0000;;30.8;;;
83550;14/01/2018;1200;1.6;;23.3;;
83550;15/01/2018;0000;;32.7;;;
83550;15/01/2018;1200;0;;22.8;;
83550;16/01/2018;0000;;32.4;;;
83550;16/01/2018;1200;0;;22.6;;
83550;17/01/2018;0000;;33.5;;;
83550;17/01/2018;1200;0.5;;22.7;;
83550;18/01/2018;0000;;33.5;;;
83550;18/01/2018;1200;0;;22.4;;
83550;19/01/2018;0000;;34;;;
83550;19/01/2018;1200;0;;21.9;;
83550;20/01/2018;0000;;33.7;;;
83550;20/01/2018;1200;0.1;;21.3;;
83550;21/01/2018;0000;;33.7;;;
83550;21/01/2018;1200;0;;21.2;;
83550;22/01/2018;0000;;34;;;
83550;22/01/2018;1200;0;;22.4;;
83550;23/01/2018;0000;;33.7;;;
83550;23/01/2018;1200;0.3;;22.8;;
83550;24/01/2018;0000;;32.8;;;
83550;24/01/2018;1200;0.8;;22.1;;
83550;25/01/2018;0000;;32;;;
83550;25/01/2018;1200;0.6;;22;;
83550;26/01/2018;0000;;33;;;
83550;26/01/2018;1200;0;;22.4;;
83550;27/01/2018;0000;;33.7;;;
83550;27/01/2018;1200;0;;22.3;;
83550;28/01/2018;0000;;34.6;;;
83550;28/01/2018;1200;0;;23.4;;
83550;29/01/2018;0000;;33.1;;;
83550;29/01/2018;1200;0;;23.2;;
83550;30/01/2018;0000;;34.1;;;
83550;30/01/2018;1200;0;;22.8;;
83550;31/01/2018;0000;;33;;;
83550;31/01/2018;1200;7.1;;23.4;;
83550;01/02/2018;0000;;29.5;;;
83550;01/02/2018;1200;13.8;;22.4;;
83550;02/02/2018;0000;;29.5;;;
83550;02/02/2018;1200;27;;22;;
83550;03/02/2018;0000;;31;;;
83550;03/02/2018;1200;42.4;;21.9;;
83550;04/02/2018;0000;;28.8;;;
83550;04/02/2018;1200;34.7;;21.8;;
83550;05/02/2018;0000;;27.8;;;
83550;05/02/2018;1200;8.8;;22.5;;
83550;06/02/2018;0000;;29.8;;;
83550;06/02/2018;1200;1.7;;23.2;;
83550;07/02/2018;0000;;30.7;;;
83550;07/02/2018;1200;3.2;;23;;
83550;08/02/2018;0000;;31.8;;;
83550;08/02/2018;1200;47.7;;21.4;;
83550;09/02/2018;0000;;31;;;
83550;09/02/2018;1200;0.9;;24.5;;
83550;10/02/2018;0000;;30.1;;;
83550;10/02/2018;1200;1;;24.2;;
83550;11/02/2018;0000;;31.1;;;
83550;11/02/2018;1200;0.8;;22.2;;
83550;12/02/2018;0000;;32.2;;;
83550;12/02/2018;1200;0;;22.8;;
83550;13/02/2018;0000;;32.2;;;
83550;13/02/2018;1200;0;;23.7;;
83550;14/02/2018;0000;;32.7;;;
83550;14/02/2018;1200;0;;23.3;;
