--------------------
BDMEP - INMET
--------------------
Estação           : SAO PAULO MIR de SANTANA  - SP (OMM: 83781)
Latitude  (graus) : -23.5
Longitude (graus) : -46.61
Altitude  (metros): 792.06
Estação Operante
Inicio de operação: 01/12/1945
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83781;01/01/2018;0000;;29.2;;2.633333;
83781;01/01/2018;1200;26;;19.3;;
83781;02/01/2018;0000;;28.1;;4.266667;
83781;02/01/2018;1200;0;;21.6;;
83781;03/01/2018;0000;;25.9;;2.433333;
83781;03/01/2018;1200;2.2;;19.8;;
83781;04/01/2018;0000;;28.5;;3.866667;
83781;04/01/2018;1200;12.1;;19.7;;
83781;05/01/2018;0000;;29.4;;3.1;
83781;05/01/2018;1200;0;;17.5;;
83781;06/01/2018;0000;;27.9;;1.533333;
83781;06/01/2018;1200;0;;19.9;;
83781;07/01/2018;0000;;20.3;;2.3;
83781;07/01/2018;1200;5;;16.4;;
83781;08/01/2018;0000;;21.4;;0.166667;
83781;08/01/2018;1200;34.2;;16.4;;
83781;09/01/2018;0000;;25.5;;2.633333;
83781;09/01/2018;1200;9.7;;18.3;;
83781;10/01/2018;0000;;29;;1.433333;
83781;10/01/2018;1200;0.8;;19;;
83781;11/01/2018;0000;;30.2;;2.3;
83781;11/01/2018;1200;18.5;;20;;
83781;12/01/2018;0000;;24.4;;2.3;
83781;12/01/2018;1200;14.8;;19.3;;
83781;13/01/2018;0000;;26.8;;1.25;
83781;13/01/2018;1200;0;;19;;
83781;14/01/2018;0000;;30.4;;0.8;
83781;14/01/2018;1200;0;;19.2;;
83781;15/01/2018;0000;;29.8;;1.95;
83781;15/01/2018;1200;6;;19.8;;
83781;16/01/2018;0000;;29.2;;1.6;
83781;16/01/2018;1200;1;;19.8;;
83781;17/01/2018;0000;;30.8;;1.05;
83781;17/01/2018;1200;5.8;;20.8;;
83781;18/01/2018;0000;;31.6;;2.3;
83781;18/01/2018;1200;0;;22.3;;
83781;19/01/2018;0000;;28.8;;1.65;
83781;19/01/2018;1200;12;;21;;
83781;20/01/2018;0000;;29;;1.9;
83781;20/01/2018;1200;2;;20.2;;
83781;21/01/2018;0000;;30.2;;1.6;
83781;21/01/2018;1200;22;;19.6;;
83781;22/01/2018;0000;;31.8;;2.5;
83781;22/01/2018;1200;8.8;;19.6;;
83781;23/01/2018;0000;;32;;2.45;
83781;23/01/2018;1200;4;;21;;
83781;24/01/2018;0000;;33.7;;1.05;
83781;24/01/2018;1200;4.2;;20.6;;
83781;25/01/2018;0000;;29.7;;3.8;
83781;25/01/2018;1200;0;;20.6;;
83781;26/01/2018;0000;;24.8;;3.55;
83781;26/01/2018;1200;0;;19.8;;
83781;27/01/2018;0000;;25.1;;3.5;
83781;27/01/2018;1200;0.3;;18.5;;
83781;28/01/2018;0000;;31.2;;1.5;
83781;28/01/2018;1200;0;;19.6;;
83781;29/01/2018;0000;;25.8;;1.3;
83781;29/01/2018;1200;3;;21.4;;
83781;30/01/2018;0000;;21.8;;2.75;
83781;30/01/2018;1200;35.1;;18.2;;
83781;31/01/2018;0000;;25.5;;2.5;
83781;31/01/2018;1200;16.8;;17.2;;
83781;01/02/2018;0000;;27.3;;3.533333;
83781;01/02/2018;1200;0;;18.3;;
83781;02/02/2018;0000;;27.8;;3.133333;
83781;02/02/2018;1200;0;;18.6;;
83781;03/02/2018;0000;;25.9;;4.3;
83781;03/02/2018;1200;0;;18.1;;
83781;04/02/2018;0000;;25.7;;3.933333;
83781;04/02/2018;1200;0;;16.7;;
83781;05/02/2018;0000;;25.4;;3.2;
83781;05/02/2018;1200;0;;18.2;;
83781;06/02/2018;0000;;24.4;;1.566667;
83781;06/02/2018;1200;0;;17.7;;
83781;07/02/2018;0000;;29;;2.4;
83781;07/02/2018;1200;0;;18.8;;
83781;08/02/2018;0000;;29.6;;1.2;
83781;08/02/2018;1200;0;;17.3;;
83781;09/02/2018;0000;;32.8;;2.266667;
83781;09/02/2018;1200;1.4;;19.3;;
83781;10/02/2018;0000;;30;;2.033333;
83781;10/02/2018;1200;0;;20.3;;
83781;11/02/2018;0000;;31;;1.2;
83781;11/02/2018;1200;10.2;;20.2;;
83781;12/02/2018;0000;;32;;2.366667;
83781;12/02/2018;1200;0;;22.7;;
83781;13/02/2018;0000;;24.5;;3.633333;
83781;13/02/2018;1200;2;;18.6;;
83781;14/02/2018;0000;;22.2;;3.066667;
83781;14/02/2018;1200;0;;18.2;;
83781;15/02/2018;0000;;24.1;;2.833333;
83781;15/02/2018;1200;1.3;;17.8;;
83781;16/02/2018;0000;;24.5;;4.033333;
83781;16/02/2018;1200;0.2;;17.1;;
83781;17/02/2018;0000;;27;;3.166667;
83781;17/02/2018;1200;0;;17.9;;
83781;18/02/2018;0000;;23.8;;0.466667;
83781;18/02/2018;1200;0;;19.8;;
83781;19/02/2018;0000;;26.8;;0.8;
83781;19/02/2018;1200;0;;18.6;;
83781;20/02/2018;0000;;27.7;;2.5;
83781;20/02/2018;1200;0;;21.2;;
83781;21/02/2018;0000;;29.7;;3.3;
83781;21/02/2018;1200;5;;21.5;;
83781;22/02/2018;0000;;30.2;;1.15;
83781;22/02/2018;1200;0;;20.4;;
83781;23/02/2018;0000;;27.3;;2.1;
83781;23/02/2018;1200;9;;19.3;;
83781;24/02/2018;0000;;27.5;;2.5;
83781;24/02/2018;1200;0;;17.8;;
83781;25/02/2018;0000;;26.8;;3.3;
83781;25/02/2018;1200;0;;17.6;;
83781;26/02/2018;0000;;27.2;;1.6;
83781;26/02/2018;1200;0;;19.6;;
83781;27/02/2018;0000;;28.5;;2.5;
83781;27/02/2018;1200;73.1;;19;;
83781;28/02/2018;0000;;30.3;;1.25;
83781;28/02/2018;1200;0;;19.5;;
83781;01/03/2018;0000;;30.6;;2.8;
83781;01/03/2018;1200;0;;20.9;;
83781;02/03/2018;0000;;31.4;;2.466667;
83781;02/03/2018;1200;0.5;;21.3;;
83781;03/03/2018;0000;;29.5;;2.466667;
83781;03/03/2018;1200;4.2;;20;;
83781;04/03/2018;0000;;31.3;;2.266667;
83781;04/03/2018;1200;0;;21;;
83781;05/03/2018;0000;;31.2;;1.266667;
83781;05/03/2018;1200;6.4;;20.4;;
83781;06/03/2018;0000;;29.8;;2.433333;
83781;06/03/2018;1200;22.1;;20.7;;
83781;07/03/2018;0000;;30;;2.166667;
83781;07/03/2018;1200;2.2;;21.3;;
83781;08/03/2018;0000;;23.8;;2.766667;
83781;08/03/2018;1200;0;;20.2;;
83781;09/03/2018;0000;;26.8;;2.5;
83781;09/03/2018;1200;0.4;;19.2;;
83781;10/03/2018;0000;;27.5;;1.933333;
83781;10/03/2018;1200;0;;20.1;;
83781;11/03/2018;0000;;31;;1.366667;
83781;11/03/2018;1200;0.4;;19.3;;
83781;12/03/2018;0000;;31.2;;1.8;
83781;12/03/2018;1200;0;;20.4;;
83781;13/03/2018;0000;;29.3;;1.933333;
83781;13/03/2018;1200;42.8;;20.3;;
83781;14/03/2018;0000;;33.6;;2.266667;
83781;14/03/2018;1200;0;;21.6;;
83781;15/03/2018;0000;;31;;2.466667;
83781;15/03/2018;1200;32.8;;19.9;;
83781;16/03/2018;0000;;30.5;;2.466667;
83781;16/03/2018;1200;0;;22.4;;
83781;17/03/2018;0000;;29.6;;1.9;
83781;17/03/2018;1200;0;;21.2;;
83781;18/03/2018;0000;;32;;1.6;
83781;18/03/2018;1200;0;;19.7;;
83781;19/03/2018;0000;;31.9;;1.366667;
83781;19/03/2018;1200;0;;21.4;;
83781;20/03/2018;0000;;31;;0.533333;
83781;20/03/2018;1200;0;;19.5;;
83781;21/03/2018;0000;;27;;1.833333;
83781;21/03/2018;1200;50.1;;19.5;;
83781;22/03/2018;0000;;26.4;;2.9;
83781;22/03/2018;1200;5.4;;19.8;;
83781;23/03/2018;0000;;30;;2.366667;
83781;23/03/2018;1200;0;;20.2;;
83781;24/03/2018;0000;;30.3;;2.033333;
83781;24/03/2018;1200;0;;20.1;;
83781;25/03/2018;0000;;30.2;;1.666667;
83781;25/03/2018;1200;0;;20.6;;
83781;26/03/2018;0000;;28.2;;2.633333;
83781;26/03/2018;1200;0;;21.6;;
83781;27/03/2018;0000;;28.6;;1.733333;
83781;27/03/2018;1200;13.6;;18.3;;
83781;28/03/2018;0000;;28.2;;1.933333;
83781;28/03/2018;1200;8.7;;19.1;;
83781;29/03/2018;0000;;28.5;;2.2;
83781;29/03/2018;1200;22.4;;19.6;;
83781;30/03/2018;0000;;27.8;;1.666667;
83781;30/03/2018;1200;1.5;;19.6;;
83781;31/03/2018;0000;;28.3;;1.333333;
83781;31/03/2018;1200;7;;19.3;;
83781;01/04/2018;0000;;28.5;;2.066667;
83781;01/04/2018;1200;8;;19.3;;
