--------------------
BDMEP - INMET
--------------------
Estação           : SAO SIMAO - SP (OMM: 83669)
Latitude  (graus) : -21.48
Longitude (graus) : -47.55
Altitude  (metros): 617.39
Estação Operante
Inicio de operação: 01/01/1920
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83669;01/01/2018;0000;;30.9;;1;
83669;01/01/2018;1200;5.4;;17.4;;
83669;02/01/2018;0000;;29.1;;0.666667;
83669;02/01/2018;1200;23;;18;;
83669;03/01/2018;0000;;25.5;;0.666667;
83669;03/01/2018;1200;30.2;;18;;
83669;04/01/2018;0000;;31.8;;1;
83669;04/01/2018;1200;6.2;;18.8;;
83669;05/01/2018;0000;;31.5;;0;
83669;05/01/2018;1200;0;;19.1;;
83669;06/01/2018;0000;;27.3;;0;
83669;06/01/2018;1200;12.8;;19.7;;
83669;07/01/2018;0000;;26.9;;0.333333;
83669;07/01/2018;1200;9.8;;17;;
83669;08/01/2018;0000;;25.3;;0.666667;
83669;08/01/2018;1200;23.8;;16.3;;
83669;09/01/2018;0000;;30.1;;0.666667;
83669;09/01/2018;1200;5.8;;17.2;;
83669;10/01/2018;0000;;33.3;;1;
83669;10/01/2018;1200;0;;17.6;;
83669;11/01/2018;0000;;31.8;;0.666667;
83669;11/01/2018;1200;0;;18;;
83669;12/01/2018;0000;;27.6;;0.333333;
83669;12/01/2018;1200;6.8;;16.6;;
83669;13/01/2018;0000;;32.1;;0.666667;
83669;13/01/2018;1200;0.6;;15.9;;
83669;14/01/2018;0000;;31.9;;0.333333;
83669;14/01/2018;1200;14.2;;16.2;;
83669;15/01/2018;0000;;30.8;;0.666667;
83669;15/01/2018;1200;48.3;;17;;
83669;16/01/2018;0000;;31.3;;0.666667;
83669;16/01/2018;1200;0;;18.4;;
83669;17/01/2018;0000;;33.9;;0;
83669;17/01/2018;1200;0;;18.7;;
83669;18/01/2018;0000;;34.3;;0.666667;
83669;18/01/2018;1200;12;;18;;
83669;19/01/2018;0000;;34.7;;1;
83669;19/01/2018;1200;0;;19;;
83669;20/01/2018;0000;;35.1;;1;
83669;20/01/2018;1200;0;;18.8;;
83669;21/01/2018;0000;;34.6;;0.666667;
83669;21/01/2018;1200;0;;18.6;;
83669;22/01/2018;0000;;34.5;;0.333333;
83669;22/01/2018;1200;0;;18.5;;
83669;23/01/2018;0000;;35.3;;1;
83669;23/01/2018;1200;0;;19.8;;
83669;24/01/2018;0000;;32.5;;0.666667;
83669;24/01/2018;1200;2;;18.3;;
83669;25/01/2018;0000;;34.9;;0.666667;
83669;25/01/2018;1200;0;;20.1;;
83669;26/01/2018;0000;;33.3;;1;
83669;26/01/2018;1200;0;;19.6;;
83669;27/01/2018;0000;;32.9;;0.666667;
83669;27/01/2018;1200;5;;18.8;;
83669;28/01/2018;0000;;32.7;;0.333333;
83669;28/01/2018;1200;0;;18.8;;
83669;29/01/2018;0000;;29.1;;0.333333;
83669;29/01/2018;1200;23.3;;18.8;;
83669;30/01/2018;0000;;27.5;;0.333333;
83669;30/01/2018;1200;0.2;;19.4;;
83669;31/01/2018;0000;;30;;0.333333;
83669;31/01/2018;1200;27;;15.7;;
83669;01/02/2018;0000;;32.3;;0.666667;
83669;01/02/2018;1200;0;;15.8;;
83669;02/02/2018;0000;;32.5;;1.666667;
83669;02/02/2018;1200;0;;17.6;;
83669;03/02/2018;0000;;32.9;;1.666667;
83669;03/02/2018;1200;0;;17.9;;
83669;04/02/2018;0000;;30.5;;0.666667;
83669;04/02/2018;1200;4.4;;16.5;;
83669;05/02/2018;0000;;27.1;;1.333333;
83669;05/02/2018;1200;3.2;;16.7;;
83669;06/02/2018;0000;;29.4;;0;
83669;06/02/2018;1200;0;;17;;
83669;07/02/2018;0000;;32.1;;1;
83669;07/02/2018;1200;0;;15;;
83669;08/02/2018;0000;;32.1;;0;
83669;08/02/2018;1200;0;;13.7;;
83669;09/02/2018;0000;;35.1;;0.666667;
83669;09/02/2018;1200;0;;16.3;;
83669;10/02/2018;0000;;30.1;;1;
83669;10/02/2018;1200;0;;18.7;;
83669;11/02/2018;0000;;32.3;;0.666667;
83669;11/02/2018;1200;0;;18.5;;
83669;12/02/2018;0000;;33.3;;0;
83669;12/02/2018;1200;29;;16.5;;
83669;13/02/2018;0000;;32.9;;0.666667;
83669;13/02/2018;1200;0;;19.2;;
83669;14/02/2018;0000;;26.3;;1.666667;
83669;14/02/2018;1200;29.2;;17.8;;
83669;15/02/2018;0000;;30.3;;1.333333;
83669;15/02/2018;1200;0;;17.6;;
83669;16/02/2018;0000;;32.5;;1.666667;
83669;16/02/2018;1200;0;;16.9;;
83669;17/02/2018;0000;;32.1;;1;
83669;17/02/2018;1200;20;;16.3;;
83669;18/02/2018;0000;;30.9;;0.666667;
83669;18/02/2018;1200;0;;17.3;;
83669;19/02/2018;0000;;30.1;;0.666667;
83669;19/02/2018;1200;3.4;;16.7;;
83669;20/02/2018;0000;;30.1;;0.666667;
83669;20/02/2018;1200;4.2;;18.3;;
83669;21/02/2018;0000;;30.9;;0.333333;
83669;21/02/2018;1200;6.6;;19;;
83669;22/02/2018;0000;;32.3;;0.666667;
83669;22/02/2018;1200;0;;16.8;;
83669;23/02/2018;0000;;32.5;;1;
83669;23/02/2018;1200;0;;17.7;;
83669;24/02/2018;0000;;31.3;;0.666667;
83669;24/02/2018;1200;0;;19;;
83669;25/02/2018;0000;;32.1;;0.333333;
83669;25/02/2018;1200;0;;19.2;;
83669;26/02/2018;0000;;26.9;;0.333333;
83669;26/02/2018;1200;0;;17.7;;
83669;27/02/2018;0000;;30.1;;0.333333;
83669;27/02/2018;1200;27.2;;17.7;;
83669;28/02/2018;0000;;33.2;;0.333333;
83669;28/02/2018;1200;6;;17.2;;
