--------------------
BDMEP - INMET
--------------------
Estação           : SOROCABA - SP (OMM: 83851)
Latitude  (graus) : -23.48
Longitude (graus) : -47.43
Altitude  (metros): 645.00
Estação Operante
Inicio de operação: 01/01/1928
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83851;03/01/2018;0000;;29.1;;0;
83851;03/01/2018;1200;;;21.2;;
83851;04/01/2018;0000;;31.7;;1;
83851;04/01/2018;1200;3.6;;18;;
83851;05/01/2018;0000;;32.6;;0;
83851;05/01/2018;1200;0;;18.3;;
83851;06/01/2018;0000;;30.7;;0.5;
83851;06/01/2018;1200;0;;20.9;;
83851;07/01/2018;0000;;27.1;;0.5;
83851;07/01/2018;1200;1.8;;19.7;;
83851;08/01/2018;0000;;25.8;;0;
83851;08/01/2018;1200;1.1;;19.7;;
83851;09/01/2018;0000;;26.1;;0.5;
83851;09/01/2018;1200;22.8;;19.6;;
83851;10/01/2018;0000;;32.8;;1;
83851;10/01/2018;1200;0;;20.1;;
83851;11/01/2018;0000;;31.5;;0.5;
83851;11/01/2018;1200;0;;19.9;;
83851;12/01/2018;0000;;26.9;;0.5;
83851;12/01/2018;1200;0;;19.7;;
83851;13/01/2018;0000;;27.1;;0.5;
83851;13/01/2018;1200;16.2;;18.8;;
83851;14/01/2018;0000;;30.7;;0.5;
83851;14/01/2018;1200;0;;19.5;;
83851;15/01/2018;0000;;30.9;;0.5;
83851;15/01/2018;1200;2.8;;20.3;;
83851;16/01/2018;0000;;30.7;;0;
83851;16/01/2018;1200;0;;21.2;;
83851;17/01/2018;0000;;33.8;;0.5;
83851;17/01/2018;1200;0.6;;21.4;;
83851;18/01/2018;0000;;31.6;;1;
83851;18/01/2018;1200;0.2;;21.9;;
83851;19/01/2018;0000;;30.9;;1;
83851;19/01/2018;1200;2.6;;21;;
83851;20/01/2018;0000;;33;;0.5;
83851;20/01/2018;1200;1.2;;21;;
83851;21/01/2018;0000;;32.8;;0.5;
83851;21/01/2018;1200;16.3;;20.5;;
83851;22/01/2018;0000;;34.6;;1;
83851;22/01/2018;1200;2;;20.3;;
83851;23/01/2018;0000;;35.2;;1.5;
83851;23/01/2018;1200;0;;21.2;;
83851;24/01/2018;0000;;34.4;;0.5;
83851;24/01/2018;1200;49;;20.6;;
83851;25/01/2018;0000;;31.3;;1;
83851;25/01/2018;1200;15.8;;20.8;;
83851;26/01/2018;0000;;29.3;;1.5;
83851;26/01/2018;1200;0;;22.5;;
83851;27/01/2018;0000;;28.7;;1.5;
83851;27/01/2018;1200;0;;19.9;;
83851;28/01/2018;0000;;33.8;;1;
83851;28/01/2018;1200;0;;21;;
83851;29/01/2018;0000;;31.5;;1;
83851;29/01/2018;1200;8.9;;21;;
83851;30/01/2018;0000;;25.3;;1;
83851;30/01/2018;1200;14;;19.3;;
83851;31/01/2018;0000;;29.4;;1;
83851;31/01/2018;1200;11.6;;16.6;;
83851;01/02/2018;0000;;30.7;;1;
83851;01/02/2018;1200;0.7;;17.2;;
83851;02/02/2018;0000;;30.9;;1;
83851;02/02/2018;1200;0;;18.8;;
83851;03/02/2018;0000;;29.5;;1;
83851;03/02/2018;1200;0;;18.7;;
83851;04/02/2018;0000;;28.9;;1;
83851;04/02/2018;1200;0;;17.7;;
83851;05/02/2018;0000;;29.9;;1.5;
83851;05/02/2018;1200;0;;17.9;;
83851;06/02/2018;0000;;29.3;;0.5;
83851;06/02/2018;1200;0;;18.7;;
83851;07/02/2018;0000;;31.1;;0;
83851;07/02/2018;1200;0;;16.7;;
83851;08/02/2018;0000;;33.6;;1;
83851;08/02/2018;1200;0;;17.7;;
83851;09/02/2018;0000;;35.2;;1;
83851;09/02/2018;1200;0;;19.9;;
83851;10/02/2018;0000;;30.9;;1;
83851;10/02/2018;1200;0;;22.9;;
83851;11/02/2018;0000;;32.8;;0.5;
83851;11/02/2018;1200;0;;22.4;;
83851;12/02/2018;0000;;32.8;;0.5;
83851;12/02/2018;1200;1.4;;20.3;;
83851;13/02/2018;0000;;25.7;;1;
83851;13/02/2018;1200;0;;21;;
83851;14/02/2018;0000;;26.1;;1.5;
83851;14/02/2018;1200;0.4;;19.8;;
83851;15/02/2018;0000;;27.3;;1;
83851;15/02/2018;1200;1.7;;18.8;;
83851;16/02/2018;0000;;29.9;;1.5;
83851;16/02/2018;1200;0;;17.7;;
83851;17/02/2018;0000;;31.7;;1;
83851;17/02/2018;1200;0;;16.7;;
83851;18/02/2018;0000;;26.3;;0;
83851;18/02/2018;1200;3;;19.8;;
83851;19/02/2018;0000;;28.3;;0.5;
83851;19/02/2018;1200;0;;19.1;;
83851;20/02/2018;0000;;30.3;;0.5;
83851;20/02/2018;1200;0.3;;20.9;;
83851;21/02/2018;0000;;31.3;;0.5;
83851;21/02/2018;1200;0.6;;21.5;;
83851;22/02/2018;0000;;32.4;;0.5;
83851;22/02/2018;1200;0;;20.3;;
83851;23/02/2018;0000;;30.7;;1;
83851;23/02/2018;1200;1;;19.9;;
83851;24/02/2018;0000;;30.1;;1.5;
83851;24/02/2018;1200;0;;17.4;;
83851;25/02/2018;0000;;30.9;;1;
83851;25/02/2018;1200;0;;17.7;;
83851;26/02/2018;0000;;29.9;;0.5;
83851;26/02/2018;1200;0;;18.2;;
83851;27/02/2018;0000;;29.7;;0.5;
83851;27/02/2018;1200;0.2;;20.9;;
83851;28/02/2018;0000;;33.6;;0.5;
83851;28/02/2018;1200;0;;18.9;;
83851;01/03/2018;0000;;32.6;;0.5;
83851;01/03/2018;1200;0.5;;19.8;;
83851;02/03/2018;0000;;32.8;;0;
83851;02/03/2018;1200;1.6;;20.8;;
83851;03/03/2018;0000;;31.5;;0;
83851;03/03/2018;1200;22;;20.9;;
83851;04/03/2018;0000;;33;;0;
83851;04/03/2018;1200;0;;21.5;;
83851;05/03/2018;0000;;33.4;;0.5;
83851;05/03/2018;1200;1.5;;20.2;;
83851;06/03/2018;0000;;33.2;;0;
83851;06/03/2018;1200;0;;20.8;;
83851;07/03/2018;0000;;30.9;;0.5;
83851;07/03/2018;1200;4.2;;21;;
83851;08/03/2018;0000;;28.5;;1;
83851;08/03/2018;1200;13.7;;21;;
83851;09/03/2018;0000;;31.7;;1;
83851;09/03/2018;1200;0;;19.8;;
83851;10/03/2018;0000;;32.6;;0.5;
83851;10/03/2018;1200;0;;19.3;;
83851;11/03/2018;0000;;33.8;;0;
83851;11/03/2018;1200;0;;18.7;;
83851;12/03/2018;0000;;33.2;;0.5;
83851;12/03/2018;1200;0;;20.8;;
83851;13/03/2018;0000;;34;;0.5;
83851;13/03/2018;1200;0;;22;;
83851;14/03/2018;0000;;35.8;;1.5;
83851;14/03/2018;1200;0;;22.4;;
83851;15/03/2018;0000;;32.8;;0.5;
83851;15/03/2018;1200;16;;19.9;;
83851;16/03/2018;0000;;33.8;;1;
83851;16/03/2018;1200;;;21.6;;
83851;17/03/2018;0000;;32.4;;1;
83851;17/03/2018;1200;0;;21.4;;
83851;18/03/2018;0000;;34.4;;0;
83851;18/03/2018;1200;0;;19.7;;
83851;19/03/2018;0000;;33.8;;0.5;
83851;19/03/2018;1200;0;;19.4;;
83851;20/03/2018;0000;;34.4;;0.5;
83851;20/03/2018;1200;0;;19.7;;
83851;21/03/2018;0000;;29.9;;0.5;
83851;21/03/2018;1200;124.6;;19.3;;
83851;22/03/2018;0000;;30.5;;1;
83851;22/03/2018;1200;0.4;;19.9;;
83851;23/03/2018;0000;;32.6;;0.5;
83851;23/03/2018;1200;0;;20.2;;
83851;24/03/2018;0000;;;;0.5;
83851;24/03/2018;1200;0;;20.3;;
83851;25/03/2018;0000;;;;0.5;
83851;25/03/2018;1200;0;;20.3;;
83851;26/03/2018;0000;;;;0;
83851;26/03/2018;1200;1.5;;21.4;;
83851;27/03/2018;0000;;;;0;
83851;27/03/2018;1200;0.2;;19.9;;
83851;28/03/2018;0000;;;;0;
83851;28/03/2018;1200;1.2;;20.1;;
83851;29/03/2018;0000;;;;0.5;
83851;29/03/2018;1200;4.4;;19.6;;
83851;30/03/2018;0000;;;;0;
83851;30/03/2018;1200;10.8;;20.8;;
83851;31/03/2018;0000;;;;0.5;
83851;31/03/2018;1200;0.5;;20.1;;
83851;01/04/2018;0000;;;;0.5;
83851;01/04/2018;1200;13.1;;20.3;;
83851;02/04/2018;0000;;;;0.5;
83851;02/04/2018;1200;3;;19.8;;
83851;03/04/2018;0000;;;;0;
83851;03/04/2018;1200;0;;19.9;;
83851;04/04/2018;0000;;;;0.5;
83851;04/04/2018;1200;27.4;;17.2;;
83851;05/04/2018;0000;;30.3;;1;
83851;05/04/2018;1200;0;;17.2;;
83851;06/04/2018;0000;;31.1;;1;
83851;06/04/2018;1200;0;;17.8;;
83851;07/04/2018;0000;;31.5;;0.5;
83851;07/04/2018;1200;0;;17.8;;
83851;08/04/2018;0000;;30.9;;1;
83851;08/04/2018;1200;0;;18.3;;
83851;09/04/2018;0000;;31.5;;1;
83851;09/04/2018;1200;0;;18.4;;
83851;10/04/2018;0000;;30.5;;0;
83851;10/04/2018;1200;0;;18.1;;
83851;11/04/2018;0000;;30.9;;0;
83851;11/04/2018;1200;0;;17.2;;
83851;12/04/2018;0000;;30.7;;0.5;
83851;12/04/2018;1200;0;;17.9;;
83851;13/04/2018;0000;;32.4;;0;
83851;13/04/2018;1200;0;;19.3;;
83851;14/04/2018;0000;;28.5;;1;
83851;14/04/2018;1200;0;;20.3;;
83851;02/05/2018;0000;;29.2;;1;
83851;02/05/2018;1200;0;;18.3;;
83851;03/05/2018;0000;;30.2;;0.5;
83851;03/05/2018;1200;0;;17.7;;
83851;04/05/2018;0000;;31.2;;0;
83851;04/05/2018;1200;0;;17.2;;
83851;05/05/2018;0000;;31.4;;0;
83851;05/05/2018;1200;0;;18.7;;
83851;06/05/2018;0000;;28.4;;0.5;
83851;06/05/2018;1200;0;;17.7;;
83851;07/05/2018;0000;;27.2;;0.5;
83851;07/05/2018;1200;0;;17.9;;
83851;08/05/2018;0000;;27.2;;1;
83851;08/05/2018;1200;0;;16.1;;
83851;09/05/2018;0000;;28.2;;0.5;
83851;09/05/2018;1200;0;;16.2;;
83851;10/05/2018;0000;;28.4;;0.5;
83851;10/05/2018;1200;0;;15.2;;
83851;11/05/2018;0000;;28.4;;0;
83851;11/05/2018;1200;0;;15.2;;
83851;12/05/2018;0000;;26;;1;
83851;12/05/2018;1200;0;;17.7;;
83851;13/05/2018;0000;;27.6;;1;
83851;13/05/2018;1200;0;;15.7;;
83851;14/05/2018;0000;;28.6;;1;
83851;14/05/2018;1200;0;;15.8;;
