--------------------
BDMEP - INMET
--------------------
Estação           : UBERABA - MG (OMM: 83577)
Latitude  (graus) : -19.73
Longitude (graus) : -47.95
Altitude  (metros): 737.00
Estação Operante
Inicio de operação: 11/10/1913
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83577;01/01/2018;0000;;31.5;;1.333333;
83577;01/01/2018;1200;39.8;;19;;
83577;02/01/2018;0000;;30.7;;0.666667;
83577;02/01/2018;1200;39.4;;20.4;;
83577;03/01/2018;0000;;28.5;;0;
83577;03/01/2018;1200;53.2;;19.6;;
83577;04/01/2018;0000;;29.3;;1;
83577;04/01/2018;1200;29.6;;19.8;;
83577;05/01/2018;0000;;27.5;;0;
83577;05/01/2018;1200;0;;21;;
83577;06/01/2018;0000;;24.5;;0.666667;
83577;06/01/2018;1200;49.4;;20;;
83577;07/01/2018;1200;5;;;;
83577;08/01/2018;0000;;26.5;;0.666667;
83577;08/01/2018;1200;20;;19.4;;
83577;09/01/2018;0000;;26.5;;0.666667;
83577;09/01/2018;1200;51.6;;19.8;;
83577;10/01/2018;0000;;30.9;;1.666667;
83577;10/01/2018;1200;0;;18;;
83577;11/01/2018;0000;;30.5;;2.333333;
83577;11/01/2018;1200;0;;17.8;;
83577;12/01/2018;0000;;29.3;;0.666667;
83577;12/01/2018;1200;32;;19.2;;
83577;13/01/2018;0000;;30.1;;0;
83577;13/01/2018;1200;1.7;;18.6;;
83577;14/01/2018;1200;5;;;;
83577;15/01/2018;0000;;31.7;;1.333333;
83577;15/01/2018;1200;0;;18;;
83577;16/01/2018;0000;;29.5;;0;
83577;16/01/2018;1200;21.6;;19.6;;
83577;17/01/2018;0000;;33.1;;1.333333;
83577;17/01/2018;1200;5.8;;20.6;;
83577;18/01/2018;0000;;32.5;;1.333333;
83577;18/01/2018;1200;0;;19.6;;
83577;19/01/2018;0000;;33.7;;1.333333;
83577;19/01/2018;1200;0;;18.6;;
83577;20/01/2018;0000;;33.7;;0.666667;
83577;20/01/2018;1200;0;;18.8;;
83577;21/01/2018;1200;0;;;;
83577;22/01/2018;0000;;34.5;;0.666667;
83577;22/01/2018;1200;0;;19;;
83577;23/01/2018;0000;;35.5;;2.333333;
83577;23/01/2018;1200;0;;20.2;;
83577;24/01/2018;0000;;32.9;;2.666667;
83577;24/01/2018;1200;0;;21;;
83577;25/01/2018;0000;;31.3;;0.666667;
83577;25/01/2018;1200;1;;21.4;;
83577;26/01/2018;0000;;30.9;;1.333333;
83577;26/01/2018;1200;9;;20.6;;
83577;27/01/2018;0000;;32.9;;1.666667;
83577;27/01/2018;1200;20.6;;19.2;;
83577;28/01/2018;1200;2.2;;;;
83577;29/01/2018;0000;;30.9;;0.666667;
83577;29/01/2018;1200;19;;21.4;;
83577;30/01/2018;0000;;27.3;;0;
83577;30/01/2018;1200;19.4;;19.8;;
83577;31/01/2018;0000;;30.9;;1.02888;
83577;31/01/2018;1200;14.2;;21.2;;
83577;01/02/2018;0000;;32.5;;0.666667;
83577;01/02/2018;1200;20.4;;20.2;;
83577;02/02/2018;0000;;30.7;;1;
83577;02/02/2018;1200;10.1;;21.2;;
83577;03/02/2018;0000;;31.9;;1;
83577;03/02/2018;1200;0;;21.2;;
83577;05/02/2018;0000;;27.7;;0.666667;
83577;05/02/2018;1200;73;;19;;
83577;06/02/2018;0000;;27.5;;0;
