--------------------
BDMEP - INMET
--------------------
Estação           : UNAI - MG (OMM: 83428)
Latitude  (graus) : -16.36
Longitude (graus) : -46.88
Altitude  (metros): 460.00
Estação Operante
Inicio de operação: 07/04/1976
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83428;01/01/2018;0000;;30.6;;1.333333;
83428;01/01/2018;1200;0.2;;22.8;;
83428;02/01/2018;0000;;32.2;;1;
83428;02/01/2018;1200;3.7;;22.2;;
83428;03/01/2018;0000;;32.6;;1.333333;
83428;03/01/2018;1200;17.5;;22.2;;
83428;04/01/2018;0000;;31.8;;3;
83428;04/01/2018;1200;7;;21.8;;
83428;05/01/2018;0000;;25.6;;1.333333;
83428;05/01/2018;1200;5.2;;21.6;;
83428;06/01/2018;0000;;31.6;;2;
83428;06/01/2018;1200;1.5;;20.6;;
83428;07/01/2018;0000;;29.6;;1;
83428;07/01/2018;1200;52;;21.8;;
83428;08/01/2018;0000;;31.4;;1.666667;
83428;08/01/2018;1200;4.4;;22;;
83428;09/01/2018;0000;;32.6;;1.333333;
83428;09/01/2018;1200;1.8;;20.6;;
83428;10/01/2018;0000;;32.6;;2.333333;
83428;10/01/2018;1200;0;;21.2;;
83428;11/01/2018;0000;;32;;2;
83428;11/01/2018;1200;0;;21.4;;
83428;12/01/2018;0000;;33.2;;1.666667;
83428;12/01/2018;1200;0;;19.8;;
83428;13/01/2018;0000;;33.6;;1.666667;
83428;13/01/2018;1200;0;;20.4;;
83428;14/01/2018;0000;;32.2;;1;
83428;14/01/2018;1200;1.2;;21.2;;
83428;15/01/2018;0000;;32.4;;2.333333;
83428;15/01/2018;1200;0;;21.6;;
83428;16/01/2018;0000;;33.8;;1.666667;
83428;16/01/2018;1200;4.4;;21;;
83428;17/01/2018;0000;;34;;1.666667;
83428;17/01/2018;1200;0;;21.4;;
83428;18/01/2018;0000;;34.2;;3;
83428;18/01/2018;1200;0;;23.2;;
83428;19/01/2018;0000;;35.4;;2;
83428;19/01/2018;1200;0;;20.6;;
83428;20/01/2018;0000;;36;;2;
83428;20/01/2018;1200;0;;20.2;;
83428;21/01/2018;0000;;36.8;;2;
83428;21/01/2018;1200;0;;20.4;;
83428;22/01/2018;0000;;36.4;;1.333333;
83428;22/01/2018;1200;0;;22;;
83428;23/01/2018;0000;;36;;1.666667;
83428;23/01/2018;1200;0;;19.8;;
83428;24/01/2018;0000;;33.8;;2;
83428;24/01/2018;1200;0;;23.6;;
83428;25/01/2018;0000;;33.4;;1.666667;
83428;25/01/2018;1200;0;;23.4;;
83428;26/01/2018;0000;;31.8;;3;
83428;26/01/2018;1200;0;;22.6;;
83428;27/01/2018;0000;;34.8;;2.333333;
83428;27/01/2018;1200;0;;21.2;;
83428;28/01/2018;0000;;33.2;;2.333333;
83428;28/01/2018;1200;5.2;;22.2;;
83428;29/01/2018;0000;;32.4;;1;
83428;29/01/2018;1200;0;;22.6;;
83428;30/01/2018;0000;;33.6;;3;
83428;30/01/2018;1200;11.2;;21.8;;
83428;31/01/2018;0000;;34.9;;1.009627;
83428;31/01/2018;1200;13.2;;22.2;;
83428;01/02/2018;0000;;31.2;;2.666667;
83428;01/02/2018;1200;46.5;;21.8;;
83428;02/02/2018;0000;;33.2;;2;
83428;02/02/2018;1200;0;;22;;
83428;03/02/2018;0000;;31;;1;
83428;03/02/2018;1200;27.6;;21.8;;
83428;04/02/2018;0000;;22.6;;1;
83428;04/02/2018;1200;21.1;;19.4;;
83428;05/02/2018;0000;;29.4;;2.666667;
83428;05/02/2018;1200;1.5;;20.2;;
83428;06/02/2018;0000;;32.4;;1;
83428;06/02/2018;1200;0;;20.6;;
83428;07/02/2018;0000;;31;;2.333333;
83428;07/02/2018;1200;8.1;;20.6;;
83428;08/02/2018;0000;;33.6;;1;
83428;08/02/2018;1200;0;;21.6;;
83428;09/02/2018;0000;;31.5;;1.68592;
83428;09/02/2018;1200;0;;22.6;;
83428;10/02/2018;0000;;32.2;;1;
83428;10/02/2018;1200;16.8;;21.2;;
83428;11/02/2018;0000;;31.4;;1.333333;
83428;11/02/2018;1200;0;;21.8;;
83428;12/02/2018;0000;;33.4;;1;
83428;12/02/2018;1200;0;;21.4;;
83428;13/02/2018;0000;;33.8;;1.333333;
83428;13/02/2018;1200;0;;20;;
83428;14/02/2018;0000;;33.4;;1.333333;
83428;14/02/2018;1200;0;;21.4;;
83428;15/02/2018;0000;;31.8;;3;
83428;15/02/2018;1200;0;;19.8;;
83428;16/02/2018;0000;;33.4;;1;
83428;16/02/2018;1200;0;;21.4;;
83428;17/02/2018;0000;;32.6;;1.333333;
83428;17/02/2018;1200;5.4;;20.8;;
83428;18/02/2018;0000;;32.8;;1;
83428;18/02/2018;1200;0;;22.6;;
83428;19/02/2018;0000;;29.4;;1.666667;
83428;19/02/2018;1200;10;;22;;
83428;20/02/2018;0000;;31.6;;1;
83428;20/02/2018;1200;0.5;;22;;
83428;21/02/2018;0000;;31.6;;1.666667;
83428;21/02/2018;1200;0.7;;22.6;;
83428;22/02/2018;0000;;29.8;;1;
83428;22/02/2018;1200;17;;21.2;;
83428;23/02/2018;0000;;32.2;;0.666667;
83428;23/02/2018;1200;14.2;;20;;
83428;24/02/2018;0000;;31.2;;2.333333;
83428;24/02/2018;1200;9.6;;20.4;;
83428;25/02/2018;0000;;32.6;;2;
83428;25/02/2018;1200;0.2;;20.6;;
83428;26/02/2018;0000;;29.8;;1;
83428;26/02/2018;1200;0;;21.6;;
83428;27/02/2018;0000;;34;;1;
83428;27/02/2018;1200;0;;20.8;;
83428;28/02/2018;0000;;35;;1;
83428;28/02/2018;1200;0;;22.2;;
83428;01/03/2018;0000;;35;;1.666667;
83428;01/03/2018;1200;0;;21.6;;
83428;02/03/2018;0000;;33.8;;1;
83428;02/03/2018;1200;0;;23.2;;
83428;03/03/2018;0000;;34.8;;1;
83428;03/03/2018;1200;0;;22.2;;
83428;04/03/2018;0000;;36.2;;1;
83428;04/03/2018;1200;0;;22.4;;
83428;05/03/2018;0000;;32.8;;3;
83428;05/03/2018;1200;2.1;;21.8;;
83428;06/03/2018;0000;;35;;1;
83428;06/03/2018;1200;0;;23;;
83428;07/03/2018;0000;;34.2;;2;
83428;07/03/2018;1200;0;;22.6;;
83428;08/03/2018;0000;;31.8;;1.333333;
83428;08/03/2018;1200;5.1;;22.2;;
83428;09/03/2018;0000;;31.6;;2.333333;
83428;09/03/2018;1200;4.3;;22.4;;
83428;10/03/2018;0000;;31.2;;2.333333;
83428;10/03/2018;1200;16.4;;22.2;;
83428;11/03/2018;0000;;30.4;;2;
83428;11/03/2018;1200;9.2;;22.2;;
83428;12/03/2018;0000;;31.2;;1;
83428;12/03/2018;1200;0;;22.2;;
83428;13/03/2018;0000;;33.8;;2.333333;
83428;13/03/2018;1200;0;;22;;
83428;14/03/2018;0000;;33.8;;1;
83428;14/03/2018;1200;0;;22.4;;
83428;15/03/2018;0000;;33.4;;1;
83428;15/03/2018;1200;1.3;;22;;
83428;16/03/2018;0000;;33.6;;1;
83428;16/03/2018;1200;0;;20.8;;
83428;17/03/2018;0000;;33;;1;
83428;17/03/2018;1200;1.1;;21;;
83428;18/03/2018;0000;;31.4;;1;
83428;18/03/2018;1200;13.4;;21.6;;
83428;19/03/2018;0000;;33.2;;1;
83428;19/03/2018;1200;0.9;;22.4;;
83428;20/03/2018;0000;;34.6;;1;
83428;20/03/2018;1200;2.4;;21.8;;
83428;21/03/2018;0000;;34.4;;1.333333;
83428;21/03/2018;1200;0;;22.2;;
83428;22/03/2018;0000;;33.2;;2;
83428;22/03/2018;1200;0;;21;;
83428;23/03/2018;0000;;32;;2.333333;
83428;23/03/2018;1200;0;;22;;
83428;24/03/2018;0000;;30;;2.333333;
83428;24/03/2018;1200;4.6;;20.4;;
83428;25/03/2018;0000;;30.6;;1.333333;
83428;25/03/2018;1200;3.4;;20;;
83428;26/03/2018;0000;;31.6;;1;
83428;26/03/2018;1200;0;;19.6;;
83428;27/03/2018;0000;;32.8;;1.666667;
83428;27/03/2018;1200;0;;18;;
83428;28/03/2018;0000;;32.2;;1;
83428;28/03/2018;1200;0;;18.4;;
83428;29/03/2018;0000;;32.8;;1.333333;
83428;29/03/2018;1200;0;;18.2;;
83428;30/03/2018;0000;;32.6;;1.333333;
83428;30/03/2018;1200;0;;18.4;;
83428;31/03/2018;0000;;32.8;;2;
83428;31/03/2018;1200;0;;20.2;;
83428;01/04/2018;0000;;33.8;;1;
83428;01/04/2018;1200;0;;20.8;;
83428;02/04/2018;0000;;31.4;;2.333333;
83428;02/04/2018;1200;0;;21.8;;
83428;03/04/2018;0000;;34.2;;1;
83428;03/04/2018;1200;2.8;;19.4;;
83428;04/04/2018;0000;;31;;1;
83428;04/04/2018;1200;114;;19.4;;
83428;05/04/2018;0000;;32.8;;1;
83428;05/04/2018;1200;0;;20.8;;
83428;06/04/2018;0000;;30.4;;2.666667;
83428;06/04/2018;1200;0;;19.8;;
83428;07/04/2018;0000;;29.8;;2;
83428;07/04/2018;1200;1.1;;20;;
83428;08/04/2018;0000;;28.4;;2;
83428;08/04/2018;1200;28.8;;20;;
83428;09/04/2018;0000;;28.6;;1;
83428;09/04/2018;1200;0;;19.8;;
83428;10/04/2018;0000;;29.4;;1.666667;
83428;10/04/2018;1200;1.8;;18;;
83428;11/04/2018;0000;;29.8;;1.333333;
83428;11/04/2018;1200;0.5;;18.4;;
83428;12/04/2018;0000;;30;;2.333333;
83428;12/04/2018;1200;0;;16.8;;
83428;13/04/2018;0000;;29.4;;2;
83428;13/04/2018;1200;0.5;;19;;
83428;14/04/2018;0000;;29.6;;1.666667;
83428;14/04/2018;1200;2.2;;18.8;;
83428;15/04/2018;0000;;30.4;;1.666667;
83428;15/04/2018;1200;0;;19;;
83428;16/04/2018;0000;;29.6;;2.666667;
83428;16/04/2018;1200;0;;20;;
83428;17/04/2018;0000;;27;;1.666667;
83428;17/04/2018;1200;0;;19.6;;
83428;18/04/2018;0000;;28.4;;2;
83428;18/04/2018;1200;0;;18.6;;
83428;19/04/2018;0000;;30.2;;1.333333;
83428;19/04/2018;1200;0;;18;;
83428;20/04/2018;0000;;29.8;;1.333333;
83428;20/04/2018;1200;0;;17.2;;
83428;21/04/2018;0000;;31.4;;1.666667;
83428;21/04/2018;1200;0;;17.4;;
83428;22/04/2018;0000;;30;;1.666667;
83428;22/04/2018;1200;0;;20.4;;
83428;23/04/2018;0000;;31.2;;1;
83428;23/04/2018;1200;0;;18.4;;
83428;24/04/2018;0000;;31.2;;1.333333;
83428;24/04/2018;1200;0;;18.6;;
83428;25/04/2018;0000;;35.2;;1.666667;
83428;25/04/2018;1200;0;;16.8;;
83428;26/04/2018;0000;;31.2;;1.666667;
83428;26/04/2018;1200;0;;16.6;;
83428;27/04/2018;0000;;32;;1;
83428;27/04/2018;1200;0;;17.2;;
83428;28/04/2018;0000;;31.8;;1;
83428;28/04/2018;1200;0;;17.2;;
83428;29/04/2018;0000;;31.2;;1.333333;
83428;29/04/2018;1200;0;;16.6;;
83428;30/04/2018;0000;;30.8;;2;
83428;30/04/2018;1200;0;;16.6;;
83428;01/05/2018;0000;;31;;1.333333;
83428;01/05/2018;1200;0;;15.2;;
83428;02/05/2018;0000;;32.2;;1.666667;
83428;02/05/2018;1200;0;;14.2;;
83428;03/05/2018;0000;;32.4;;1.666667;
83428;03/05/2018;1200;0;;16.2;;
83428;04/05/2018;0000;;32;;1.333333;
83428;04/05/2018;1200;0;;17.4;;
83428;05/05/2018;0000;;31.8;;1.666667;
83428;05/05/2018;1200;0;;16;;
83428;06/05/2018;0000;;31.2;;1.333333;
83428;06/05/2018;1200;0;;16;;
83428;07/05/2018;0000;;30.8;;1.666667;
83428;07/05/2018;1200;0;;15.8;;
83428;08/05/2018;0000;;30.2;;2.666667;
83428;08/05/2018;1200;0;;18;;
83428;09/05/2018;0000;;29.6;;1.333333;
83428;09/05/2018;1200;0;;14.4;;
83428;10/05/2018;0000;;30.4;;2;
83428;10/05/2018;1200;0;;15.8;;
83428;11/05/2018;0000;;30.8;;1;
83428;11/05/2018;1200;0;;14.6;;
83428;12/05/2018;0000;;31.8;;1;
83428;12/05/2018;1200;0;;14.6;;
83428;13/05/2018;0000;;32.4;;1;
83428;13/05/2018;1200;0;;14;;
83428;14/05/2018;0000;;32;;1.333333;
83428;14/05/2018;1200;0;;14.6;;
83428;15/05/2018;0000;;31.6;;1;
83428;15/05/2018;1200;0;;15.4;;
83428;16/05/2018;0000;;32.4;;1.333333;
83428;16/05/2018;1200;0;;15.6;;
83428;17/05/2018;0000;;32.4;;1;
83428;17/05/2018;1200;0;;15.8;;
83428;18/05/2018;0000;;32;;1.666667;
83428;18/05/2018;1200;0;;17;;
83428;19/05/2018;0000;;33.4;;2;
83428;19/05/2018;1200;0;;17.6;;
83428;20/05/2018;0000;;26.2;;1;
83428;20/05/2018;1200;13;;17;;
83428;21/05/2018;0000;;26.6;;1;
83428;21/05/2018;1200;0;;11;;
83428;22/05/2018;0000;;30;;1.333333;
83428;22/05/2018;1200;0;;12.2;;
83428;23/05/2018;0000;;31;;1.333333;
83428;23/05/2018;1200;0;;14.4;;
83428;24/05/2018;0000;;30.6;;1.333333;
83428;24/05/2018;1200;0;;16.8;;
83428;25/05/2018;0000;;28.6;;1.333333;
83428;25/05/2018;1200;0;;17.2;;
83428;26/05/2018;0000;;29;;1.333333;
83428;26/05/2018;1200;0;;15.2;;
83428;27/05/2018;0000;;28;;1.666667;
83428;27/05/2018;1200;0;;15.6;;
83428;28/05/2018;0000;;27.2;;1.666667;
83428;28/05/2018;1200;0;;15;;
83428;29/05/2018;0000;;28.2;;1.666667;
83428;29/05/2018;1200;0;;15.4;;
83428;30/05/2018;0000;;28;;3;
83428;30/05/2018;1200;0;;13.6;;
83428;31/05/2018;0000;;28.6;;1.333333;
83428;31/05/2018;1200;0;;11.6;;
83428;01/06/2018;0000;;30.8;;1;
83428;01/06/2018;1200;0;;12.2;;
83428;02/06/2018;0000;;31.2;;1.333333;
83428;02/06/2018;1200;0;;12.6;;
83428;03/06/2018;0000;;30.6;;2;
83428;03/06/2018;1200;0;;13;;
83428;04/06/2018;0000;;31;;1.333333;
83428;04/06/2018;1200;0;;13.2;;
83428;05/06/2018;0000;;30.2;;1.333333;
83428;05/06/2018;1200;0;;14;;
83428;06/06/2018;0000;;31.4;;1;
83428;06/06/2018;1200;0;;15.6;;
83428;07/06/2018;0000;;33.4;;1.333333;
83428;07/06/2018;1200;0;;16.6;;
83428;08/06/2018;0000;;31.4;;1;
83428;08/06/2018;1200;0;;17;;
83428;09/06/2018;0000;;32.4;;1;
83428;09/06/2018;1200;0;;16.2;;
83428;10/06/2018;0000;;31.8;;1.333333;
83428;10/06/2018;1200;0;;16.4;;
83428;11/06/2018;0000;;31.4;;1;
83428;11/06/2018;1200;0;;16;;
83428;12/06/2018;0000;;32.2;;1;
83428;12/06/2018;1200;0;;14.8;;
83428;13/06/2018;0000;;32.4;;1.666667;
83428;13/06/2018;1200;0;;15;;
83428;14/06/2018;0000;;32.2;;1;
83428;14/06/2018;1200;0;;14.6;;
83428;15/06/2018;0000;;31.2;;1.333333;
83428;15/06/2018;1200;0;;14;;
83428;16/06/2018;0000;;29.6;;2.333333;
83428;16/06/2018;1200;0;;12.8;;
83428;17/06/2018;0000;;29.6;;1.666667;
83428;17/06/2018;1200;0;;11.2;;
83428;18/06/2018;0000;;28.8;;1;
83428;18/06/2018;1200;0;;11.8;;
83428;19/06/2018;0000;;28.4;;2.666667;
83428;19/06/2018;1200;0;;11.2;;
83428;20/06/2018;0000;;29.2;;1;
83428;20/06/2018;1200;0;;14.4;;
83428;21/06/2018;0000;;30.8;;1.333333;
83428;21/06/2018;1200;0;;12.8;;
83428;22/06/2018;0000;;31.2;;1;
83428;22/06/2018;1200;0;;13;;
83428;23/06/2018;0000;;31.4;;1;
83428;23/06/2018;1200;0;;12.2;;
83428;24/06/2018;0000;;31;;1;
83428;24/06/2018;1200;0;;11.2;;
83428;25/06/2018;0000;;31;;2;
83428;25/06/2018;1200;0;;12;;
83428;26/06/2018;0000;;31.6;;1;
83428;26/06/2018;1200;0;;13.8;;
83428;27/06/2018;0000;;31.2;;2;
83428;27/06/2018;1200;0;;14;;
83428;28/06/2018;0000;;30.8;;1;
83428;28/06/2018;1200;0;;12;;
83428;29/06/2018;0000;;29.2;;1.333333;
83428;29/06/2018;1200;0;;11.4;;
83428;30/06/2018;0000;;30.4;;2;
83428;30/06/2018;1200;0;;11.2;;
83428;01/07/2018;0000;;31.2;;2;
83428;01/07/2018;1200;0;;12;;
83428;02/07/2018;0000;;31.4;;1;
83428;02/07/2018;1200;0;;12.4;;
83428;03/07/2018;0000;;31.6;;1.666667;
83428;03/07/2018;1200;0;;12;;
83428;04/07/2018;0000;;31.2;;1;
83428;04/07/2018;1200;0;;13.2;;
83428;05/07/2018;0000;;30;;1.333333;
83428;05/07/2018;1200;0;;10.4;;
83428;06/07/2018;0000;;30.2;;1.333333;
