--------------------
BDMEP - INMET
--------------------
Estação           : VICOSA - MG (OMM: 83642)
Latitude  (graus) : -20.76
Longitude (graus) : -42.86
Altitude  (metros): 712.20
Estação Operante
Inicio de operação: 01/10/1919
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83642;01/01/2018;0000;;24;;;
83642;02/01/2018;1200;23.4;;19;;
83642;03/01/2018;1200;0;;21;;
83642;04/01/2018;0000;;31;;;
83642;04/01/2018;1200;3.4;;20;;
83642;05/01/2018;0000;;31;;;
83642;05/01/2018;1200;17.2;;20;;
83642;06/01/2018;0000;;29.6;;;
83642;06/01/2018;1200;11.4;;19.6;;
83642;07/01/2018;0000;;35.2;;;
83642;07/01/2018;1200;0;;19.1;;
83642;08/01/2018;0000;;31;;;
83642;08/01/2018;1200;0;;19.5;;
83642;09/01/2018;0000;;36.1;;;
83642;09/01/2018;1200;0;;18;;
83642;10/01/2018;0000;;32;;;
83642;10/01/2018;1200;0;;18.1;;
83642;11/01/2018;0000;;30.6;;;
83642;11/01/2018;1200;0;;19.4;;
83642;12/01/2018;0000;;31.6;;;
83642;12/01/2018;1200;0;;17.8;;
83642;13/01/2018;0000;;31.4;;;
83642;13/01/2018;1200;0;;18;;
83642;14/01/2018;0000;;31;;;
83642;14/01/2018;1200;0;;17.8;;
83642;15/01/2018;0000;;35.5;;;
83642;15/01/2018;1200;0;;18;;
83642;16/01/2018;0000;;33.8;;;
83642;16/01/2018;1200;0;;18.2;;
83642;17/01/2018;0000;;34.2;;;
83642;17/01/2018;1200;0;;20.5;;
83642;18/01/2018;0000;;32;;;
83642;18/01/2018;1200;0;;16.5;;
83642;19/01/2018;0000;;36.1;;;
83642;19/01/2018;1200;0;;16.6;;
83642;20/01/2018;0000;;34.4;;;
83642;20/01/2018;1200;0;;16;;
83642;21/01/2018;0000;;33.2;;;
83642;21/01/2018;1200;0;;18.6;;
83642;22/01/2018;0000;;33;;;
83642;22/01/2018;1200;0;;18.5;;
83642;23/01/2018;0000;;31.8;;;
83642;23/01/2018;1200;0;;20;;
83642;24/01/2018;0000;;33;;;
83642;24/01/2018;1200;0;;19;;
83642;25/01/2018;1200;0;;19.5;;
83642;26/01/2018;1200;0;;18.5;;
83642;27/01/2018;1200;0;;18.6;;
83642;29/01/2018;0000;;32.6;;;
83642;29/01/2018;1200;0;;18.6;;
83642;30/01/2018;0000;;32.6;;;
83642;30/01/2018;1200;10.2;;20.3;;
83642;31/01/2018;1200;62.6;;20;;
83642;01/02/2018;1200;1.7;;19;;
83642;02/02/2018;1200;0;;18.5;;
83642;03/02/2018;1200;0;;20;;
83642;05/02/2018;1200;36.2;;14;;
83642;06/02/2018;1200;47.5;;17.2;;
83642;07/02/2018;1200;18.6;;18.6;;
83642;08/02/2018;1200;0;;19;;
83642;15/02/2018;1200;0;;18.4;;
83642;16/02/2018;1200;0;;19;;
83642;17/02/2018;1200;0;;18;;
83642;18/02/2018;1200;7.4;;20.4;;
83642;19/02/2018;1200;2.2;;18.5;;
83642;21/02/2018;1200;18;;20;;
83642;22/02/2018;1200;6.2;;21;;
83642;23/02/2018;1200;0;;19.5;;
83642;24/02/2018;1200;2;;20.4;;
83642;25/02/2018;1200;0;;18;;
83642;26/02/2018;1200;0;;19.4;;
83642;27/02/2018;1200;0;;19.1;;
83642;28/02/2018;1200;0;;18.5;;
83642;01/03/2018;1200;18.6;;20.5;;
83642;02/03/2018;1200;0;;21.3;;
83642;03/03/2018;1200;0;;19.8;;
83642;05/03/2018;1200;0;;;;
83642;06/03/2018;1200;25;;20.4;;
83642;07/03/2018;1200;14.8;;20.4;;

		
	
[Fechar] <#>
	
		

