--------------------
BDMEP - INMET
--------------------
Estação           : VITORIA - ES (OMM: 83648)
Latitude  (graus) : -20.31
Longitude (graus) : -40.31
Altitude  (metros): 36.20
Estação Operante
Inicio de operação: 20/11/1923
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83648;01/01/2018;0000;;34.3;;;
83648;01/01/2018;1200;7.6;;23.8;;
83648;02/01/2018;0000;;32.7;;;
83648;02/01/2018;1200;10.6;;25;;
83648;03/01/2018;0000;;35.6;;;
83648;03/01/2018;1200;0;;25.4;;
83648;04/01/2018;0000;;29.5;;;
83648;04/01/2018;1200;0.6;;24.4;;
83648;05/01/2018;0000;;33;;;
83648;05/01/2018;1200;0;;24.4;;
83648;06/01/2018;0000;;31.7;;;
83648;06/01/2018;1200;0;;25.6;;
83648;07/01/2018;0000;;31.9;;;
83648;07/01/2018;1200;0;;24.6;;
83648;08/01/2018;0000;;31.7;;;
83648;08/01/2018;1200;0;;25;;
83648;09/01/2018;0000;;31.9;;;
83648;09/01/2018;1200;1.8;;24.4;;
83648;10/01/2018;0000;;31.9;;;
83648;10/01/2018;1200;0.8;;24.6;;
83648;11/01/2018;0000;;30.9;;;
83648;11/01/2018;1200;11.8;;23.8;;
83648;12/01/2018;0000;;32.9;;;
83648;12/01/2018;1200;0;;23.8;;
83648;13/01/2018;0000;;32.3;;;
83648;13/01/2018;1200;0;;24.8;;
83648;14/01/2018;0000;;33.3;;;
83648;14/01/2018;1200;0;;25.8;;
83648;15/01/2018;0000;;32.3;;;
83648;15/01/2018;1200;0;;26;;
83648;16/01/2018;0000;;33.5;;;
83648;16/01/2018;1200;0;;25.8;;
83648;17/01/2018;0000;;32.7;;;
83648;17/01/2018;1200;0;;25;;
83648;18/01/2018;0000;;33.9;;;
83648;18/01/2018;1200;0;;24.8;;
83648;19/01/2018;0000;;34.9;;;
83648;19/01/2018;1200;0;;24.8;;
83648;20/01/2018;0000;;32.9;;;
83648;20/01/2018;1200;0;;24.4;;
83648;21/01/2018;0000;;33.9;;;
83648;21/01/2018;1200;0;;24.4;;
83648;22/01/2018;0000;;32.7;;;
83648;22/01/2018;1200;0;;24.8;;
83648;23/01/2018;0000;;32.3;;;
83648;23/01/2018;1200;0;;25.6;;
83648;24/01/2018;0000;;32.3;;;
83648;24/01/2018;1200;0;;24.6;;
83648;25/01/2018;0000;;32.7;;;
83648;25/01/2018;1200;0;;24.4;;
83648;26/01/2018;0000;;33.7;;;
83648;26/01/2018;1200;0;;25;;
83648;27/01/2018;0000;;31.9;;;
83648;27/01/2018;1200;0;;24.4;;
83648;28/01/2018;0000;;31.3;;;
83648;28/01/2018;1200;0;;23.6;;
83648;29/01/2018;0000;;29.9;;;
83648;29/01/2018;1200;0;;26.4;;
83648;30/01/2018;0000;;28.3;;;
83648;30/01/2018;1200;0.2;;25;;
83648;31/01/2018;0000;;26.9;;;
83648;31/01/2018;1200;21.7;;22.4;;
83648;01/02/2018;0000;;27.9;;;
83648;01/02/2018;1200;7.5;;21.2;;
83648;02/02/2018;0000;;26.9;;;
83648;02/02/2018;1200;14.3;;21.2;;
83648;03/02/2018;0000;;27.9;;;
83648;03/02/2018;1200;0.7;;23.2;;
83648;04/02/2018;0000;;24.8;;;
83648;04/02/2018;1200;29.6;;21.7;;
83648;05/02/2018;0000;;26.5;;;
83648;05/02/2018;1200;44.3;;20.5;;
83648;06/02/2018;0000;;27.2;;;
