--------------------
BDMEP - INMET
--------------------
Estação           : VOTUPORANGA - SP (OMM: 83623)
Latitude  (graus) : -20.41
Longitude (graus) : -49.98
Altitude  (metros): 502.50
Estação Operante
Inicio de operação: 05/07/1976
Periodo solicitado dos dados: 01/01/2018 a 30/03/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Velocidade do Vento Media;
83623;01/01/2018;0000;;32.2;;;
83623;01/01/2018;1200;38;;15.4;;
83623;02/01/2018;0000;;31.8;;;
83623;02/01/2018;1200;3.4;;16.4;;
83623;03/01/2018;0000;;30.8;;;
83623;03/01/2018;1200;12.6;;16.4;;
83623;04/01/2018;0000;;32.2;;;
83623;04/01/2018;1200;0;;16.2;;
83623;05/01/2018;0000;;33.2;;;
83623;05/01/2018;1200;0;;18;;
83623;06/01/2018;0000;;30.6;;;
83623;06/01/2018;1200;15;;15.4;;
83623;07/01/2018;0000;;28.4;;;
83623;07/01/2018;1200;4.2;;16;;
83623;08/01/2018;0000;;27.2;;;
83623;08/01/2018;1200;44.2;;16.2;;
83623;09/01/2018;0000;;28;;;
83623;09/01/2018;1200;52;;15.2;;
83623;10/01/2018;0000;;32;;;
83623;10/01/2018;1200;0;;16.4;;
83623;11/01/2018;0000;;32;;;
83623;11/01/2018;1200;0;;17;;
83623;12/01/2018;0000;;29.4;;;
83623;12/01/2018;1200;2.6;;14.6;;
83623;15/01/2018;0000;;32.6;;0;
83623;15/01/2018;1200;32;;;;
83623;16/01/2018;0000;;31;;;
83623;16/01/2018;1200;0;;16.4;;
83623;17/01/2018;0000;;33.6;;;
83623;17/01/2018;1200;0;;16.8;;
83623;18/01/2018;0000;;32.8;;;
83623;18/01/2018;1200;0;;19;;
83623;19/01/2018;0000;;34.6;;;
83623;19/01/2018;1200;0;;16.8;;
83623;20/01/2018;0000;;36.4;;;
83623;20/01/2018;1200;0;;17.8;;
83623;22/01/2018;0000;;36.8;;;
83623;22/01/2018;1200;0;;21;;
83623;23/01/2018;0000;;37.2;;;
