"Cidade","Latitude","Longitude","Periodo","Precipitacao"
"aracuai-mg",-16.83,-42.05,"2018-01-01",25
"aracuai-mg",-16.83,-42.05,"2018-01-11",0
"aracuai-mg",-16.83,-42.05,"2018-01-21",0
"aracuai-mg",-16.83,-42.05,"2018-01-31",555
"aracuai-mg",-16.83,-42.05,"2018-02-10",1.8
"aracuai-mg",-16.83,-42.05,"2018-02-20",33.2
"aracuai-mg",-16.83,-42.05,"2018-03-02",73
"aracuai-mg",-16.83,-42.05,"2018-03-12",29.4
"aracuai-mg",-16.83,-42.05,"2018-03-22",125.2
"araxa-mg",-19.6,-46.94,"2018-01-01",85.6
"araxa-mg",-19.6,-46.94,"2018-01-11",5.8
"araxa-mg",-19.6,-46.94,"2018-01-21",72.4
"araxa-mg",-19.6,-46.94,"2018-01-31",110.4
"araxa-mg",-19.6,-46.94,"2018-02-10",54.6
"araxa-mg",-19.6,-46.94,"2018-02-20",102
"araxa-mg",-19.6,-46.94,"2018-03-02",36.8
"araxa-mg",-19.6,-46.94,"2018-03-12",27.2
"araxa-mg",-19.6,-46.94,"2018-03-22",10.6
"arinos-mg",-15.91,-46.1,"2018-01-01",49.4
"arinos-mg",-15.91,-46.1,"2018-01-11",11.9
"arinos-mg",-15.91,-46.1,"2018-01-21",6
"arinos-mg",-15.91,-46.1,"2018-01-31",104.5
"arinos-mg",-15.91,-46.1,"2018-02-10",9.1
"arinos-mg",-15.91,-46.1,"2018-02-20",52.1
"arinos-mg",-15.91,-46.1,"2018-03-02",47.7
"arinos-mg",-15.91,-46.1,"2018-03-12",69.1
"arinos-mg",-15.91,-46.1,"2018-03-22",59.1
"avelar-rj",-22.35,-43.41,"2018-01-01",150.7
"avelar-rj",-22.35,-43.41,"2018-01-11",19.8
"avelar-rj",-22.35,-43.41,"2018-01-21",58
"avelar-rj",-22.35,-43.41,"2018-01-31",46
"avelar-rj",-22.35,-43.41,"2018-02-10",94.9
"avelar-rj",-22.35,-43.41,"2018-02-20",33.4
"avelar-rj",-22.35,-43.41,"2018-03-02",52.1
"avelar-rj",-22.35,-43.41,"2018-03-12",31
"avelar-rj",-22.35,-43.41,"2018-03-22",10.9
"belo_horizonte-mg",-19.93,-43.93,"2018-01-01",64.4
"belo_horizonte-mg",-19.93,-43.93,"2018-01-11",32.4
"belo_horizonte-mg",-19.93,-43.93,"2018-01-21",24.5
"belo_horizonte-mg",-19.93,-43.93,"2018-01-31",203.1
"belo_horizonte-mg",-19.93,-43.93,"2018-02-10",6.4
"belo_horizonte-mg",-19.93,-43.93,"2018-02-20",54
"belo_horizonte-mg",-19.93,-43.93,"2018-03-02",254.4
"belo_horizonte-mg",-19.93,-43.93,"2018-03-12",117.2
"belo_horizonte-mg",-19.93,-43.93,"2018-03-22",14.5
"c_do_mato_dentro-mg",-19.02,-43.43,"2018-01-01",114
"c_do_mato_dentro-mg",-19.02,-43.43,"2018-01-11",12.7
"c_do_mato_dentro-mg",-19.02,-43.43,"2018-01-21",0.3
"c_do_mato_dentro-mg",-19.02,-43.43,"2018-01-31",422
"c_do_mato_dentro-mg",-19.02,-43.43,"2018-02-10",2
"c_do_mato_dentro-mg",-19.02,-43.43,"2018-02-20",112.2
"c_do_mato_dentro-mg",-19.02,-43.43,"2018-03-02",145.1
"c_do_mato_dentro-mg",-19.02,-43.43,"2018-03-12",29
"c_do_mato_dentro-mg",-19.02,-43.43,"2018-03-22",9.8
"caparao-mg",-20.51,-41.9,"2018-01-01",62.6
"caparao-mg",-20.51,-41.9,"2018-01-11",7.6
"caparao-mg",-20.51,-41.9,"2018-01-21",19.6
"caparao-mg",-20.51,-41.9,"2018-01-31",203.3
"caparao-mg",-20.51,-41.9,"2018-02-10",4.4
"caparao-mg",-20.51,-41.9,"2018-02-20",105.2
"caparao-mg",-20.51,-41.9,"2018-03-02",287.6
"caparao-mg",-20.51,-41.9,"2018-03-12",38.1
"caparao-mg",-20.51,-41.9,"2018-03-22",35.2
"caratinga-mg",-19.73,-42.13,"2018-01-01",96.2
"caratinga-mg",-19.73,-42.13,"2018-01-11",0
"caratinga-mg",-19.73,-42.13,"2018-01-21",0.5
"caratinga-mg",-19.73,-42.13,"2018-01-31",224
"caratinga-mg",-19.73,-42.13,"2018-02-10",13.2
"caratinga-mg",-19.73,-42.13,"2018-02-20",48.8
"caratinga-mg",-19.73,-42.13,"2018-03-02",159
"caratinga-mg",-19.73,-42.13,"2018-03-12",25.4
"caratinga-mg",-19.73,-42.13,"2018-03-22",39
"carbonita-mg",-17.53,-43,"2018-01-01",91.6
"carbonita-mg",-17.53,-43,"2018-01-11",0
"carbonita-mg",-17.53,-43,"2018-01-21",0
"carbonita-mg",-17.53,-43,"2018-01-31",281.2
"carbonita-mg",-17.53,-43,"2018-02-10",1.1
"carbonita-mg",-17.53,-43,"2018-02-20",37.4
"carbonita-mg",-17.53,-43,"2018-03-02",106.4
"carbonita-mg",-17.53,-43,"2018-03-12",11.6
"carbonita-mg",-17.53,-43,"2018-03-22",24.2
"catanduva-sp",-21.11,-48.93,"2018-01-01",76.7
"catanduva-sp",-21.11,-48.93,"2018-01-11",69.5
"catanduva-sp",-21.11,-48.93,"2018-01-21",118.4
"catanduva-sp",-21.11,-48.93,"2018-01-31",19.8
"catanduva-sp",-21.11,-48.93,"2018-02-10",72
"catanduva-sp",-21.11,-48.93,"2018-02-20",14.1
"catanduva-sp",-21.11,-48.93,"2018-03-02",66.3
"catanduva-sp",-21.11,-48.93,"2018-03-12",30.8
"catanduva-sp",-21.11,-48.93,"2018-03-22",2.8
"curvelo-mg",-18.75,-44.45,"2018-01-01",103.2
"curvelo-mg",-18.75,-44.45,"2018-01-11",2
"curvelo-mg",-18.75,-44.45,"2018-01-21",48.6
"curvelo-mg",-18.75,-44.45,"2018-01-31",187.6
"curvelo-mg",-18.75,-44.45,"2018-02-10",5.8
"curvelo-mg",-18.75,-44.45,"2018-02-20",166.4
"curvelo-mg",-18.75,-44.45,"2018-03-02",82.4
"curvelo-mg",-18.75,-44.45,"2018-03-12",2.4
"curvelo-mg",-18.75,-44.45,"2018-03-22",26
"diamantina-mg",-18.23,-43.64,"2018-01-01",44.4
"diamantina-mg",-18.23,-43.64,"2018-01-11",0
"diamantina-mg",-18.23,-43.64,"2018-01-21",2.2
"diamantina-mg",-18.23,-43.64,"2018-01-31",229.8
"diamantina-mg",-18.23,-43.64,"2018-02-10",15.8
"diamantina-mg",-18.23,-43.64,"2018-02-20",42.7
"diamantina-mg",-18.23,-43.64,"2018-03-02",118.2
"diamantina-mg",-18.23,-43.64,"2018-03-12",10
"diamantina-mg",-18.23,-43.64,"2018-03-22",44.2
"divinopolis-mg",-20.17,-44.87,"2018-01-01",153.7
"divinopolis-mg",-20.17,-44.87,"2018-01-11",13.1
"divinopolis-mg",-20.17,-44.87,"2018-01-21",92.9
"divinopolis-mg",-20.17,-44.87,"2018-01-31",109.7
"divinopolis-mg",-20.17,-44.87,"2018-02-10",2.5
"divinopolis-mg",-20.17,-44.87,"2018-02-20",128.1
"divinopolis-mg",-20.17,-44.87,"2018-03-02",76.8
"divinopolis-mg",-20.17,-44.87,"2018-03-12",47
"divinopolis-mg",-20.17,-44.87,"2018-03-22",3.3
"espinosa-mg",-14.91,-42.8,"2018-01-01",21.7
"espinosa-mg",-14.91,-42.8,"2018-01-11",2.1
"espinosa-mg",-14.91,-42.8,"2018-01-21",8
"espinosa-mg",-14.91,-42.8,"2018-01-31",61.9
"espinosa-mg",-14.91,-42.8,"2018-02-10",1.3
"espinosa-mg",-14.91,-42.8,"2018-02-20",0.1
"espinosa-mg",-14.91,-42.8,"2018-03-02",36.6
"espinosa-mg",-14.91,-42.8,"2018-03-12",43
"espinosa-mg",-14.91,-42.8,"2018-03-22",1
"formoso-mg",-14.93,-46.25,"2018-01-01",54.7
"formoso-mg",-14.93,-46.25,"2018-01-11",32.2
"formoso-mg",-14.93,-46.25,"2018-01-21",57.8
"formoso-mg",-14.93,-46.25,"2018-01-31",229.1
"formoso-mg",-14.93,-46.25,"2018-02-10",41
"formoso-mg",-14.93,-46.25,"2018-02-20",207.6
"formoso-mg",-14.93,-46.25,"2018-03-02",71.8
"formoso-mg",-14.93,-46.25,"2018-03-12",27.3
"formoso-mg",-14.93,-46.25,"2018-03-22",45.6
"franca-sp",-20.58,-47.36,"2018-01-01",110.9
"franca-sp",-20.58,-47.36,"2018-01-11",121.4
"franca-sp",-20.58,-47.36,"2018-01-21",55.6
"franca-sp",-20.58,-47.36,"2018-01-31",23.3
"franca-sp",-20.58,-47.36,"2018-02-10",108.8
"franca-sp",-20.58,-47.36,"2018-02-20",137.4
"franca-sp",-20.58,-47.36,"2018-03-02",128
"franca-sp",-20.58,-47.36,"2018-03-12",90.5
"franca-sp",-20.58,-47.36,"2018-03-22",3
"itamarandiba-mg",-17.85,-42.85,"2018-01-01",73.2
"itamarandiba-mg",-17.85,-42.85,"2018-01-11",10
"itamarandiba-mg",-17.85,-42.85,"2018-01-21",0
"itamarandiba-mg",-17.85,-42.85,"2018-01-31",255.8
"itamarandiba-mg",-17.85,-42.85,"2018-02-10",1.2
"itamarandiba-mg",-17.85,-42.85,"2018-02-20",132.2
"itamarandiba-mg",-17.85,-42.85,"2018-03-02",57.3
"itamarandiba-mg",-17.85,-42.85,"2018-03-12",26.9
"itamarandiba-mg",-17.85,-42.85,"2018-03-22",9
"itaperuna-rj",-21.2,-41.9,"2018-01-01",94.7
"itaperuna-rj",-21.2,-41.9,"2018-01-11",0
"itaperuna-rj",-21.2,-41.9,"2018-01-21",48.4
"itaperuna-rj",-21.2,-41.9,"2018-01-31",145.3
"itaperuna-rj",-21.2,-41.9,"2018-02-10",0
"itaperuna-rj",-21.2,-41.9,"2018-02-20",76
"itaperuna-rj",-21.2,-41.9,"2018-03-02",109.7
"itaperuna-rj",-21.2,-41.9,"2018-03-12",21.9
"itaperuna-rj",-21.2,-41.9,"2018-03-22",77.3
"januaria-mg",-15.45,-44,"2018-01-01",36.9
"januaria-mg",-15.45,-44,"2018-01-11",2.9
"januaria-mg",-15.45,-44,"2018-01-21",12.8
"januaria-mg",-15.45,-44,"2018-01-31",311.5
"januaria-mg",-15.45,-44,"2018-02-10",8.2
"januaria-mg",-15.45,-44,"2018-02-20",50.6
"januaria-mg",-15.45,-44,"2018-03-02",30.1
"januaria-mg",-15.45,-44,"2018-03-12",98.6
"januaria-mg",-15.45,-44,"2018-03-22",0
"juiz_de_fora-mg",-21.76,-43.36,"2018-01-01",99.5
"juiz_de_fora-mg",-21.76,-43.36,"2018-01-11",58.2
"juiz_de_fora-mg",-21.76,-43.36,"2018-01-21",87
"juiz_de_fora-mg",-21.76,-43.36,"2018-01-31",129.4
"juiz_de_fora-mg",-21.76,-43.36,"2018-02-10",7.3
"juiz_de_fora-mg",-21.76,-43.36,"2018-02-20",152.2
"juiz_de_fora-mg",-21.76,-43.36,"2018-03-02",202.1
"juiz_de_fora-mg",-21.76,-43.36,"2018-03-12",11.5
"juiz_de_fora-mg",-21.76,-43.36,"2018-03-22",29.1
"juramento-mg",-16.77,-43.66,"2018-01-01",24.5
"juramento-mg",-16.77,-43.66,"2018-01-11",0
"juramento-mg",-16.77,-43.66,"2018-01-21",36.5
"juramento-mg",-16.77,-43.66,"2018-01-31",231
"juramento-mg",-16.77,-43.66,"2018-02-10",10.7
"juramento-mg",-16.77,-43.66,"2018-02-20",42.1
"juramento-mg",-16.77,-43.66,"2018-03-02",44.3
"juramento-mg",-16.77,-43.66,"2018-03-12",10.7
"juramento-mg",-16.77,-43.66,"2018-03-22",10.2
"lavras-mg",-21.75,-45,"2018-01-01",147.4
"lavras-mg",-21.75,-45,"2018-01-11",32.4
"lavras-mg",-21.75,-45,"2018-01-21",39.5
"lavras-mg",-21.75,-45,"2018-01-31",45.2
"lavras-mg",-21.75,-45,"2018-02-10",1.8
"lavras-mg",-21.75,-45,"2018-02-20",59.4
"lavras-mg",-21.75,-45,"2018-03-02",28.8
"lavras-mg",-21.75,-45,"2018-03-12",12.6
"lavras-mg",-21.75,-45,"2018-03-22",18
"machado-mg",-21.68,-45.94,"2018-01-01",94.1
"machado-mg",-21.68,-45.94,"2018-01-11",23.8
"machado-mg",-21.68,-45.94,"2018-01-21",11.3
"machado-mg",-21.68,-45.94,"2018-01-31",40.6
"machado-mg",-21.68,-45.94,"2018-02-10",72.6
"machado-mg",-21.68,-45.94,"2018-02-20",32.8
"machado-mg",-21.68,-45.94,"2018-03-02",58.2
"machado-mg",-21.68,-45.94,"2018-03-12",53
"machado-mg",-21.68,-45.94,"2018-03-22",23.2
"paracatu-mg",-17.24,-46.88,"2018-01-01",141.6
